topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_engines,affected_years,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
11,Panoramic sunroof water leaks into interior causing electrical and safety system damage,Sunroof leaks,other,chronic_failure,high,high,,,[],2002-2021,[],,2.4,0.0,"Panoramic sunroofs on VW Golf models leak water into the interior through the headliner, A-pillars, and sunroof frame seals, often during rain, snow, or car washes. The leaks can soak electronics, carpets, and seats, potentially causing electrical faults, mold, and water damage to critical safety components like side airbags.","[""Damp spots or water stains on headliner where it meets A-pillars"", ""Water dripping into interior during rain or car wash"", ""Electrical warning lights (airbag, traction, engine) appearing after heavy rain""]","Check the headliner around the sunroof perimeter and A-pillars for water stains, discoloration, or dampness, and inspect the sunroof drain tubes for blockages during a pre-purchase inspection.",medium,48,"Data is US-only (NHTSA complaints and CarProblemZoo), lacks engine-specific breakdown, and includes a mix of model years from 2002-2021 with peak reports from 2015-2018 models."
12,Headlight electrical faults and aiming issues,Headlight faults,lighting,intermittent_fault,medium,medium,,,"[""unknown"", ""TDI_unknown"", ""2.0_TSI""]",2000-2021 (peaks 2011-2012),[],,2.2,0.0,"Multiple owners report intermittent headlight failures where lights do not turn on immediately after ignition, often accompanied by dashboard error messages and exterior light fault warnings. Additional reports describe persistent headlight aiming problems, with some dealers claiming the misalignment is a design characteristic that cannot be corrected.","[""Headlights fail to illuminate immediately on startup"", ""Dashboard error messages for multiple exterior lights"", ""Persistent headlight misalignment despite bulb replacement""]",Test headlight operation through multiple ignition cycles and check for any exterior lighting fault messages on the dashboard. Visually inspect headlight aim during a nighttime test drive.,medium,45,"Data from US owner complaints only; no TSB or recall data included. Engine specification mostly unknown, suggesting this is a platform-wide electrical issue rather than engine-specific."
13,Takata airbag recall - parts availability and deployment failure complaints,Takata Airbag Recall,other,safety_recall,high,high,,,"[""unknown"", ""TDI_unknown"", ""2.0_TSI""]",2010-2018,"[{""code"": ""NHTSA 16V078000"", ""name"": ""Takata airbag inflator replacement"", ""notes"": ""Recall campaign number""}]",,2.1,0.0,"This topic captures owner complaints and reports related to the massive Takata airbag inflator recall affecting multiple manufacturers, including Volkswagen Golf. Owners report receiving recall notices but experiencing significant delays in parts availability, with some describing non-deployment incidents during accidents.","[""Recall notice received from manufacturer"", ""Airbag warning light"", ""Non-deployment during collision""]",Check the VIN against NHTSA recall databases for open Takata airbag recalls and verify completion with documentation. This is a critical safety issue unrelated to vehicle condition.,high,43,Recall-dominated topic with minimal mechanical failure data; primarily documents administrative delays and safety concerns rather than inherent vehicle defects.
14,Front and rear suspension coil spring fracture,Coil spring fracture,suspension,safety_recall,high,high,,,"[""2.0_TSI""]",2019,[],,2.0,0.0,"This topic describes the sudden fracture of front or rear suspension coil springs, often resulting in a loud clunk, loss of vehicle control, and strong pulling to one side. The issue is documented in owner complaints and is the subject of a specific NHTSA safety recall for certain 2019 model year vehicles (Jetta GLI, Golf Alltrack, Golf GTI) related to improperly machined front wheel bearings that can cause excessive stress on suspension components.","[""Loud clunk or metallic sound from suspension while driving"", ""Vehicle suddenly begins shaking or pulling strongly to one side""]","When inspecting a used VW Golf, especially a 2019 model, check for any signs of uneven ride height, inspect the coil springs for visible cracks or corrosion, and verify if any open safety recalls for suspension components have been addressed.",medium,40,"Data is recall-dominated for 2019 models, but complaints span multiple model years (2000-2020), suggesting a broader, chronic issue with suspension coil springs beyond the specific recall."
15,Fuel tank suction jet pump failure causing fuel leaks and tank pressurization,Suction pump leak,other,fluid_leak,high,high,,,"[""2.0_TSI""]",2015-2018,"[{""code"": ""20Y6"", ""name"": ""Safety Recall Code"", ""notes"": ""Recall for 2015-2016 GTI models for suction pump failure""}]","Primarily affects 2.0 TSI engines (GTI/R) from mid-2010s, with documented recall for 2015-2016 models but complaints extending to 2017-2018.",2.2,0.0,"A failure of the suction jet pump (fuel pump) inside the fuel tank causes fuel leaks from the rear passenger side, often near the exhaust, and can lead to tank pressurization, bulging, and raw fuel entering the charcoal canister or engine intake. This issue was subject to Safety Recall 20Y6 for 2015-2016 GTI models, but numerous complaints indicate similar failures in unreported model years like 2017, with repair costs reaching $2,000-$4,000 for full fuel system replacement.","[""Strong smell of gasoline, especially after refueling"", ""Visible fuel leaking from rear passenger side wheel well or bumper"", ""Difficulty filling fuel tank (pump clicks off early, fuel overflows)"", ""Fuel tank appears bulged or pressurized""]","When inspecting a used Golf (especially 2015-2018 GTI with 2.0 TSI), check for fuel odors around the rear bumper, look for fuel stains or residue under the car near the fuel tank, and verify if any recalls (like 20Y6) were completed.",medium,45,"Data is US-only (NHTSA complaints dominate) and recall-related; mileage data is insufficient, but issue appears time/usage dependent rather than mileage-specific."
16,Airbag warning light illumination without deployment,Airbag warning light,electrical,sensor_fault,high,high,,,"[""unknown""]",2000-2019,"[{""code"": ""unknown"", ""name"": ""Airbag control module or sensor"", ""notes"": ""Often referenced in complaints but specific part not identified in data""}]",,2.6,0.0,"This topic clusters widespread reports of the airbag warning light illuminating and staying on in VW Golf models, despite no accident or deployment history. The issue spans multiple model years (2000-2019) and appears as a common electrical/sensor fault, with owners frequently citing dealer diagnostics and repair costs as a significant annoyance.","[""Airbag warning light illuminated on dashboard"", ""No prior accident or airbag deployment""]","When buying a used VW Golf, check for an illuminated airbag warning light during the test drive and cold start; scan for fault codes in the airbag control module as part of a pre-purchase inspection.",medium,53,"Data is dominated by NHTSA complaints and CarProblemZoo reports; engine specificity is low (98% unknown), suggesting the issue is not strongly linked to a particular powertrain."
17,ABS/Electronic Stability Control module failure and warning light illumination,ABS/ESC Module,brakes,safety_recall,high,high,,,"[""2.0_TSI""]",2009-2010,"[{""code"": ""45F2"", ""name"": ""ABS Control Unit Recall"", ""notes"": ""Safety recall for 2009-2010 models""}]",No specific engine pattern identified beyond the 2.0_TSI mentions; issue appears electrical/control module related.,2.0,0.0,"This topic describes failures of the Antilock Brake System (ABS) and Electronic Stability Control (ESC) control module, often triggering warning lights and potentially causing loss of vehicle control during ABS/ESC activation. The issue is documented in owner complaints and is the subject of a specific safety recall (45F2) for 2009-2010 model year VW Golf and related vehicles.","[""ABS, ESC, and/or airbag warning lights illuminating intermittently or persistently"", ""Diagnostic trouble code (DTC) 01130 related to the central ABS control module""]","Check for any stored ABS/ESC fault codes and verify if the ABS, ESC, and brake warning lights illuminate and then extinguish normally during vehicle start-up. Confirm if the safety recall 45F2 has been performed on 2009-2010 models.",medium,40,"Data is heavily weighted toward US market NHTSA complaints and a specific recall; engine spec is unknown for 90% of documents, limiting engine-specific analysis."
18,"Brake light switch failure causing no brake lights, gear shift lock, and EPC warning",Brake light switch,electrical,chronic_failure,high,high,,,"[""unknown"", ""TDI_unknown"", ""2.0_TSI""]",2000-2005,"[{""code"": ""unknown"", ""name"": ""Brake light switch"", ""notes"": ""Same part number as used in Jetta models from same era""}]",,2.3,0.0,"This topic describes a chronic failure of the brake light switch, primarily affecting early 2000s VW Golf models. The failure causes multiple safety and operational issues: brake lights stop working, the vehicle may not shift out of park, the EPC warning light illuminates, and in some cases the vehicle stalls while driving.","[""Brake lights not illuminating when pedal is pressed"", ""EPC warning light on dashboard"", ""Vehicle unable to shift out of park"", ""Intermittent glow plug warning light""]","For 2000-2005 Golf models, test brake light operation and check for any EPC warning lights; verify the vehicle shifts smoothly out of park, as this switch was subject to a recall on Jetta models but not Golf.",medium,46,"Data is US-only and complaint-dominated; documents reference a known recall for the same part on Jetta models but not Golf, suggesting a potential oversight."
19,Cooling system leaks from water pump and thermostat housing,Coolant leaks,cooling,chronic_failure,medium,high,65000.0,40k-80k miles,"[""1.8_TSI"", ""2.0_TSI""]",2012-2022,"[{""code"": ""EA888"", ""name"": ""Thermostat housing assembly"", ""notes"": ""Gen 3 prone to failure""}, {""code"": ""N/A"", ""name"": ""Water pump"", ""notes"": ""Often replaced with thermostat housing""}]","Primarily affects EA888 Gen 3 engines (1.8L and 2.0L TSI), with a known history of water pump/thermostat housing issues across VW/Audi models.",1.8,0.0,"The EA888 Gen 3 engine's thermostat housing and water pump are prone to coolant leaks, often requiring replacement between 40k-80k miles. This is a recurring issue with reports of repeat failures even after replacement, suggesting a persistent manufacturing or design weakness in the cooling system components.","[""Visible coolant leaks under the engine"", ""Low coolant level with frequent top-ups required"", ""Sweet smell from engine bay"", ""Check engine light with cooling system codes""]","Check for dried coolant residue around the thermostat housing and water pump area, inspect coolant level and condition, and review service history for previous cooling system repairs.",medium,36,"Source data is complaint-dominated (NHTSA complaints and CarProblemZoo) with limited official TSB or recall coverage; engine spec data is mostly unknown (91.7%), but representative snippets strongly point to EA888 Gen 3 engines."
20,Electrical fire hazard from seat heaters and HVAC controls,Seat heater fire,electrical,safety_recall,high,medium,,,"[""unknown""]",2000-2015,[],,1.6,0.0,"Multiple reports describe electrical fires originating from seat heaters and HVAC control panels, with incidents involving smoke, burning plastic smells, and in one case a seat bursting into flames. The issue appears across multiple model years (2000-2015) and is documented primarily in NHTSA complaints, indicating a serious safety hazard rather than routine wear.","[""Burning plastic smell in cabin"", ""Smoke from HVAC control panel or seat area"", ""Overheating of driver's seat""]","Check for any recalls related to seat heaters or HVAC electrical systems, and inspect wiring under seats and behind the dashboard for signs of melting or previous repairs.",medium,32,"Engine spec data is insufficient (94% unknown), but issue appears independent of powertrain. Primarily US NHTSA complaint data with no clear recall linkage in provided knowledge."
21,Fuel system leak causing strong fuel smell and potential pooling,Fuel leak,other,fluid_leak,high,medium,,,[],2000-2018,"[{""code"": null, ""name"": ""Fuel pump connector/assembly"", ""notes"": ""Mentioned as cracking in multiple repairs""}]",,1.7,0.0,"Multiple reports describe a strong fuel smell, often accompanied by visible fuel leaking or pooling, typically at the rear passenger side or tire well. The issue manifests as difficulty refueling (pump shutting off), hissing/gurgling sounds from the fuel tank, and in some cases, engine hesitation or power loss.","[""Strong smell of fuel inside or outside the vehicle"", ""Visible fuel puddles under the rear of the car, especially on the passenger side""]","When inspecting a used Golf, check the area around the rear passenger-side tire well and under the car for any fuel stains or strong odor, and listen for unusual hissing from the fuel tank area after driving.",medium,34,Data is US-only (NHTSA complaints dominate). No specific engine or mileage pattern identified; issue spans many model years. Some reports mention a cracked fuel pump connector as a known failure point among mechanics.
22,NHTSA regulatory recall for non-compliance issues affecting multiple model years,Regulatory recall,other,safety_recall,medium,high,,,"[""2.0_TSI""]",2011-2016,[],"Primarily affects 2.0 TSI engines (GTI/R) based on the data, but recall documents indicate broader vehicle inclusion beyond just engine type.",2.4,0.0,"This topic is dominated by NHTSA recall documents indicating Volkswagen recalled certain 2011-2016 Golf and GTI vehicles (among other models) due to modifications made during an internal evaluation period that may cause the vehicles to not comply with all applicable regulatory requirements. Owner complaints also reference a separate, unlisted recall concern for 2022-2023 GTI/R models regarding an insecurely installed radiator that can lead to coolant hose rupture and coolant loss.","[""Official recall notification from manufacturer"", ""Check for unrepaired open recalls on specific VIN""]","Always check the vehicle's VIN for open recalls on the NHTSA website before purchase, paying specific attention to 2011-2016 Golf/GTI models and newer 2022-2023 GTI/R models for radiator installation issues.",high,49,"Topic is heavily recall-dominated (39 of 49 docs from NHTSA recalls); engine spec data is limited with 61% unknown, but 2.0_TSI is the most identified spec. Snippets suggest two distinct recall issues across different model years."
23,Airbag warning light illumination due to sensor or control unit faults,Airbag warning light,electrical,sensor_fault,high,medium,,,[],2000-2019,"[{""code"": ""unknown"", ""name"": ""Airbag control unit"", ""notes"": ""Often referenced in complaints""}, {""code"": ""unknown"", ""name"": ""Side airbag sensor"", ""notes"": ""Commonly cited fault component""}]",,1.5,0.0,"Multiple owners report persistent airbag warning light illumination, often indicating a fault in the airbag sensor or control unit. Dealers frequently diagnose expensive repairs ($700+), and the system may become completely inoperative if not addressed, creating a significant safety risk.","[""Airbag warning light stays illuminated while driving"", ""Warning message on information screen about airbag system""]","During a test drive, verify the airbag warning light extinguishes after startup and remains off. Scan for fault codes in the airbag control module.",medium,31,Data is US-only (NHTSA complaints and CarProblemZoo). No engine-specific pattern identified; issue spans multiple model years. No mileage trend data available.
24,Aftermarket water pump recall affecting 2.0L TDI engines (Dieselgate-related models),Water pump recall,cooling,safety_recall,high,high,,,"[""2.0_TDI""]",2009-2012,"[{""code"": ""TFW 41127"", ""name"": ""Tru-Flow Water Pump"", ""notes"": ""Aftermarket replacement part with defective pulley/sprocket""}]",This recall specifically targets 2.0L TDI common rail diesel engines (EA189 generation) that were subject to Dieselgate emissions modifications.,1.7,0.0,"This topic represents a safety recall for aftermarket water pumps (Gates Tru-Flow TFW 41127) installed on 2009-2012 VW Golf, Jetta, and Audi A3 vehicles with 2.0L TDI engines. The recall addresses defective water pump pulleys/sprockets that could fail and cause sudden coolant loss, potentially leading to engine overheating and safety hazards.","[""Coolant leaks from water pump area"", ""Overheating engine"", ""Unusual noise from water pump pulley""]",Check service records for water pump replacement history and verify any aftermarket water pumps don't have the recalled TFW 41127 part number or black-colored pulley without 'US9377' stamping.,high,34,Recall-dominated data (24/34 documents from NHTSA recalls); includes Audi A3 and Jetta Sportwagen models sharing same platform/engines; engine spec data shows 44% unknown but recall specifics confirm 2.0L TDI focus
25,Brake light switch and hazard flasher relay failures causing erratic warning lights and non-functional brake lights,Brake light switch / hazard flasher,electrical,safety_recall,high,high,,,"[""unknown""]",2000-2007,"[{""code"": ""1J0941503C"", ""name"": ""Brake light switch"", ""notes"": ""Common failure part in early 2000s models""}, {""code"": ""1J0959653"", ""name"": ""Hazard flasher relay/switch"", ""notes"": ""Subject of recall 04V584000""}]",,1.4,0.0,"This topic describes failures of the brake light switch and hazard flasher relay/switch in early 2000s VW Golf models, with many reports referencing official NHTSA recalls (04V584000). The primary symptom is a flashing glow plug warning light on the dashboard, accompanied by non-functional brake lights, creating a significant safety hazard. Owners report that some vehicles with identical symptoms fall outside the official recall VIN ranges, suggesting the problem may be more widespread than the recall coverage.","[""Glow plug warning light flashing while driving"", ""Brake lights not illuminating when pedal is pressed"", ""Erratic or rapid clicking from turn signal/hazard relay""]","When inspecting a used Golf from 2000-2007, have an assistant verify brake light operation while pressing the pedal, and check for any flashing warning lights on the dashboard during a test drive. Verify if the VIN was included in recall 04V584000.",high,29,Data is heavily recall-dominated (NHTSA recall documents make up 10 of 29 sources) and appears specific to early 2000s US-market vehicles. No engine-specific pattern identified.
26,Seat belt and accessory belt tensioner failures,Belt tensioners,other,safety_recall,high,medium,,,[],2001-2017,[],,1.5,0.0,"This topic combines two distinct belt-related issues: seat belt failures (primarily rear seat belts jamming, failing to retract, or unlatching) and accessory belt tensioner descriptions (serpentine/AC belt tensioners). The seat belt issues appear in older models (2001-2006) and are documented in NHTSA complaints and recalls, indicating a safety-critical failure. The accessory belt tensioner descriptions appear in later model snippets but lack explicit failure reports.","[""Rear seat belt jamming or failing to retract"", ""Seat belt pulling out with no tension or making unusual noises"", ""Difficulty latching rear lap belts""]","Test all seat belts, especially rear belts, for smooth retraction and secure latching. Check for any recalls related to seat belt mechanisms on older Golf models.",medium,31,Topic combines two mechanically distinct systems (safety seat belts and engine accessory belts). Seat belt data is recall/complaint-driven; accessory belt data is descriptive without clear failure patterns. Engine spec mostly unknown.
27,Driver frontal airbag inflator rupture risk (Takata recall),Airbag Inflator Recall,other,safety_recall,high,high,,,"[""2.0_TSI"", ""TDI_unknown""]",2010-2014,"[{""code"": ""Takata inflator"", ""name"": ""Driver frontal airbag inflator module"", ""notes"": ""Part of NHTSA recall 16V-061""}]",,1.3,0.0,"This topic is dominated by NHTSA safety recall documents describing a defect in the driver's frontal airbag inflator supplied by Takata. Upon airbag deployment in a crash, excessive internal pressure may cause the inflator to rupture or explode, posing a serious injury risk from metal fragments.","[""No pre-failure warning signs"", ""Recall notice from manufacturer""]",Check the vehicle's recall status via the VIN on NHTSA.gov or with a VW dealer to confirm the Takata airbag inflator recall has been completed. This is a critical safety item.,high,26,"Data is recall-dominated (22 of 26 documents from nhtsa_recall). This is a known, widespread safety campaign (Takata) not specific to VW engineering. The engine spec breakdown is largely 'unknown' as the recall affects multiple powertrains."
28,Premature rear brake pad and rotor wear due to sticking calipers or sliding pins,Rear brake wear,brakes,wear_item,medium,medium,30000.0,20k-40k miles,"[""TDI_unknown""]",2000-2017,[],"Reports include TDI models, but insufficient engine spec data to confirm if this is diesel-specific.",1.6,0.0,"Multiple owners report premature and uneven wear of rear brake pads and rotors, often requiring replacement well under 30,000 miles. A common diagnosis from service personnel is that brake dust accumulation causes the rear brake components to stick, leading to accelerated wear while the front brakes remain in good condition.","[""Grinding noise from rear brakes"", ""Brake warning light illumination"", ""Noticeably faster rear pad wear compared to front""]","When inspecting a used Golf, check the rear brake pad thickness and rotor condition, especially on higher-mileage examples. Listen for grinding noises and ask for service records to see if rear brakes have been replaced multiple times.",medium,32,"Data is complaint-dominated (NHTSA complaints, CarProblemZoo) with no TSB or recall data. Engine spec data is mostly unknown, limiting engine-specific conclusions. Year data is broad and inconsistent (many reports list placeholder years like 2000)."
