issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,merged_from_issue_ids,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
fuel_tank_suction_pump_recall,Fuel tank suction pump recall fire hazard,Fuel pump recall,fuel,chronic_failure,high,high,"[""2.0_TSI""]",,,Potential fire hazard due to accumulation in the fuel tank suction pump.,EVAP pump failure,,"[""Clogged charcoal canister""]",Check for any open recalls related to the fuel system.,2,2,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Subject to recall for specific years.,2,"[""evap_fuel_tank_pump_recall"", ""fuel_tank_suction_pump_recall""]","[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
manual_clutch_wear_limit,Manual clutch slips and wears prematurely,Clutch Wear,gearbox,wear_item,medium,high,"[""1.8_TSI"", ""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]",,,"Clutch slips or shreds, even with standard engine power. The standard clutch is considered to be at its limit with factory power, especially if modified.",Factory power output,Upgrade clutch,"[""Slipping clutch"", ""Burning smell""]",Test clutch engagement for slipping during acceleration. Test clutch under hard acceleration.,2,2,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Merged from 'manual_clutch_slip_wear' and 'clutch_at_power_limit' as they describe the same clutch wear issue.,2,"[""manual_clutch_slip_wear"", ""manual_clutch_wear_limit""]","[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
subframe_bolt_failure,Front subframe bolt clunking,Subframe Bolt,suspension,structural,high,high,[],,,Clunking sound from front end not from dampers/bushings.,Bolt failure,Replace subframe bolts,"[""Clunking noise"", ""Loose handling""]",Check subframe bolts for tightness and damage.,2,2,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,2,"[""subframe_bolt_failure"", ""subframe_bolt_issue""]","[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
sunroof_problems,"Sunroof leaks, rattles, squeaks, and cracks",Sunroof Issues,body,chronic_failure,medium,high,[],,,"Sunroof leaks during heavy rain, rattles and makes noises while driving, squeaks during operation, and can cause water leaks into the passenger side with staining on the A-pillar.","Clogged drain holes, worn seals, or structural issues.","Clean drain holes, replace seals, or repair/replace sunroof assembly.","[""Water stains on headliner or A-pillar"", ""Rattling noises from roof"", ""Squeaking during operation""]",Check for water stains on interior headliner and pillars. Operate sunroof to listen for noises. Inspect sunroof seals and drain holes.,2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,high,"Merged multiple sunroof-related issues (clogging, rattle, leaks, squeaks, cracks) from two videos.",2,,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015-2020""}",2015-2020,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
turbo_failure_early_models,Turbo seizure and failure on early 2015 models,Turbo Failure,engine,chronic_failure,high,medium,"[""all""]",2015,,"Turbo completely seizes up and fails or blows up, causing loss of power.","Turbocharger seizure, potential manufacturing or design flaw in early turbos.",Replace turbocharger assembly.,"[""Loss of power/boost"", ""Unusual turbo noises"", ""Excessive smoke from exhaust""]",Check for turbo performance and listen for abnormal sounds. Listen for unusual whistling or grinding noises from turbo. Check for excessive oil consumption or smoke.,2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged 'turbo_seizure_2015_models' and 'early_turbo_failure'. Specific mention of 2015/early 2015 models.,2,,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2015"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015""}",2015,,
turbo_failure_early_stop_start,Turbo failure due to stop/start or early failure,Turbo Failure,engine,chronic_failure,high,high,"[""1.8_TSI"", ""2.0_TSI"", ""CJXC""]",early model Mark 7s,,"Turbo failure caused by stop/start function leading to lubrication issues and overheating, or general failure leading to loss of power or boost pressure.",Stop/start system lubrication issues or turbocharger fault,"Replace turbocharger, disable stop/start","[""Loss of power"", ""Turbo noise"", ""Boost pressure loss"", ""Unusual turbo noises""]","Check turbo for signs of failure and ask about stop/start usage; check for boost leaks, unusual noises, or power loss.",2,2,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""A10fzR5rZ1g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,2,"[""turbo_failure_early_stop_start"", ""turbo_failure_stop_start""]","[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""early model Mark 7s"", ""from_llm_year_parsed"": [""2013-2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2015""}",2013-2015,,
washer_fluid_sensor_failure,Washer fluid sensor failure,Washer sensor,electrical,sensor_fault,low,medium,[],,,"Failure of the washer fluid level sensor, a shared fault with the GTI.",Sensor fault,Replace washer fluid level sensor,"[""False low fluid warning"", ""Sensor error""]",Check washer fluid warning functionality.,2,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Shared fault with GTI models.,2,,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
ac_solenoid_valve_failure,Air conditioning solenoid valve failure,AC Solenoid,cooling,sensor_fault,medium,medium,"[""2.0_TSI""]",,,Poor AC performance with noise from engine bay.,,,[],,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
adblue_system_faults,AdBlue system faults and sensor issues,AdBlue Faults,exhaust,sensor_fault,medium,high,"[""2.0_TDI""]",,,"AdBlue warning lights, countdown to no-start, and reduced performance due to faulty injectors, pumps, or level sensors.",Faulty AdBlue components or sensors,"Diagnose and replace faulty component (injector, pump, sensor)","[""AdBlue warning"", ""Countdown message"", ""Reduced power""]",Check for AdBlue system warnings and ensure tank is filled.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,Can prevent engine start if not resolved.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
alloy_wheel_crack_buckle,Alloy wheels crack or buckle,Wheel Damage,suspension,structural,medium,high,[],,,Visible cracks or buckling on the standard 19-inch Pretoria alloy wheels.,Impact or manufacturing defect,Replace or repair alloy wheels,"[""Vibration"", ""Visible damage""]",Inspect wheels for cracks and buckling.,1,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.8_TSI"", ""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
