topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_engines,affected_years,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
11,DSG gearbox mode selection and manual paddle usage dissatisfaction,DSG mode complaints,gearbox,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI""]",,[],"Primarily affects 2.0 TSI (GTI/R) engines, with some 2.0 TDI (GTD) representation; not linked to specific mechanical failures.",4.0,1.349,"Forum users frequently discuss dissatisfaction with DSG automatic mode selection, particularly finding Normal mode too sluggish and Sport mode too aggressive, with no satisfactory intermediate setting. Threads focus on manual paddle usage, mode comparisons (Eco, Sport, Individual), and general DSG driving experience rather than reporting mechanical faults.","[""Driver feels DSG is rarely in desired gear"", ""Dissatisfaction with gap between Normal and Sport modes"", ""Frequent use of manual mode or paddles to override automatic selection""]","Test drive should include evaluation of all DSG modes (Eco, Normal, Sport, Individual) in varied conditions to assess personal compatibility with automatic shift logic.",high,106,"This topic represents subjective driving experience complaints rather than technical failures; low median mileage (5,000 miles) suggests discussions occur early in ownership during adaptation period."
12,Auto Hold and Electronic Parking Brake Engagement/Release Issues,Auto Hold Faults,brakes,intermittent_fault,medium,medium,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI""]",2009-2020,[],No strong mechanical engine link; issue is related to electronic brake and convenience systems across engine types.,2.8,1.395,"This topic centers on user confusion and intermittent faults with the Auto Hold and electronic parking brake systems. Complaints include unexpected brake release causing roll-away, aggressive or delayed Auto Hold disengagement when pulling away, and conflicts with the Start-Stop system when opening doors.","[""Unexpected parking brake release when starting car and putting on seatbelt, causing vehicle to roll"", ""Delayed or aggressive brake release when using Auto Hold feature, especially on hill starts"", ""Start-Stop system cutting engine and automatically applying handbrake when driver door is opened""]","Test the Auto Hold and electronic parking brake functions repeatedly during a test drive, including on an incline, and check for any error messages related to the brake system or seatbelt sensors.",medium,76,"High proportion of 'unknown' engine specs and low median mileage suggest issues may appear early and are not strongly mileage-dependent. The chronic signal indicates recurring discussion, but it may relate more to system understanding/operation than a widespread hardware failure."
13,"Keyless entry and security system issues, including fob battery drain, relay theft concerns, and alarm/insurance discussions",Keyless Security Issues,electrical,intermittent_fault,medium,high,15000.0,7000-33000 miles,"[""2.0_TSI""]",2013-2025,[],"Strongly associated with 2.0 TSI (GTI/R) models, with no specific mechanical engine fault indicated.",2.7,1.694,"This topic centers on problems and concerns with the keyless entry system, including rapid fob battery drain, functionality confusion, and security vulnerabilities to relay theft. Discussions frequently extend to related alarm system behavior, insurance implications, and potential software fixes using tools like OBDeleven.","[""Key fob batteries draining quickly"", ""Intermittent failure of keyless door unlocking"", ""Increased insurance premiums or questions due to theft risk""]","Test all keyless entry functions on all doors, check for any stored fault codes in the central electronics module, and inquire about the vehicle's theft history and any aftermarket security modifications.",high,72,"The topic mixes operational questions, minor faults (batteries), and major security concerns, making it broad. The high coefficient for 'engine_spec_reg_unknown' suggests many posts may not specify the engine when discussing this electrical/security feature."
14,"Infotainment system issues with Bluetooth, SD card, and navigation unit functionality",Infotainment faults,electrical,intermittent_fault,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.2_TSI""]",2012-2018,[],,2.8,1.527,"This topic covers recurring complaints about the infotainment system, including Bluetooth connectivity problems (contact photos not displaying), SD card compatibility and power issues, navigation unit lock-ups, and missing DAB radio information. The issues appear early in vehicle life (median 5k miles) and affect multiple Golf generations, particularly those with newer production years.","[""Bluetooth fails to display contact photos on screen"", ""Navigation unit freezes or locks up repeatedly"", ""DAB radio information stops being received"", ""SD card compatibility or power issues with media playback""]","Test all infotainment functions during a test drive: check Bluetooth phonebook transfer and contact photo display, verify SD card media playback, test navigation system responsiveness, and confirm DAB radio information is displayed.",high,74,"The topic shows strong association with newer production years (positive coefficient for prod_year_centered) and 'technical_bucket_medium' posts, suggesting it's a documented technical issue rather than casual discussion. High proportion of 'unknown' engine specs may indicate owners of newer vehicles who haven't yet specified their engine in forum profiles."
15,Advanced driver assistance system (ADAS) false activations and faults,ADAS false activations,electrical,intermittent_fault,medium,high,5500.0,3600-28000 miles,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI""]",2007-2019,[],No specific engine failure pattern; issue relates to electronic driver assistance systems common across engine types.,2.8,1.342,"This topic captures recurring complaints about false activations and intermittent faults with advanced driver assistance systems, particularly Adaptive Cruise Control (ACC), Front Assist, and Lane Assist. Users report unexpected emergency braking, collision warnings, and system unavailability messages, often with no apparent obstruction, leading to confusion and potential safety concerns.","[""Intermittent 'ACC unavailable' or 'Front Assist unavailable' warnings"", ""Unexpected emergency braking or collision warnings with no visible threat"", ""System faults logged for 'obstructed view' when sensors appear clear""]","Test all ADAS functions during a test drive, including ACC and Front Assist, and check for any stored fault codes related to radar or camera systems.",high,76,"The issue appears to be electronic/sensor-based rather than mechanical, with a chronic signal suggesting it is a recurring, unresolved complaint across model years. The positive coefficient for diesel engines (1.6_TDI, 2.0_TDI) suggests these may be slightly more prevalent in those variants, but the issue affects petrol GTIs significantly as well."
16,"Headlight and lighting system configuration, coding, and fault diagnosis",Lighting coding/faults,lighting,intermittent_fault,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI"", ""1.2_TSI""]",2010-2021,"[{""code"": ""5Q0"", ""name"": ""Headlight control module (likely part of lighting system)"", ""notes"": ""Appears in topic terms, associated with lighting control/coding""}]",No strong engine-specific failure pattern; topic is dominated by 2.0_TSI (44.6%) but this likely reflects general Golf GTI/R ownership discussing lighting features rather than an engine-linked fault.,2.4,1.046,"This topic captures recurring discussions about headlight and lighting system configuration, activation, coding, and fault diagnosis on VW Golf models. Users are seeking help with enabling features (fog lights, DRL behavior, cornering lights, coming/home functions), diagnosing faults (e.g., cornering headlamp failures), and understanding the behavior of advanced lighting systems like LED, xenon, and dynamic cornering lights.","[""Fault codes related to headlight units (e.g., 'Left hand stationary')"", ""Unexpected lighting behavior (e.g., rear lights staying on with DRLs, coming/home lights turning off when door opens)"", ""Cornering headlight functions intermittently failing""]","Test all lighting functions during a pre-purchase inspection: auto headlights, high beam assist (if fitted), cornering lights, fog lights, and coming/home leaving functions to ensure proper operation and coding.",high,65,"The topic represents general owner inquiries and troubleshooting for complex lighting systems rather than a specific chronic mechanical failure. The high coefficient for 'technical_bucket_medium' suggests these are moderate-complexity technical discussions. The positive coefficient for 'engine_spec_reg_unknown' may indicate many posters did not specify their engine when asking about lighting, which is a non-engine-specific system."
17,Wheel and tire upgrades affecting ride quality and performance,Wheel upgrades,suspension,other,low,high,,,"[""2.0_TSI""]",2012-2019,[],,2.5,1.309,"This topic centers on enthusiast discussions about aftermarket wheel and tire upgrades, specifically the impact of switching to larger diameter (19"") or different style wheels (e.g., Pretoria, Belvedere, Brescia) on ride comfort, perceived performance, and vehicle dynamics. Users report a firmer, bumpier ride with 19-inch wheels compared to 18s, and some note a subjective feeling of reduced acceleration and altered engine noise after fitting heavier wheels.","[""Firm or bumpy ride quality after wheel upgrade"", ""Perceived reduction in acceleration or engine response after fitting larger/heavier wheels""]","When buying, check if aftermarket wheels are fitted and inquire about any changes to ride comfort or handling noted by the owner. Verify wheel weights if performance is a priority.",high,68,"This is not a mechanical failure topic but a recurring discussion about modification effects. The strong association with the 2.0_TSI engine (GTI/R models) and low median mileage (3,500 miles) suggests these are common early modifications by performance-oriented owners."
18,Windscreen wiper system faults and under-bonnet trim/sound insulation issues,Wiper/Trim Issues,electrical,intermittent_fault,low,medium,,,"[""2.0_TSI"", ""2.0_TDI""]",2012-2020,[],No strong engine-specific pattern; issue appears across both 2.0 TSI (GTI/R) and 2.0 TDI (GTD) variants.,2.4,1.477,"This topic captures recurring complaints about poor-performing automatic windscreen wipers and under-bonnet trim/sound insulation that shrinks, sags, or causes creaking noises. The issues appear early in vehicle life (median 5k miles) and affect multiple model years, suggesting persistent manufacturing or design shortcomings rather than wear-related failures.","[""Automatic wipers activating erratically or failing to activate in heavy rain"", ""Creaking noises from under the bonnet over rough ground"", ""Missing, sagging, or shrunk under-bonnet sound insulation/heat shield""]",Check the condition and fit of the under-bonnet sound insulation/heat shield for shrinkage or sagging. Test the automatic wiper function in varying rain conditions to assess sensor responsiveness.,medium,65,"High proportion of unknown engine specs (35.4%) and limited explicit part references in snippets reduce diagnostic specificity. The negative mileage_log coefficient suggests issues arise early, not with wear."
19,Bridgestone factory tyre dissatisfaction and winter tyre recommendations,Bridgestone tyre complaints,other,wear_item,medium,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI"", ""1.9_TDI"", ""1.4_TSI""]",2012-2019,[],No specific engine pattern; issue appears across all engine specs with 2.0_TSI (GTI/R) most prevalent due to higher performance demands.,2.2,1.65,"UK Golf owners, particularly GTI/GTD drivers, report widespread dissatisfaction with factory-fitted Bridgestone tyres (often S001), citing poor wet grip, excessive wheel spin, high noise, and reduced traction. Forum discussions focus on tyre replacements, with Michelin Pilot Sport 4 and winter tyres like Michelin Pilot Alpin 4 frequently recommended as superior alternatives.","[""Excessive wheel spin in 1st/2nd gear, especially when cold"", ""Poor wet traction with traction control light flashing under acceleration"", ""High road noise compared to alternative tyres""]",Check tyre brand and model on used Golfs; factory Bridgestones may indicate imminent replacement cost and reduced driving satisfaction.,high,60,This is a subjective wear-item discussion rather than a mechanical failure; chronic signal suggests recurring debate about tyre choices rather than unresolved technical faults.
20,"Fuel economy and consumption discussions, particularly regarding real-world MPG versus manufacturer claims and fuel octane (95 RON unleaded)",Fuel Economy,other,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI"", ""1.4_TSI"", ""1.8_TSI"", ""1.0_TSI"", ""1.2_TSI"", ""1.9_TDI""]",,[],"The topic is dominated by 2.0 TSI (GTI/R) owners (64.8%), but appears across all engine specs, indicating a general concern rather than a specific engine fault.",3.4,1.505,"This topic captures recurring forum discussions where owners compare real-world fuel consumption (MPG) and tank range, often expressing disappointment that their figures fall short of manufacturer claims or other users' reports of ~40mpg. The dialogue is informational, focusing on typical usage patterns, fuel type (95 octane), and long-term averages rather than reporting a mechanical fault.","[""Real-world MPG consistently below 30mpg in mixed driving for petrol GTIs"", ""Significant deviation from expected tank range or long-term average consumption""]",Check the car's trip computer for long-term average MPG; ask the owner about typical driving conditions and realistic fuel economy expectations.,high,91,"This is a discussion topic, not a failure mode. The negative coefficient for 'mileage_log' suggests the conversation is more prevalent among lower-mileage vehicles, likely from new owners establishing baseline expectations. The 'chronic_signal' score reflects its recurring, unresolved nature as a point of comparison and concern."
21,New vehicle order tracking and delivery issues,Order Tracking,other,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI"", ""1.4_TSI"", ""1.8_TSI""]",,[],,2.0,1.943,"This topic is not about a vehicle fault, but rather a recurring discussion among forum members tracking the build and delivery of their new vehicles. The data shows a low median mileage, a high prevalence of the 2.0 TSI engine (GTI/R), and discussions centered on build weeks (BW), shipping ports (Emden), and transit delays.","[""Extended wait times for vehicle delivery"", ""Lack of communication from dealer regarding build status""]",Not applicable for used vehicle purchase; this topic relates to the new vehicle ordering process.,high,53,"The topic's high chronic signal score and prevalence likely reflect persistent, unresolved customer service experiences with the ordering and delivery process, not a mechanical or technical vehicle failure. The covariate analysis showing a positive coefficient for 'technical_bucket_medium' is an artifact of the forum's categorization of these waiting/delivery threads."
22,"DSG gear selection issues with grinding, clunking, and difficulty engaging reverse or second gear",DSG gear selection,gearbox,chronic_failure,medium,high,5000.0,1200-30000 miles,"[""2.0_TSI"", ""2.0_TDI""]",2008-2020,"[{""code"": ""0AM325065"", ""name"": ""DQ200 mechatronic unit"", ""notes"": ""Primary failure point for 7-speed dry DSG. Symptoms: judder, gear slip, limp mode.""}, {""code"": ""02E305051C"", ""name"": ""DQ250 mechatronic unit"", ""notes"": ""Potential failure point for 6-speed wet DSG, though less common than DQ200 issues.""}]",Issue strongly associated with 2.0 TDI (coefficient +0.74) and appears across both petrol and diesel DSG variants.,1.9,1.06,"This topic describes recurring problems with VW DSG gearboxes, primarily difficulty selecting reverse gear and grinding/clunking noises in second gear during low-speed maneuvers. The issue appears early in vehicle life (median 5k miles) and affects both the 6-speed wet (DQ250) and 7-speed dry (DQ200) DSG units, with a strong statistical signal for 2.0 TDI engines.","[""Grinding noise in 2nd gear at 5-10 mph"", ""Difficulty selecting reverse gear"", ""Clunking sound when coming off throttle in 2nd gear"", ""Temperamental or delayed gear engagement""]","When test driving, pay close attention to low-speed gear changes in 1st-2nd gear and reverse selection, listening for grinding or clunking noises, especially in stop-start traffic conditions.",high,50,"Topic shows negative correlation with mileage (coefficient -0.44), suggesting issues manifest early rather than being high-mileage wear. 20% of threads have unknown engine spec, and production year data is sparse but shows cases from 2008-2020."
23,"Discussion of fuel economy, emissions, and production specifications for performance models",Fuel Economy & Specs,other,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI"", ""1.5_TSI""]",2010-2018,[],,2.2,1.525,"This topic captures general discussion and comparisons between Golf GTI, GTD, and R models, focusing on fuel economy, CO2 emissions, tax implications, and production announcements. The data shows a recurring interest in the trade-offs between performance and running costs, particularly when choosing between petrol and diesel variants.",[],This is not a fault topic; it relates to general ownership considerations and model specifications.,high,59,"Topic terms and thread snippets indicate this is not a discussion of mechanical faults, but rather general model comparison, specification, and ownership cost topics. The chronic signal score suggests it is a recurring theme of discussion among owners."
24,Manual clutch slip and slave cylinder failure in VW Golf GTI/R,Clutch slip,gearbox,wear_item,medium,high,23500.0,7000-48000 miles,"[""2.0_TSI""]",2013-2018,[],"Primarily affects 2.0 TSI engines (GTI/R) with manual transmissions, not DSG-specific.",1.5,1.075,"Manual clutch slip is a recurring issue in VW Golf GTI/R models, often occurring at relatively low mileage (median 23,500 miles). The problem is frequently associated with aftermarket tuning (e.g., Revo maps) and includes symptoms like clutch judder when cold, slipping under load in higher gears, and slave cylinder leaks causing fluid loss.","[""Clutch slipping under load in 5th/6th gear around 2500-3000rpm"", ""Clutch pedal sticking to floor due to fluid leak from slave cylinder"", ""Judder during clutch engagement when cold""]","Test for clutch slip under load in higher gears (5th/6th) around 2500-3000rpm, check clutch fluid level and for leaks around slave cylinder, and inquire about any aftermarket tuning history.",high,40,"High proportion of unknown engine specs (30%) may slightly skew engine-specific patterns, but strong signal for 2.0 TSI manual models. Issue appears mileage-dependent (positive coefficient for mileage_log) rather than year-dependent."
25,"Engine oil level monitoring, top-up requirements, and minor sump leaks",Oil level/leaks,engine,fluid_leak,low,high,10000.0,5000-20000 miles,"[""2.0_TSI"", ""2.0_TDI""]",2013-2020,[],"Primarily affects 2.0 TSI (GTI/R) engines, with some 2.0 TDI involvement; no strong link to high-mileage oil consumption failures.",1.5,0.805,"Forum users frequently discuss checking and topping up engine oil, with many threads noting minor oil misting or wet patches around the sump/oil pan area, particularly on low-mileage examples (median 10k miles). The topic shows a recurring pattern of owner concern over normal oil consumption or minor sealing weep, rather than catastrophic leaks.","[""Oil level dropping into 'top-up' range between services"", ""Visible oil mist or wet patch on sump/oil pan, especially near level sensor or rear seal""]","Check for oil misting or dampness on the sump, particularly at the rear near the level sensor and differential seal; verify oil level is within spec and inquire about top-up frequency.",high,41,"High 'unknown' engine spec percentage (36.6%) and positive coefficient for 'unknown' in regression suggests many posts lack specific engine details, though 2.0 TSI dominance is clear. The negative mileage_log coefficient indicates this is more common at lower mileages."
26,"Wheel alignment, tyre wear, and steering geometry issues",Wheel Alignment,suspension,wear_item,medium,high,18645.0,9k-43k miles,"[""2.0_TSI"", ""2.0_TDI"", ""1.6_TDI"", ""1.4_TSI""]",,[],"No specific engine pattern; issue appears across all engine specs with slight positive correlation to diesel engines (1.6_TDI, 2.0_TDI) per regression coefficients.",1.6,1.25,"Forum users report wheel alignment, tyre pressure, and steering geometry problems, often following impacts with kerbs or potholes. The issue correlates with increasing mileage and appears across multiple engine types, suggesting it's a general wear or maintenance item rather than a specific model fault.","[""Uneven or rapid tyre tread wear"", ""Vehicle pulling to one side while driving"", ""Steering wheel off-centre when driving straight""]",Check tyre tread depth and wear patterns across all tyres; inspect alloy wheels for kerb damage; verify wheel alignment measurements if uneven wear is present.,high,44,"Topic terms strongly indicate alignment/tyre issues, but representative snippets suggest many incidents are triggered by specific impact events (kerbs, collisions) rather than spontaneous failures. Limited production year data prevents identifying model year patterns."
27,"Retrofit and aftermarket installation of parking assistance, navigation, and camera systems",Park assist retrofit,electrical,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI""]",,"[{""code"": ""5Q0"", ""name"": ""VW part number prefix for electrical/electronic components"", ""notes"": ""Appears in topic terms, likely referencing specific retrofit kits or modules""}, {""code"": ""1T0919297A"", ""name"": ""Park Assist control unit"", ""notes"": ""Mentioned in thread snippet #5 as part of Golf 7 park assist retrofit""}]",No specific engine-related failure pattern; topic is about aftermarket installations rather than mechanical issues.,1.4,1.184,"This topic centers on forum discussions about retrofitting advanced electronic systems to VW Golf vehicles, particularly parking assistance (Park Assist), rearview cameras, navigation upgrades (MIB2.5), and dashcam installations. Users seek advice on compatibility, installation procedures, and integration with existing systems like lane assist cameras and factory sensors.","[""Aftermarket wiring modifications visible behind dashboard or trim"", ""Non-functional parking sensors or camera following retrofit work"", ""Error codes related to parking assist or camera systems""]","Check for aftermarket wiring, ensure all parking sensors and cameras function correctly, and verify no error codes are present in the infotainment or parking assist systems.",medium,38,"This is not a chronic failure topic but rather a discussion topic about modifications. The chronic signal score may reflect recurring questions/uncertainty about retrofits rather than a reliability issue. Mileage data is insufficient, and engine/year breakdowns are not meaningful for this retrofit-focused topic."
