topic,terms_frex,prevalence,prevalence_tech,technical_signal,chronic_signal,min_km,max_km,avg_km,representative_text,prevalence_blended,prevalence_pct,mileage_range
11,"efb, agm, akuler, 70ah, efb_aku, cca, varta_agm_aku, varta_aku, varta_efb, 68ah",0.04474113388719692,0.046823649625136465,1.669672363445779,0.8944176129380389,5800,150000,72500,"[...merhaba, aracim 3 yilini yeni doldurdu. edremit d-550 3 seritli ana yolda gece saat 04 sularinda kirmizi isikta durdu, start stop devreye girdi, arac sustu. ancak yesil yandiginda arac calismadi; 12 v battery almost empty uyarisini aldim.gece karanliginda ana yolda 4luler bile calismiyordu, sikinti....] | [...arkadaslar, 2015 euro 6 1.2 tsi aracima az once bindim ve calistirdiktan 5 sn kadar sonra baya hissedilir bir sekilde tekleme oldu ve fotografta eklemis oldugum motor ariza isigi yanip sonmeye basladi, biraz bekleyip 1400-1500 devirlere getirdim bosta araci, ondan sonra duzeldi. sorun yakittan diye ...] | [...merhaba abilerim. 2016 model 1.2 tsi comf. golfum var. normalde fazla kullanan da birisi degilim fakat bu pandemi dolayisiyla bu kullanim orani daha da dustu. oncesinde de akumun bi degeri vardi adini unuttum o zaman da dusuk cikmisti normalden. degistirelim mi dedigimde su an gerek yok denmisti. bu...]",0.045678265969269716,4.6,6000 - 150000 km
12,"159.000, kontakta, helicoil, rezistans, esik, blk, buzz, cekince_susuyor, damlasi_seciliyken, eds",0.04337683511388966,0.043985264283326206,1.7008998634234105,0.8301385666740861,3000,104000.00000000006,30000,[...degerli forum uyeleri 2015 golf 7 1.6 tdi 110 bg aracim var . gecenlerde aldigim bir yakitin ardindan sabah zor calismaya basladi ve sogukken cekisten dusme yakit sarfiyatinda artma ve sogukken yuksek sesli calismaya basladi.  3 ozel servise ve  1 pompa ustasina  goturdum hepsi enjektor dedi yetkili...] | [...arkadaslar bu benim 3. golf 7’im ama nedense 2015 ikinci yari uretim bu aracimda daha 30 bin km’yi yeni doldurdum ama sorunlar cok ve garanti bitti. zaten isin ilginc yani garanti bitince basladi bu sorunlar. arkadaslar bu benim 3. golf 7’im ama nedense 2015 ikinci yari uretim bu aracimda daha 30 bi...] | [...arkadaslar merhaba baslikta da belirttigim uzere seyir halindeyken sag on kapidan titresim sesi geliyor bunun icin ne kullanmaliyim. ses sadece seyir halindeyken geliyor kapiyi acip kapatirken ses yok. wurth silikon sprey aldim fakat o daha cok arac ici trim veya kapi filtreleri icin kullaniliyormus...],0.0436506282401361,4.4,3000 - 104000 km
13,"rpm, 650, 23.3.1, etti̇, burcun, burc, tavanli, burclari, kasa, yataklarin",0.03594499448695197,0.03404366685106123,1.2962633732119648,0.8778123581057656,14000.000000000004,122800.00000000004,45000,"[...herkese iyi gunler, 2014 golf7 1.2tsi aracim son zamanlarda ilk calistirmada yuksek devirli calisiyor. gormek adina anlik yakit tuketimine baktigimda 2.4. 2.5 litreden 0.7 0.8 litreye yani normal rolanti haline dusmesi biraz zaman aliyor. neyin nesidir bu daha once olmazdi bilgisi olan varmi? herkes...] | [...1.4 tsi aracimda sikirdili titresimli calisma ve performans dususu yasamaya basladim. 1.4 tsi aracimda sikirdili titresimli calisma ve performans dususu yasamaya basladim. atesleme kontrol edildi bobin buji degisti. sorun herzaman yapmiyor genelde sogukken oluyor 1 dk sonra normale donuyor. arac ari...] | [...vcds ile dsg tupunun basincini nasil gorebiliriz ve olmasi beklenen degerler nedir? vcds ile dsg tupunun basincini nasil gorebiliriz ve olmasi beklenen degerler nedir? daha once asagidaki adimlari izleyerek sifirlama yapmistim fakat basinci da burada mi izlemeliyiz yoksa hareket halindeyken baska ye...]",0.035089397050801135,3.5,14000 - 123000 km
14,"korna, yastigi_uyarisi, airbag, alarm, yastigi, tusunun, kalktigimda, dwa, abs, po",0.048984725111870867,0.04432791125895969,1.5290982963100175,0.7001361878425945,4820.000000000001,86977.6,32000,"[...bayram oncesi aracin 105.000 bakimlarini yetkili serviste yaptirdim. gayet saglam bilgisini aldim. didim'e gidip geldim. 1600 km yol yaptim. hic sorun yasamadim. fakat geldigim gunun ertesinde sabah araci calistirmaya kalktigimda mars basiyor fakat motor calismiyordu. 4-5 defa denedim. sonra motor c...] | [...merhaba dostlar. 2016 mk7 golf 1.2 tsi dsg comfort aracimin rolantide titreme sorunu var 60bin bakimi geliyor. bujilerini ve filtrelerini degistirecegim etkisi olur mu bilmiyorum. ayni sorunu yasayan arkadaslarimiz var ise deneyimlerini paylasirsa cok sevinirim. merhaba dostlar. 2016 mk7 golf 1.2 ts...] | [...merhabalar, aracim 2014 manuel 1.4 tsi 73.000 de. ornek olarak 5.viteste giderken araba devir arttiriyor ve ekranda vitesi 4 ten 5 e yukseltin uyarisi cikiyor. 6.viteste giderken ayni sekilde 5 ten 6 ya at uyarisi geliyor yine araba aniden devir alarak. ustaya gosterdim baski balata daha gider dedi ...]",0.046889158878060846,4.7,5000 - 87000 km
15,"contitech, silikat, kayis, devirdaim, rot, devirdaim_pompasi, ina, triger, kayisi, rot_ayari",0.042082560315293754,0.05384966972393146,2.6295683369391796,0.8414835183312049,10000,120000,45000,[...arkadaslar merhaba 20 gun once aldigim 1.6 tdi 2013 126.000 km golf aracim sanziman hatasi verdi. arac vitese gecmiyor. ne d ye ne r ye. gaza basinca bostaymis gibi sadece gaz veriyor oda 1.500 2.000 devire kadar. arabayi evin onune cekebildim. arkadaslar merhaba 20 gun once aldigim 1.6 tdi 2013 126...] | [...arkadaslar selamlar. 200 km de 1.6 tdi golf 7 var birtane. 2013 model. sahibi ikinci sahibi ve 1 yildir kullaniyor. motoru hakkinda herturlu garantiyi veriyor. bende degisen motor parcalarini soruyorum ama bir turlu su degismis gibisinden birsey demiyor. istedigin servise gotur diyor. arkadaslar sel...] | [...2 hafta kadar once vw golf 2016 1.6 tdi dsg arac aldim. aracimda parikul arizasi mevcut ote yandan fren balatalarinin da degismesi gerekiyor bir de on takimda gicirti ses mevcut ozellikle kasis ve bozuk yollarda. rot&balans ayarida duzgun degil. biraz titreme de yapabiliyor yuksek hizlarda. yani asa...],0.04737775954918072,4.7,10000 - 120000 km
16,"bobinler, bujiler, buji, bobin, misfire, tekleme, sondu, bujiyi, epc, atesleme",0.05475910389522845,0.0666118931748924,2.1837690633648705,0.9562618720279439,4000,90000,30000,"[...merhabalar.aracim 2016 1.4 tsi 125 manuel.motor sogukken hic bir titreme yapmiyor ama   son 1 ayda motor yag sicakligi normal iken aracimin  2 kere rolantide kirmizi isikta beklerken  baya titredigini hissettim yani normalde de cok az bir titreme vardi ama bu 2 si onlara kiyasla daha fazlaydi yanimd...] | [...iyi forumlar, golf 7 1.2 tsi 190 km’de aracimda zaman gectikce artan ozellikle yokuslarda kendini belli eden alt devirlerde duyulan sakirdama, metalin metale vurmasi sesi gelmekteydi. ancak rolantideyken gaza bassam da bu ses hicbir turlu gelmiyor. ya da yokus asagi motor freni ile de inerken devir ...] | [...merhabalar 2014 1.4 tsi 140 act aracim var arac 112 binde aracta zaman zaman epc isigi yaniyodu arac titremeye sarsintili calismaya ve teklemeye basliyor sanki silindirlerden bazilari calismiyo gibi haziran ayinda ustaya goturdum buji ve bobinler degisti simdi tekrar aynisi oldu yine goturdum triger...]",0.060092859071077226,6,4000 - 90000 km
17,"2032, carglass, dumpvalve, pil, 2019.11.02, 653, 980, buharlastirma, bypass_valveforhighpressturbochargerturbine_inlet, date",0.04235082448226608,0.04274598707288011,1.6523888698560898,0.8324746281836994,10000,160000,100000,[...herkese merhabalar basimdan gecen surec cok ilginc ve servis ilk defa boyle bir durumla karsilastiklarini soyledi. aracim 2013 golf 1.2 tsi manuel 120 bin kilometrede. herkese merhabalar basimdan gecen surec cok ilginc ve servis ilk defa boyle bir durumla karsilastiklarini soyledi. aracim 2013 golf ...] | [...beyler gecen yil bu zamanlar balatalri douus oto da orjinali ile degistirdim. ilk etapta frene basinca ses gelmeye basladi. belli bir sure arabayi kullandiktan sonra geliyor ses... servise ve forumlarda sordum ilk degisiklik sonrasi gelebilecegini ve sonra 1-2 aya gececegini soylediler. fakat hala d...] | [...merhaba. bilmiyorum basina gelen var mi ama 2013 golf 7 dizel aracimda bazi zamanlarda ortalama yakit 40.9 litrelere cikmakta ve bunla birlikte yakit seviyesinde de hizla azalma gostermekte. bu surekli olan bisey degil ama tam olarak neyden kaynaklandigini cozemedim. bununla ilgili geri donusleriniz...],0.0425286476480424,4.3,10000 - 160000 km
18,"trw, ate, auto_hold, autohold, debriyaj, balata, disk, yokusta, balatalari, vitese",0.0651982357995526,0.07221714632905049,2.03565836134308,0.8392386947227463,10000,121000.00000000003,53661.5,[...aracima gecen hafta sifir aldigim on arka ate balata seti(orjinal oldugunu teyit ederek)ve on diskleri zimmermann delikli spor olaniyla degistirdim.balatalari degismeden once herhangi bir ses vs sorunum yoktu.arkalarim azalmisti onlerde 312 mm boyutuna gecmek icin keyfi olarak degistirdim.on balatal...] | [...yolda seyir halinde yokus asagi giderken dsg sanzumanda vitesi bosa almak araca zarar verir mi? fikriniz nedir? yolda seyir halinde yokus asagi giderken dsg sanzumanda vitesi bosa almak araca zarar verir mi? fikriniz nedir? arac kitapciginda onerilmiyor diye biliyorum. bir kac kere benim de yanlisli...] | [...selam ustadlar selam ustadlar yaklasik 400 km once arka balatalari ferodo ile degistirdim bitmemisti bir tarafin ici dengesiz asindigindan dolayi hic otme vikvikleme sorunum yoktu genelde fren esnasinda balata otme sesi olur bende tam tersi durum var balatadan midir anlayamadim 5 ~ 20 km arasi hizda...],0.06835674553782665,6.8,10000 - 121000 km
19,"petek, perte, yonlendirme, ayaklara, klima_yonlendirme, behr, guncellemeden, konsolu, buzda, cpt",0.0522602196204071,0.05074057902748313,1.428080372801159,0.8693841844491786,3400,84200.00000000001,32500,"[...merhaba, bahsettiginiz 1.6 dizel arkadasimda var. onceki nesillere gore daha iyi ama bana gore hala cok sesli ve arkalar bagimsiz suspansiyon olmadigindan dolayi cok konforsuz. 1.5 tsi varken 1.6 tercih etmemenizi oneririm. 1.5 tsi kullanicisiyim ve istanbul ici ortalamam 5.9 - 6.3, uzun yolda 4.2 g...] | [...aracim(2013 1.6 tdi golf) hafta once yolda giderken esc,direksiyon,abs ve lastik basinc lambalari aniden yandi sordugumda sorunun akuden oldugu soylendi. akuyu degistirdikten sonra sorun cozulmedi kontak actigimda abs ve lastik basinc yaniyor 3 4 saniye yol gittikten sonra sonuyor, ve 10 20 metre gi...] | [...arkadaslar golf 7 aracimda karda yada buzda fren yaptigimda abs devreye gidiyor ama yere vurma yapmiyor cit cit cit diye ses geliyor karda kayarken sanki abs calismiyor gibi. eski arabam yere basincli vuruyordu clio 4, fakat bu araba yere sert vurmuyor sadece cit cit cit diye geliyor.. arkadaslar go...]",0.051576381353591313,5.2,3000 - 84000 km
20,"eksiltme, eksilten, kulbutor, eksiltiyor, segmanlari, eksiltir, carbon_clean, yagin, yagda, silindir",0.018373696009244773,0.03973217430219572,4.5312787573919335,1.4621097290829046,5200,129200,32500,"[...aracim golf 7 2013 model 131.500 km de aracim golf 7 2013 model 131.500 km de 128 binde bakimlarini yaptirdim . dun yap seviyesi azaldi uyarisi verdi 1 lt yag koydum duzeldi . 3500-4000 km arasi uyari veriyor . sorun ne olabilir bilgisi olan var mi . merhaba, forumu incelerseniz 1.2 1.4 tsi larda ya...] | [...arkadaslar iyi gunler ismim omer foruma istanbul'dan yeni katiliyorum. 2013 142000 kilometrede golf 7 1.2 twi 105 manuel aracim var. 7 ay once 132 binde aldim. ilk sahibi 120 bin kilometreye kadar full yetkili servis bakimli kullanmis ampul patlagina bile servise gitmis faturalari duruyor. aldigim k...] | [...clh motor kodlu aracimda enjektor diplerinde tabiri caizse yag goleti olusmaya baslamisti. ozellikle 3.ve 4. enjektor dibinde. buna bagli olarak enjektor kecesi (contasi) degistirildi. contalari aldigim ilk parcaci arac sase koduna baktiktan sonra conta kutusundan 2'si farkli marka 4 tane conta verd...]",0.0279850112410727,2.8,5000 - 129000 km
