doc_name,thread_name,thread_url,dominant_topic,topic_gamma,engine_spec,prod_year,engine_group,mileage_miles,mileage_confidence,technical_bucket,chronic_score,n_messages,gamma_vector
doc_00041,Hot air blowing only from passenger vent issue,https://www.golfgtiforum.co.uk/index.php?topic=291392.0,3,1.0,2.0_TSI,,unknown,,none,high,1,10,"[2.3884796088648873e-308, 2.718671945737539e-308, 1.0, 4.523486404129786e-308, 2.2382636413795345e-308, 2.214295427422591e-308, 4.856047445283228e-308, 2.4731611260837014e-308, 2.0012669607486904e-308, 2.230064932371356e-308, 2.3054551849107596e-308, 2.646753447907511e-308, 2.9408717395916877e-308, 3.1503015930566957e-308, 3.819283753333601e-308, 3.1272130540406377e-308, 1.983018227358463e-308, 5.063620080240837e-308, 1.9907874729694203e-308, 1.998405163218903e-308, 3.7328934843229047e-308, 2.4817513797601954e-308, 2.1366428826305034e-308, 2.175952177003402e-308, 7.195297841368282e-308, 2.479896705092474e-308, 3.2303522727323897e-308]"
doc_00043,7.5 performance dsg remap,https://www.golfgtiforum.co.uk/index.php?topic=291413.0,9,0.037807864854241896,1.4_GTE,2019,MK7.5,,none,high,0,4,"[0.015797070961708976, 0.00671409838686634, 0.008051369697553136, 0.008367156135566642, 0.0069344374094223475, 0.018618143668326734, 0.011229642446642393, 0.013107102645497975, 0.037807864854241896, 0.015724046833159547, 0.2311248780341611, 0.015974594414364676, 0.009629434375065495, 0.01972267601889011, 0.013345519801550219, 0.010743790723447584, 0.0074360185150548885, 0.013250856494098982, 0.007036111075681095, 0.017619459845337665, 0.01167190790518506, 0.07001826522301506, 0.01844865326671063, 0.03923818537711338, 0.008364508582728435, 0.008549841699355295, 0.014698198931856105]"
doc_00044,Strange heating issues,https://www.golfgtiforum.co.uk/index.php?topic=291410.0,3,1.0,2.0_TSI,2013,MK7,88000.0,high,high,1,5,"[2.367970331208199e-308, 2.6822098123866296e-308, 1.0, 4.460014603089983e-308, 2.208483911020314e-308, 2.1967515797581987e-308, 4.93345199490611e-308, 2.4510289095464243e-308, 1.993527322499686e-308, 2.209640119442318e-308, 2.304913057262506e-308, 2.659149035636217e-308, 2.9413411317622074e-308, 3.1435801002965395e-308, 3.850541082301363e-308, 3.118787659308447e-308, 1.9625388033162224e-308, 4.934268740176436e-308, 1.9723475893650153e-308, 1.9914776107664646e-308, 3.6847666436640766e-308, 2.4854293108919533e-308, 2.1232626059141153e-308, 2.1790766040844986e-308, 7.152441061983627e-308, 2.450079746661073e-308, 3.222468298028768e-308]"
doc_00045,Clubsport S Discs,https://www.golfgtiforum.co.uk/index.php?topic=291407.0,5,1.0,2.0_TSI,2019,MK7,,none,high,1,17,"[2.3831366166314207e-308, 3.5941260868840007e-308, 2.278825459652211e-308, 2.409195311086614e-308, 1.0, 2.641904576756165e-308, 2.021904551782483e-308, 2.4763392421360164e-308, 2.227320234673287e-308, 2.73362823009933e-308, 2.029377736892775e-308, 1.829620580487057e-308, 1.782186929329055e-308, 2.2256304110051905e-308, 2.05185574992097e-308, 2.1514352160206957e-308, 6.441024237969353e-308, 3.316207389154164e-308, 5.408388879871369e-308, 2.0248783654216585e-308, 2.753940957544385e-308, 2.0043467531931305e-308, 2.3035493723651788e-308, 1.9076391615450137e-308, 2.2460906086118854e-308, 6.776347614547151e-308, 2.1642924410788266e-308]"
doc_00047,New brake judder above 50mph,https://www.golfgtiforum.co.uk/index.php?topic=291445.0,5,0.3740421118505781,unknown,,unknown,5000.0,high,high,1,5,"[0.015929984095983396, 0.028014866632529833, 0.015991745013784715, 0.01632515900261037, 0.3740421118505781, 0.01826583199439196, 0.01432458328331954, 0.016625831481301753, 0.015120751493910055, 0.018421338929438497, 0.01396075042543219, 0.01291189086507217, 0.012624989762097706, 0.015524028344125829, 0.01451851855101512, 0.015168316507456727, 0.03973903534017229, 0.022795577856761427, 0.0354737606774458, 0.013579769410981391, 0.018689799706796316, 0.013910623831153674, 0.015464078372667342, 0.013209194361845682, 0.015430381346305283, 0.04422842583026994, 0.015241206299348796]"
doc_00057,G12 Evo Header Tanks,https://www.golfgtiforum.co.uk/index.php?topic=291489.0,3,0.5764588041403772,unknown,,MK8,,none,high,1,4,"[0.007043240900099871, 0.00739778749502292, 0.5764588041403772, 0.014993201250484485, 0.006398161926563333, 0.006367987306023578, 0.012940265756375465, 0.007381782337859659, 0.005823025512304016, 0.0065236590731126325, 0.006640801060786327, 0.007382638264024448, 0.008179624916816262, 0.008942368537401643, 0.010427372191701844, 0.00875856888960256, 0.005705205611784923, 0.013907048641609684, 0.005694966120750099, 0.005941007964405476, 0.011316277305933256, 0.007133707028598916, 0.006311737050472447, 0.006260255881841369, 0.02691185853208103, 0.007067271755339675, 0.009068389458275993]"
doc_00060,Leaking Oil Pan,https://www.golfgtiforum.co.uk/index.php?topic=291495.0,25,1.0,unknown,2016,unknown,113000.0,high,high,0,2,"[2.725989714770507e-308, 2.234773856790664e-308, 1.0678511949277347e-307, 1.0848923425318932e-307, 2.255348118729527e-308, 2.3479832831756834e-308, 3.7756412720641393e-308, 3.0092223358868917e-308, 2.250518906995136e-308, 2.5114495292789236e-308, 2.469373991348243e-308, 2.365560533146806e-308, 2.4662538768466095e-308, 3.091353526859268e-308, 3.2297781560250823e-308, 2.8535693127700997e-308, 2.048614769317772e-308, 4.243232498081175e-308, 2.0132083454805545e-308, 2.45545885226175e-308, 4.82555457770606e-308, 2.652786216363602e-308, 2.5280916929994237e-308, 2.336370237960674e-308, 1.0, 2.470748399832185e-308, 2.9981560043556354e-308]"
doc_00062,Oil Grade 0W-20 vs 5W-30,https://www.golfgtiforum.co.uk/index.php?topic=291517.0,25,1.0,2.0_TSI,2019,MK8,,none,medium,0,7,"[2.900135511326853e-308, 2.107955370241686e-308, 7.080320153341356e-308, 1.857533338334041e-307, 2.2802289172471343e-308, 2.393064541633706e-308, 3.348346277352196e-308, 3.3159483837133856e-308, 2.330037346710366e-308, 2.659812987135495e-308, 2.4973978877050287e-308, 2.2539922166375325e-308, 2.34159487444431e-308, 3.056560185593899e-308, 2.975318689915348e-308, 2.7613599465032475e-308, 2.108688773679599e-308, 3.986606358897043e-308, 2.0499529118029235e-308, 2.653093452869321e-308, 5.468678882815025e-308, 2.6267101050026804e-308, 2.742620187766892e-308, 2.3215802774428535e-308, 1.0, 2.5059926502484404e-308, 2.9013502112958143e-308]"
doc_00065,KW Street Comfort Coilovers Review,https://www.golfgtiforum.co.uk/index.php?topic=291538.0,2,0.007276408247437301,2.0_TSI,,MK7.5,50000.0,high,high,1,5,"[0.013971665256659662, 0.007276408247437301, 0.007307588321652047, 0.008612192729645248, 0.013987484521566233, 0.015647372253851127, 0.008199946290329491, 0.013295330780528324, 0.0126189496100859, 0.019796033682653102, 0.01082995446429898, 0.006792767806828911, 0.006299811654217519, 0.01195048207247818, 0.009149820174694293, 0.009622225244732267, 0.01745077033750962, 0.01841265232039577, 0.01395383222945859, 0.01012338983465016, 0.012665270537162113, 0.009728096920752188, 0.013138825581461679, 0.00891811380501506, 0.007888261467940513, 0.021083681594824686, 0.010548545162352693]"
doc_00066,Mk7 was disappointing - should I buy a mk7.5 or even an 8?,https://www.golfgtiforum.co.uk/index.php?topic=291524.0,1,0.42123966885419073,2.0_TSI,2016,MK8,35000.0,high,high,1,14,"[0.42123966885419073, 0.008897841275891655, 0.011155535435030268, 0.014293354292039425, 0.010427025021117028, 0.022964227741997637, 0.01204804468393287, 0.0635427420130984, 0.023708695292623296, 0.07360837983957945, 0.02132415850007871, 0.012203415157326676, 0.012968675959449137, 0.02298646728401707, 0.013956982603333447, 0.015328580459714133, 0.01179252363327091, 0.024872989836025126, 0.010628630318710582, 0.02864494980799672, 0.02661272466641723, 0.016511976378927627, 0.06125776989319442, 0.01423166774446713, 0.012648867970091682, 0.013321400594973328, 0.018822704742505376]"
doc_00069,mk7 Golf GTI concept press release,https://www.golfgtiforum.co.uk/index.php?topic=241309.0,1,1.0,2.0_TSI,,MK7,,none,medium,1,5,"[1.0, 1.9936663479292114e-308, 2.418613070406354e-308, 3.0103822402248224e-308, 2.326381555595049e-308, 5.333894245570731e-308, 2.703814287528551e-308, 1.203327790063554e-307, 5.552397394528958e-308, 1.9618561007958104e-307, 4.999754925688779e-308, 2.8074072495878415e-308, 2.941939795638587e-308, 5.399632336050328e-308, 3.1913830261395287e-308, 3.5000221592449197e-308, 2.666806497381744e-308, 5.4199844018414135e-308, 2.4108738523141156e-308, 6.247537153193728e-308, 5.575866949073774e-308, 3.8209619159729286e-308, 1.339019466630856e-307, 3.250245328313002e-308, 2.6881015072779504e-308, 3.019965146553408e-308, 4.350692675431546e-308]"
doc_00078,White paint now a cost option.,https://www.golfgtiforum.co.uk/index.php?topic=242367.0,10,0.13600618044981252,unknown,,unknown,,none,medium,1,2,"[0.06749247223795087, 0.011896652297224789, 0.014369598616530683, 0.018977796458875602, 0.016545124548085315, 0.025353949426142854, 0.015694805659079634, 0.0765999780568851, 0.02512904030864558, 0.13600618044981252, 0.022713442836627174, 0.014165281928774821, 0.015096817764146644, 0.028244187062816714, 0.018329880788451502, 0.021966614258223507, 0.021166895307917124, 0.04299129557836664, 0.018567625682720062, 0.028791216987687846, 0.04088697438288906, 0.018581278569433833, 0.05177654274854372, 0.016305194320351858, 0.01622851005333447, 0.024329933106782893, 0.024396071204995495]"
doc_00094,Test drive invites,https://www.golfgtiforum.co.uk/index.php?topic=246271.0,1,0.03733099246066981,2.0_TDI,,MK7,18500.0,high,high,2,17,"[0.03733099246066981, 0.0027294875894988938, 0.0039324061430855775, 0.005554673139252663, 0.0035512582220614797, 0.006509211503904975, 0.004231667261604495, 0.06663723901377924, 0.007042372720880634, 0.020856821763550287, 0.006656632964255772, 0.0037192282850250936, 0.003999470158879399, 0.007798622196857827, 0.004859248256373216, 0.005548890147833143, 0.0041048434224859424, 0.009937066469204349, 0.0037085935338004882, 0.009469216169909643, 0.013465939569173408, 0.005291139981862759, 0.019285108056429277, 0.004587160262996588, 0.00473245177003931, 0.004717792449900982, 0.0065814953423121245]"
doc_00095,Golf 4 Motion,https://www.golfgtiforum.co.uk/index.php?topic=247850.0,23,1.0,2.0_TSI,,MK7,,none,medium,1,6,"[2.1812755689443665e-307, 1.859163767140986e-308, 2.363619302917982e-308, 3.0900951968665316e-308, 2.4423350687501616e-308, 5.26576274858757e-308, 2.6446979590175473e-308, 1.1220310996164726e-307, 8.522345881629229e-308, 1.1805040806719336e-307, 6.0640739802016585e-308, 2.6349171453960727e-308, 2.3741678830385174e-308, 4.528014944884375e-308, 3.032026855931547e-308, 3.0642095156521384e-308, 2.849264246912266e-308, 4.670683136767053e-308, 2.536295989243339e-308, 1.4233955770229652e-307, 5.454151740130152e-308, 4.30940490778672e-308, 1.0, 3.909217950959519e-308, 2.8339804076841656e-308, 3.042474444606799e-308, 3.7551245608287633e-308]"
doc_00106,Mk7 GTi,https://www.golfgtiforum.co.uk/index.php?topic=238949.0,1,0.17311921477199596,2.0_TDI,2013,MK7,30000.0,high,medium,2,55,"[0.17311921477199596, 0.010514251106164671, 0.01394839179174975, 0.01838370986142605, 0.012877086844950144, 0.025189913583112636, 0.015590808391140585, 0.10349160769772535, 0.02924594589937589, 0.07797852611299898, 0.02767224506577806, 0.015244245588770943, 0.015922323064246516, 0.030071780160133052, 0.018345233016706222, 0.020394149600114826, 0.015018758633119127, 0.030500241069561243, 0.013700119062025439, 0.039400777994310576, 0.0399659711115276, 0.021129246609011332, 0.08924631955464997, 0.018132717225067162, 0.016181489249746866, 0.016971634003620766, 0.024912634580961036]"
doc_00110,Golf GTD: DSG fuel consumption higher: Why?,https://www.golfgtiforum.co.uk/index.php?topic=249803.0,20,0.18317347554277985,2.0_TDI,,MK6,65000.0,high,high,1,5,"[0.016678898233159736, 0.004377255815649165, 0.00542810127818452, 0.006633967860132866, 0.0051260839562458, 0.010070331863573909, 0.005670521008861285, 0.013284449562495812, 0.018137727640601287, 0.012231004441155947, 0.014142540494997606, 0.00655791578096516, 0.005491031025426206, 0.00855284336091659, 0.006241084216377511, 0.0058911812618376745, 0.005668562152587738, 0.008291069964720689, 0.005165627424797108, 0.18317347554277985, 0.00896509279866266, 0.01022664702901864, 0.035315542887753404, 0.009625569862410942, 0.006331324313343239, 0.006034233380600892, 0.007278713660332655]"
doc_00111,Final specification for GTI officially revealed,https://www.golfgtiforum.co.uk/index.php?topic=249587.0,15,0.016734053174529025,2.0_TSI,2013,unknown,,none,high,1,12,"[0.12090491897553403, 0.009811684373113846, 0.012488832415546509, 0.01649873274773558, 0.014338086054890937, 0.029364471901185105, 0.014336844366135224, 0.06345168113489623, 0.03431628184332112, 0.22279612862362286, 0.026845060640210458, 0.012948757868695385, 0.012481781873418389, 0.026025773239327036, 0.016734053174529025, 0.01814810158481511, 0.01771443836449348, 0.03155573515857389, 0.01542084519240002, 0.036135393324051975, 0.03196756601880147, 0.02044055674683182, 0.08591347195831274, 0.018139788111220946, 0.01468558145063828, 0.01930648451185635, 0.021546920256648772]"
doc_00113,mk7 GTI UK press release,https://www.golfgtiforum.co.uk/index.php?topic=249592.0,12,0.01396769102140989,2.0_TSI,,MK7,,none,medium,0,7,"[0.27702311168678556, 0.009300131471010675, 0.011759041678440715, 0.014502648686951001, 0.010965484153840334, 0.02814484081584513, 0.013836129040435583, 0.05153850788333774, 0.029535177050371828, 0.08849173036307476, 0.027444222633951503, 0.01396769102140989, 0.01431525225527765, 0.029051821024856816, 0.016513477255682793, 0.01773273040215125, 0.012438305496238406, 0.026553463508689715, 0.011321470194623108, 0.03167924021886972, 0.026607188760229373, 0.020640749546423604, 0.0627168842896502, 0.01721346956588629, 0.013104386138100941, 0.014268325335507008, 0.02275046294110241]"
doc_00114,GTD revealed,https://www.golfgtiforum.co.uk/index.php?topic=249245.0,23,0.49217599822911284,2.0_TSI,2013,unknown,,none,high,1,11,"[0.07662181278157199, 0.006678875978825186, 0.008616658119846436, 0.011357623582180575, 0.008765839323526424, 0.018661036844746143, 0.009632132458198184, 0.04778395117753695, 0.027592204747286686, 0.04764565379987037, 0.021177636066914196, 0.009468263120568175, 0.008682909849741845, 0.01707364509820576, 0.011106035460788673, 0.011388953069519828, 0.010267033434864351, 0.018014019751583978, 0.009154907221712296, 0.04235450993041799, 0.021050071149632872, 0.015147760685167677, 0.49217599822911284, 0.013496330403913102, 0.010307670480124652, 0.011171248898639624, 0.0140265763144307]"
doc_00115,MK7 GTD and GTI opening for order,https://www.golfgtiforum.co.uk/index.php?topic=249598.0,8,0.19459792217398394,2.0_TSI,,MK7,,none,medium,1,12,"[0.07550509973300096, 0.011297071936223218, 0.015089603167031328, 0.020425679378226185, 0.014748589882232032, 0.02530246974875141, 0.016644354054584656, 0.19459792217398394, 0.0314396163828482, 0.08290319424442923, 0.02933621948649636, 0.01587801055999774, 0.015484103744907872, 0.03094093354648869, 0.01950249492625954, 0.02138119052171589, 0.017833272458192148, 0.034925235489886325, 0.016188461854295663, 0.044578328774118714, 0.04859409677505301, 0.022247389322345313, 0.1065522760918254, 0.019330757663258535, 0.017868865002391855, 0.02030813474590845, 0.02578968521265108]"
doc_00116,Torque difference 220ps/230ps.,https://www.golfgtiforum.co.uk/index.php?topic=249885.0,10,0.2743600488596516,2.0_TSI,,unknown,,none,medium,1,9,"[0.07874281112267173, 0.009427101692965099, 0.010752821890777576, 0.01343213566242309, 0.01267759626006022, 0.028031277424789995, 0.012250314109748259, 0.04535567888803332, 0.031983625905176345, 0.2743600488596516, 0.024223700400400634, 0.012179568916205254, 0.011426238565355235, 0.02290253006693884, 0.014408115995923648, 0.01526947818680387, 0.015495137098427767, 0.026760820371969193, 0.013480984173900376, 0.031156534616560993, 0.024289832348122, 0.018156919518151685, 0.06763395034071362, 0.015983817263476887, 0.012116969881214986, 0.01720054025471166, 0.018539104487033355]"
doc_00122,First time I have thought about an upgrade,https://www.golfgtiforum.co.uk/index.php?topic=250704.0,1,0.40569814639915436,2.0_TSI,2007,MK7,41000.0,high,medium,1,3,"[0.40569814639915436, 0.00788975797094525, 0.009526337390424222, 0.012085211321932235, 0.009684857486066952, 0.021749532514673434, 0.010671847678184423, 0.05215799086495523, 0.022389973989402883, 0.12128681699008646, 0.019278088558591942, 0.010624995427579664, 0.011065970152492978, 0.020742344702781936, 0.012547516925784995, 0.013909459685379209, 0.011295489819225072, 0.022730484663970842, 0.010097451783686812, 0.025061316045495576, 0.022953504915611052, 0.014840786273421678, 0.05666035411718996, 0.012798408915765763, 0.01072715465047232, 0.01267741686537034, 0.01690550014344673]"
