issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context,video_type_category
ea288_diesel_high_mileage_failures,"DPF regeneration, water pump, timing belt issues",engine,"[""1.6_TDI"", ""2.0_TDI""]",,"Driver notices DPF regeneration symptoms (increased idle, start/stop disabled), potential power loss from injectors, abnormal noises from water pump/tensioner, and coolant leaks.","High mileage wear on DPF system, water pump failure, timing belt degradation, injector wear, and EGR cooler clogging.","Complete DPF regeneration cycles, replace timing belt and oil pump belt before 200,000 km, inspect/replace water pump and injectors, clean EGR cooler.",high,high,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}, {""video_id"": ""TtIKNOjBHDc"", ""title"": ""VW Golf MK7 (5G) How to tell if DPF regeneration is in progress?"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",36,3,"[""belt"", ""000 kilometers"", ""dpf"", ""kilometers"", ""timing belt"", ""000"", ""high"", ""pump"", ""water"", ""200 000""]",youtube,3,3,3,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",
dpf_egr_clogging_emissions,DPF/EGR clogging and emissions issues,exhaust,"[""1.6_TDI"", ""2.0_TDI""]",,"Warning lights, error codes, rough running, power problems, and DPF regeneration interruptions during short journeys.","EGR cooler clogging from exhaust gas recirculation, DPF soot accumulation from insufficient regeneration cycles, and complex emissions system design for regulations.","Strip down and clean EGR cooler system at high mileage, ensure proper DPF regeneration cycles through longer drives, and monitor for pending dieselgate-related investigations.",high,high,"[{""video_id"": ""56T2XdwH4hU"", ""title"": ""Things I Wish I knew Before Buying a VW TDI"", ""channel"": ""Euro Driven"", ""video_type_category"": ""organic""}, {""video_id"": ""TtIKNOjBHDc"", ""title"": ""VW Golf MK7 (5G) How to tell if DPF regeneration is in progress?"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",2003,5,"[""dpf"", ""diesel particulate"", ""egr valve"", ""egr cooler"", ""adblue"", ""nox sensor""]",youtube,3,3,3,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",
steering_angle_sensor_calibration_loss,Steering angle sensor calibration loss,electrical,[],,"Multiple warning lights appear (cruise control, stability control, parking systems) and steering wheel turns very easily after battery disconnect or voltage drop.",Steering wheel angle sensor loses basic settings when battery is disconnected or vehicle experiences voltage drop.,"Perform manual calibration by turning steering wheel fully left, then fully right, then back to center.",high,high,"[{""video_id"": ""KJhaL65HL9Q"", ""title"": ""VW Golf MK7 Climatronic calibration adaptation"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic""}, {""video_id"": ""9nlDKR5N9p4"", ""title"": ""VW Golf MK7 (5G) Steering Angle Sensor basic settings (ESC ACC TPMS error fix)"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",20,5,"[""steering"", ""steering wheel"", ""wheel"", ""current"", ""right"", ""calibration"", ""seconds"", ""position"", ""vent"", ""knows""]",youtube,3,2,3,,
parcel_shelf_clips_breaking,parcel shelf clips break or rattle,body,[],,"Parcel shelf clips are susceptible to breaking or becoming damaged, causing a rattle.",Stress from load carrying or general wear.,Replace broken clips or use aftermarket alternatives.,medium,low,"[{""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",28,4,"[""blasting"", ""brake pads"", ""need change"", ""types"", ""miles ill"", ""think ive"", ""walnut"", ""pads discs"", ""parcel"", ""know im""]",youtube,2,2,2,,
bonnet_release_cable_failure,broken bonnet release cable,body,"[""2.0_TSI""]",7th generation,"The bonnet release cable breaks, preventing the bonnet from opening.",,,medium,medium,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",1003,4,"[""generation"", ""common"", ""issue"", ""common issue"", ""generation ea888"", ""ea888"", ""generation golf"", ""golf"", ""golf gti"", ""7th generation""]",youtube,2,2,2,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",
manual_clutch_slippage_dsg_selector_issue,manual clutch slippage and DSG selector problems,gearbox,[],,"Manual transmission clutch slips even with standard power, while DSG models show gear selector issues with dashboard warnings when shifting from park.",Manual clutch is a weak point prone to wear; DSG gear selector mechanism has inherent problems.,Thorough test drive to check for clutch slippage; verify DSG selector doesn't flash warnings when shifting from park.,high,high,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",1005,3,"[""clutch"", ""test"", ""tends"", ""going"", ""youre"", ""problem"", ""make sure"", ""youre looking"", ""sure"", ""standard""]",youtube,2,2,2,,
glow_plug_failure,glow plug replacement needed,engine,"[""1.6_TDI"", ""2.0_TDI""]",,Driver notices a glow plug failure requiring replacement.,Normal wear or failure of glow plug component.,Replace the faulty glow plug.,medium,low,"[{""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",1006,2,"[""reliability"", ""100"", ""big problem"", ""100 issue"", ""models worth"", ""bulletins recall"", ""check seal"", ""effected"", ""example"", ""effected models""]",youtube,2,2,2,,
egr_cooler_failure,EGR cooler failure warning lights,exhaust,"[""2.0_TDI""]",,Warning lights on the dashboard and error codes indicating the EGR cooler is starting to play up.,,,medium,low,"[{""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",1007,2,"[""uh"", ""um"", ""car"", ""yeah"", ""know"", ""issues"", ""like"", ""pretty"", ""really"", ""just""]",youtube,2,2,2,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",
carbon_buildup_intake_valves,Carbon buildup on intake valves,engine,"[""1.4_TSI"", ""1.0_TSI"", ""2.0_TSI"", ""1.2_TSI"", ""1.5_TSI""]",,Reduced engine performance or rough idle due to carbon deposits on intake valves from direct injection.,,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,2,2,2,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}, {""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}]",organic
rear_main_seal_oil_leak,Rear main seal oil leak,engine,"[""1.4_TSI"", ""1.0_TSI"", ""2.0_TSI"", ""1.2_TSI"", ""1.5_TSI"", ""1.8_TSI""]",,"Oil leak from the rear of the engine, indicating a failing rear main seal.",,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,2,2,2,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}, {""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}]",organic
exposed_acc_sensor_damage,Exposed ACC sensor easily damaged,electrical,[],,"The ACC sensor on the front is easily damaged by bird strikes or objects, leading to costly system failure.","Sensor placement is overly exposed for functional reasons, making it vulnerable to impacts.","Repair or replace the ACC sensor, costing around £400 ($495).",high,high,"[{""video_id"": ""wIKS8wlgu9I"", ""title"": ""VW Golf GTD - hidden features and ONE that could get you out of trouble!"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}]",26,4,"[""vent"", ""acc"", ""sensor"", ""know know"", ""hitting"", ""costly"", ""dont like"", ""costing"", ""400"", ""turning""]",youtube,2,1,2,,
key_fob_battery_depletion,key fob battery runs out,electrical,[],,"Key fob loses power, preventing remote operation and requiring manual door access.",Battery depletion in the key fob over time.,Replace key fob battery or use manual key slot in door handle and hold fob near start button to start car.,high,high,"[{""video_id"": ""wIKS8wlgu9I"", ""title"": ""VW Golf GTD - hidden features and ONE that could get you out of trouble!"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}]",6,9,"[""key"", ""open"", ""key fob"", ""windows"", ""fob"", ""pad"", ""close"", ""open close"", ""hold"", ""start""]",youtube,1,1,1,,
low_profile_tyre_pothole_impact,low profile tyre pothole impact,suspension,[],,Drivers experience a harsh 'bang' and discomfort when hitting potholes with low-profile tyres on standard 18” Nogaro alloys.,"Low-profile tyres on large alloy wheels reduce sidewall flexibility, transmitting more impact force from road imperfections.",Switch to tyres with higher sidewalls or smaller wheels to improve ride comfort and reduce impact damage risk.,high,high,"[{""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}]",18,5,"[""tyre"", ""pothole"", ""wear"", ""hit"", ""wheels"", ""ive"", ""70000 miles"", ""nogaro alloys"", ""road noise"", ""nogaro""]",youtube,1,1,1,,
