issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context
turbocharger_failure_early_models,early turbocharger failure and replacement,engine,"[""1.8_TSI"", ""2.0_TSI""]",2013 and 2014,"Loss of power and inefficient turbo operation, potentially requiring full turbocharger replacement.",Stop/start function causing lack of lubrication leading to overheating in early production models.,"Replace turbocharger or upgrade actuators, with 2013-2014 models showing higher failure rates.",high,high,"[{""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",26,6,"[""turbocharger"", ""turbo"", ""turbocharged"", ""issues turbocharger"", ""turbochargers"", ""efficiently"", ""significant"", ""setup"", ""ultimately"", ""replace""]",youtube,3,3,3,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2021"", ""evidence_hits"": 1}]"
rear_caliper_seizing,GTI rear brake caliper seizing,brakes,[],,"Driver hears persistent screeching noise from the rear brakes, which becomes constant over time.","Rear brake caliper seizing up, often requiring replacement.","Replace the affected rear caliper, along with brake pads and rotors.",high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""ENL7ozzMuJI"", ""title"": ""6 years 72k Mile Update For My Mk7.5 Volkswagen GTI - Maintenance Is Adding Up"", ""channel"": ""Boston Auto Blog"", ""video_type_category"": ""organic""}]",30,6,"[""wasnt"", ""gti"", ""noise"", ""rear"", ""maintenance"", ""fact"", ""clips"", ""hear"", ""time"", ""coming""]",youtube,3,3,3,
dsg_clutch_flywheel_wear,DSG clutch and flywheel wear,gearbox,"[""1.8_TSI"", ""2.0_TSI"", ""2.0_TDI""]",,Jerkiness or transmission issues indicating clutch or flywheel wear.,Wear of clutch or flywheel components in DSG gearboxes.,Replace clutch or flywheel and perform gearbox service.,medium,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}, {""video_id"": ""yv2_SPxQFLI"", ""title"": ""Used Volkswagen Golf Review - Mk 7 (2013 - 2020): The best used family car?"", ""channel"": ""Cazoo"", ""video_type_category"": ""organic""}]",33,6,"[""controls"", ""blame"", ""theres climate"", ""new clutch"", ""failure common"", ""example like"", ""controls example"", ""physical controls"", ""climate controls"", ""repaired""]",youtube,3,3,3,
thermostat_housing_coolant_leak,Thermostat housing coolant leaks,cooling,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI""]",older models,"Coolant leaks from the thermostat housing area, sometimes leaving puddles on the ground.",Plastic thermostat housing integrated into water pump cracks/warps under high heat (OEM design prone to failure).,Replace with upgraded/superseded thermostat housing unit (thermostat and water pump replaced together).,high,high,"[{""video_id"": ""rdQqxKgBEWg"", ""title"": ""Two BIG Problems The Volkswagen Golf 7.5 R Has!"", ""channel"": ""Carbonwurks"", ""video_type_category"": ""organic""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",37,5,"[""um"", ""thermostat"", ""gearbox"", ""leaking"", ""thermostat housing"", ""housing"", ""tuning"", ""obviously"", ""actually"", ""hopefully""]",youtube,3,3,3,"[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}]"
water_pump_leak,Water pump and thermostat housing leak,cooling,"[""2.0_TSI""]",,The driver notices a coolant leak from the water pump/thermostat housing assembly.,,Replace the leaking water pump and thermostat housing.,high,high,"[{""video_id"": ""s_hLRII-tBU"", ""title"": ""Car Servicing - VW Golf MK7"", ""channel"": ""Turners Workshop"", ""video_type_category"": ""organic""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights"", ""channel"": ""tevo"", ""video_type_category"": ""organic""}, {""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems"", ""channel"": ""Sam A"", ""video_type_category"": ""organic""}]",41,4,"[""service"", ""ive got"", ""ive"", ""um yeah"", ""car ive"", ""got"", ""um"", ""private"", ""car"", ""id""]",youtube,3,3,3,
rear_shock_replacement_difficulty,difficult rear shock replacement process,suspension,[],,Replacing rear shock absorbers requires specific tools and careful procedure due to tight clearances and welded components.,Design with welded nuts on suspension arms and tight clearance around fuel tank requiring TDI-specific springs.,"Use pass-through sockets, cut zip ties, carefully remove bump stops, and ensure proper spring orientation during installation.",high,high,"[{""video_id"": ""nDkdFw4z1UE"", ""title"": ""How to install SoloWerks Coilovers on a MK7 Golf SportWagen S7EP33"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",2,12,"[""right"", ""way"", ""shock"", ""going"", ""strut"", ""spring"", ""unbolt"", ""guys"", ""bolt"", ""install""]",youtube,2,2,2,
panoramic_sunroof_water_ingress,panoramic sunroof water ingress,body,[],,"Water ingress occurs around the panoramic sunroof, potentially leading to interior leaks.",Sealing failure or cracks in the sunroof assembly allowing water entry.,Inspect and reseal sunroof seals or replace damaged components.,medium,low,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",18,7,"[""sunroof"", ""day"", ""fun"", ""getting car"", ""cruising"", ""beautiful"", ""sunshine"", ""rain"", ""having car"", ""panoramic sunroof""]",youtube,2,2,2,
electronic_handbrake_sticking,electronic handbrake sticks with age,brakes,[],,The electronic handbrake is known to jam or become sticky over time.,Age-related wear or mechanism failure,Inspect and service the handbrake mechanism,medium,low,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",22,7,"[""generation golf"", ""age"", ""generation"", ""known"", ""golf"", ""agile"", ""golden"", ""magic"", ""handbrake"", ""golf let""]",youtube,2,2,2,
early_mk7_gti_r_turbo_failures,Early MK7 GTI/R turbo failures,engine,"[""2.0_TSI""]",early Mark 7 generation,Turbocharger failures in early MK7 Golf GTI and Golf R models.,"Switch from Borg Warner turbos to IHI turbos (IS20 in GTI, IS38 in R) in early production batches, which had reliability issues.",Avoid early MK7 batches; prefer MK7.5 models where turbo issues were worked out.,high,high,"[{""video_id"": ""ADUK5PFB4k4"", ""title"": ""Should You Buy the VW Golf GTI/R? (EA888 Reliability)"", ""channel"": ""motoringfan"", ""video_type_category"": ""organic""}, {""video_id"": ""ENL7ozzMuJI"", ""title"": ""6 years 72k Mile Update For My Mk7.5 Volkswagen GTI - Maintenance Is Adding Up"", ""channel"": ""Boston Auto Blog"", ""video_type_category"": ""organic""}]",40,5,"[""think"", ""turbo"", ""gti"", ""mark"", ""german"", ""good"", ""motor"", ""golf"", ""reliability"", ""theyve""]",youtube,2,2,2,
sump_plug_socket_size_mismatch,sump plug requires larger socket,engine,[],,The sump plug may require a larger socket than the standard 19mm for proper tightening.,,Use a bigger socket to hold the sump plug securely during tightening.,medium,low,"[{""video_id"": ""s_hLRII-tBU"", ""title"": ""Car Servicing - VW Golf MK7"", ""channel"": ""Turners Workshop"", ""video_type_category"": ""organic""}, {""video_id"": ""nDkdFw4z1UE"", ""title"": ""How to install SoloWerks Coilovers on a MK7 Golf SportWagen S7EP33"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}]",44,4,"[""socket"", ""sump"", ""19"", ""good good"", ""sump plug"", ""millimeter socket"", ""sure just"", ""need bigger"", ""threads"", ""millimeter""]",youtube,2,2,2,
air_conditioning_gremlins,Air conditioning system gremlins,electrical,[],,"The air conditioning system is known to have gremlins, affecting the ability to blow cold air.",,,medium,low,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",47,3,"[""air"", ""air conditioning"", ""conditioning"", ""cold"", ""air intake"", ""cold air"", ""blown"", ""levels choose"", ""trim levels"", ""loads""]",youtube,2,2,2,
headlight_clouding,Headlight acrylic clouding over time,body,[],,Headlights become cloudy over time.,Acrylic material degradation,Headlight restoration kit with polishing,high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",48,3,"[""kit"", ""rays"", ""headlights"", ""headlight"", ""worth"", ""clear"", ""did"", ""time"", ""little"", ""right""]",youtube,2,2,2,
dpf_egr_clogging_city_driving,DPF and EGR clogging in city driving,exhaust,"[""2.0_TDI"", ""1.6_TDI""]",,"DPF not regenerating properly, EGR clogging, intake buildup, and warning lights related to emissions during city-only driving.",Diesel particulate filter and exhaust gas recirculation system clogging due to insufficient long drives needed for regeneration cycles.,Regular long motorway drives to allow DPF regeneration cycles; software updates in later years may improve the issue.,high,high,"[{""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights"", ""channel"": ""tevo"", ""video_type_category"": ""organic""}]",1000,5,"[""extremely"", ""music"", ""tdi"", ""issues"", ""car"", ""reliable"", ""20 tdi"", ""20"", ""occasional"", ""major""]",youtube,2,2,2,
wastegate_rattle_boost_issues,wastegate rattle causing boost problems,exhaust,"[""1.8_TSI"", ""2.0_TSI""]",,Driver notices wastegate rattle leading to inconsistent boost pressures.,"Wastegate actuator develops play over time, causing the rattle and affecting boost control.",Replace wastegate actuator or entire turbocharger assembly.,high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}]",1005,3,"[""wastegate"", ""rattle"", ""wastegate rattle"", ""known"", ""ultimately leads"", ""blocked known"", ""blocked"", ""actuator known"", ""going lead"", ""boost pressures""]",youtube,2,2,2,
modified_examples_clutch_wear,modified cars risk clutch wear,gearbox,[],,Clutch wear or failure due to increased stress from remapping and power upgrades.,Increased stress on mechanical components from modifications like remapping and power upgrades.,Inspect for modifications and ensure honest disclosure from owner before purchase.,medium,medium,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",1007,3,"[""clutch"", ""know"", ""dont"", ""air south"", ""wrong remapped"", ""basically did"", ""bit power"", ""bend stage"", ""buying dont"", ""applies""]",youtube,2,2,2,
cold_start_hesitation_kangarooing,Cold start hesitation kangarooing,engine,"[""1.5_TSI""]",,Hesitation or jerking when pulling away gently during a cold start.,,,medium,low,"[{""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",1008,3,"[""uh"", ""guys"", ""cold"", ""um"", ""launch"", ""sure"", ""think"", ""second"", ""video"", ""modern""]",youtube,2,2,2,
