issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
rust_sills,Rust on sills,Sill rust,body,structural,high,high,"[""2.0_16V""]",,,"Rust can form on the metal sills, which are hidden by plastic side skirts.",Trapped moisture and corrosion under side skirts,"Remove skirts, treat rust, weld if necessary, protect","[""Rust visible at skirt edges"", ""Dampness under skirts""]",Remove plastic side skirts if possible to inspect metal sills.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
engine_oil_leaks_sealant,Engine oil leaks from non-solidifying sealant,Oil leaks,engine,fluid_leak,medium,high,"[""2.0_16V""]",,,Oil leaks develop over time as the factory-applied non-solidifying sealant degrades.,Degradation of factory non-solidifying sealant,Reseal with appropriate gasket maker or solid gasket,"[""Oil spots under car"", ""Low oil level"", ""Burning oil smell""]","Inspect engine for oil seepage, especially around sump and timing cover.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
water_ingress_boot,Water ingress into boot/trunk,Boot water leak,body,chronic_failure,medium,high,"[""2.0_16V""]",,,"Water leaks into the boot, often due to failed rubber bungs, causing dampness or mold.",Failed rubber bungs or seals,Replace or reseal rubber bungs and check boot seal,"[""Damp carpet in boot"", ""Musty smell"", ""Visible mold""]",Check boot carpet for dampness and inspect rubber bungs in spare wheel well.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
faulty_fuel_gauge,Faulty fuel gauge,Fuel gauge fault,fuel,sensor_fault,low,high,[],,,"Fuel gauge shows incorrect level, often getting stuck at half a tank before suddenly indicating empty.",Faulty fuel level sender or wiring,Replace fuel level sender unit,"[""Gauge reading erratically"", ""Sudden drop to empty""]",Fill fuel tank and monitor gauge for accurate reading.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,No specific engine mentioned; may be widespread.,1
power_steering_switch_leak,Power steering switch leak,PS switch leak,other,fluid_leak,medium,high,"[""2.0_16V""]",,,Fluid leak from the power steering switch located underneath the engine.,Failed switch seal or connection,Replace power steering switch or seal,"[""Low power steering fluid"", ""Whining noise from pump"", ""Fluid spots under front""]",Check power steering fluid level and inspect switch area for leaks.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
washer_jet_blockage,Washer jets become blocked,Blocked washer jets,electrical,chronic_failure,low,high,"[""2.0_16V""]",,,"Washer jets are infamous for becoming blocked, which is an MOT failure.","Dirt, debris, or mineral deposits in jets",Clean or replace washer jets,"[""Weak or no spray"", ""Uneven spray pattern""]",Test washer jets during pre-purchase inspection.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
rust_fuel_filler_cap,Rust around fuel filler cap,Filler cap rust,body,structural,medium,high,"[""2.0_16V""]",,,Rust can develop around the fuel filler cap area.,Corrosion from fuel spills and moisture,"Treat rust, repaint, and seal","[""Bubbling paint around filler"", ""Visible rust""]",Inspect area around fuel filler cap for corrosion.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
water_ingress_interior,Water ingress into interior cabin,Water ingress,body,chronic_failure,medium,medium,"[""2.0_16V""]",,,"Water finds its way into the interior, potentially from blocked scuttle drains or failed door seals.",Blocked scuttle drains or failed door seals,"Clear drains, replace seals","[""Damp carpets"", ""Musty smell""]",Check footwells and door seals for dampness,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,,1
clutch_wear_high_bite,Clutch wear leading to high bite point,Clutch wear,gearbox,wear_item,high,medium,"[""2.0_16V""]",,,"The self-adjusting clutch wears, causing the bite point to become very high.",Self-adjusting clutch mechanism wear,Clutch replacement,"[""High bite point"", ""Slipping under load""]",Test clutch bite point during test drive,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,,1
driveshaft_wear_vibration,Driveshaft wear causing vibration,Driveshaft vibration,gearbox,wear_item,medium,medium,"[""2.0_16V""]",,,Worn driveshafts cause a vibration felt through the steering wheel.,Worn driveshafts,Driveshaft replacement,"[""Steering wheel vibration"", ""Clunking on turns""]",Check for play in driveshafts and listen for clunks,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,,1
steering_wheel_melting,Steering wheel leather melts and becomes sticky,Sticky steering wheel,other,wear_item,low,medium,"[""2.0_16V""]",,,"The cheap leather on the steering wheel degrades, melting and becoming sticky to the touch.",Degradation of cheap leather material,Steering wheel cover or replacement,"[""Sticky feel"", ""Discoloration""]",Feel steering wheel for tackiness,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,,1
rear_wheel_bearing_wear,Rear wheel bearing wear and rumble,Rear bearing rumble,suspension,wear_item,medium,medium,"[""2.0_16V""]",,,"Rear wheel bearings are susceptible to wear, producing a rumbling noise like roller skates.",Wheel bearing wear,Wheel bearing replacement,"[""Rumbling noise"", ""Noise increases with speed""]","Listen for bearing rumble, check for play in rear wheels",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,,1
