issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes
rear_subframe_bolt_shearing,Rear subframe bolt shearing off,Subframe Bolt Shear,suspension,structural,high,high,"[""all""]",,,Knocking noise from the rear suspension.,Bolt shearing off at the subframe mounting point.,Replace subframe and bolt; may require extraction of broken bolt.,"[""Knocking sounds"", ""Suspension misalignment""]","Inspect subframe bolts for corrosion and integrity, especially in rusty regions.",1,"[{""video_id"": ""S32KZ_Qh1xQ"", ""title"": ""So much RUST! Chassis refresh (pt.1) | 200k mile Golf GTI"", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
body_level_sensor_corrosion_failure,Body level sensor bracket corrosion failure,Sensor Bracket Rust,suspension,sensor_fault,medium,high,"[""all""]",,,Sensor bracket corroded and snapped.,Severe corrosion causing structural failure of the sensor bracket.,Replace entire body level sensor and bracket.,"[""Suspension warning lights"", ""Broken bracket""]","Check sensor brackets for rust and structural integrity, especially in winter climates.",1,"[{""video_id"": ""S32KZ_Qh1xQ"", ""title"": ""So much RUST! Chassis refresh (pt.1) | 200k mile Golf GTI"", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
suspension_bolt_seizure,Severe suspension bolt seizure,Bolt Seizure,suspension,wear_item,medium,high,"[""all""]",,,"Bolts (e.g., camber/toe adjustment bolt) are extremely difficult or impossible to remove.",Severe corrosion and rust seizing bolts in bushings and mounts.,"Requires extensive penetrating fluid, heat, or bolt extraction methods.","[""Frozen bolts"", ""Corrosion visible""]",Look for rust on suspension bolts and test movement if possible.,1,"[{""video_id"": ""S32KZ_Qh1xQ"", ""title"": ""So much RUST! Chassis refresh (pt.1) | 200k mile Golf GTI"", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
brake_line_retainer_corrosion,Brake line retainer corrosion failure,Brake Clip Rust,brakes,structural,high,high,"[""all""]",,,"Brake line clip/retainer snaps off during removal, potentially damaging the brake line.",Corrosion causing the metal retainer to become brittle and fail.,Repair or replace the damaged brake line and retainer.,"[""Brittle retainers"", ""Brake line damage""]","Inspect brake line retainers for rust and fragility, especially in salty environments.",1,"[{""video_id"": ""S32KZ_Qh1xQ"", ""title"": ""So much RUST! Chassis refresh (pt.1) | 200k mile Golf GTI"", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
rear_quarter_panel_corrosion,Rear quarter panel corrosion at bumper joint,Quarter Panel Rust,body,structural,medium,high,"[""all""]",,,Corrosion develops where the rear quarter panel meets the rear bumper.,Potential stone chipping or rubbing of the bumper on the panel.,"Remove debris, treat with rust remover, apply primer and stone chip paint, then protective wax.","[""Visible rust at bumper seam""]",Check rear bumper-to-body joint for bubbling paint or rust.,1,"[{""video_id"": ""PxLU0b5fL5k"", ""title"": ""MK7 VW GOLF RUST ISSUES + HOW TO PROTECT YOURS  #golf7 #mk7golf"", ""bucket"": ""electrical_body""}]",youtube,medium,
front_sill_corrosion,Front sill corrosion under wheel arch,Front Sill Rust,body,structural,medium,high,"[""all""]",,,"Corrosion appears on the front sill area, exacerbated by wheels with offset.",Stone chipping and mud accumulation behind the wheel arch liner.,"Clean area, apply rust remover, primer, stone chip paint, and protective wax.","[""Rust on front sill behind wheel""]",Inspect front wheel arch liner and sill for mud buildup and corrosion.,1,"[{""video_id"": ""PxLU0b5fL5k"", ""title"": ""MK7 VW GOLF RUST ISSUES + HOW TO PROTECT YOURS  #golf7 #mk7golf"", ""bucket"": ""electrical_body""}]",youtube,medium,
wheel_arch_foam_pad_trapping_moisture,Wheel arch foam pad traps moisture and causes rust,Foam Pad Rust,body,structural,medium,high,"[""all""]",,,"Foam pad on wheel arch lip traps dirt and moisture, promoting corrosion.",Design flaw where foam pad absorbs or traps water and muck against the metal.,"Remove wheel arch liner and foam pad, clean area, and apply protective wax.","[""Damp foam pad, rust under pad""]",Remove wheel arch liner to check foam pad and underlying metal.,1,"[{""video_id"": ""PxLU0b5fL5k"", ""title"": ""MK7 VW GOLF RUST ISSUES + HOW TO PROTECT YOURS  #golf7 #mk7golf"", ""bucket"": ""electrical_body""}]",youtube,medium,
suspension_arm_corrosion,Suspension arm surface corrosion,Suspension Rust,suspension,structural,low,high,"[""all""]",,,Front suspension arms show surface rust and corrosion.,Insufficient corrosion protection on painted steel components.,Apply protective wax or corrosion inhibitor to suspension arms.,"[""Surface rust on suspension arms""]",Check front lower control arms for rust during service.,1,"[{""video_id"": ""PxLU0b5fL5k"", ""title"": ""MK7 VW GOLF RUST ISSUES + HOW TO PROTECT YOURS  #golf7 #mk7golf"", ""bucket"": ""electrical_body""}]",youtube,medium,"Primarily cosmetic, but monitor for structural weakening."
door_seal_corrosion,Corrosion under door seal trim,Door Seal Rust,body,structural,medium,high,"[""all""]",,,Corrosion develops under the door seal on the dry side.,Moisture and debris trapped under the seal.,Peel back seal and apply corrosion inhibitor like ACF-50.,"[""Rust under door weatherstrip""]",Lift door seals to inspect for hidden corrosion.,1,"[{""video_id"": ""PxLU0b5fL5k"", ""title"": ""MK7 VW GOLF RUST ISSUES + HOW TO PROTECT YOURS  #golf7 #mk7golf"", ""bucket"": ""electrical_body""}]",youtube,medium,
fuse_box_water_ingress_wire_corrosion,Fuse box water ingress and wire corrosion,Fuse Box Corrosion,electrical,intermittent_fault,high,medium,"[""all""]",,,Vehicle fails to start or crank due to loss of ECU power.,"Water ingress into fuse box due to improperly sealed cover, leading to corroded power wires.","Repair corroded wiring, add missing power wire, and properly seal fuse box cover.","[""Intermittent no-crank, corrosion in fuse box""]","Check fuse box for moisture and corrosion, especially on main power wires.",1,"[{""video_id"": ""LRjzq2kh_Nk"", ""title"": ""2017 Audi S6 P164E00 code issue. Bentley Flying Spur with electrical gremlins VLOG #66"", ""bucket"": ""electrical_body""}]",youtube,medium,"Based on Audi S6 example, but relevant to similar VW Group electrical layouts."
oil_pressure_regulation_valve_failure,Oil pressure regulation valve electrical error,Oil Valve Failure,engine,sensor_fault,high,medium,"[""all""]",,,Engine trouble code for oil pressure regulation valve electrical error.,Internal failure of the oil pressure regulation valve solenoid (open circuit).,"Replace the oil pressure regulation valve, requiring significant disassembly of engine subframe and components.","[""Oil pressure warning light, fault code P164E00""]",Scan for fault codes related to oil pressure control.,1,"[{""video_id"": ""LRjzq2kh_Nk"", ""title"": ""2017 Audi S6 P164E00 code issue. Bentley Flying Spur with electrical gremlins VLOG #66"", ""bucket"": ""electrical_body""}]",youtube,medium,"Based on Audi S6, repair is labor-intensive."
wheel_speed_sensor_wiring_damage,Wheel speed sensor wiring damage causes multiple warnings,ABS Wiring Damage,electrical,intermittent_fault,high,high,"[""2.0_TSI""]",,,"Multiple dash warning lights illuminate (ABS, start-stop, hill hold, lane assist, travel assist, tire pressure, rear traffic alert) and systems become unavailable.","Rodent damage to the wiring harness for the magneto-resistive wheel speed sensor, specifically a broken wire.","Locate and repair the broken wire in the harness, typically found in the underbody area, and protect against future rodent intrusion.","[""Cluster of warning lights, ABS/ESC faults""]","Inspect underbody wiring harness for damage, especially if parked outdoors.",1,"[{""video_id"": ""1UHpywmw56o"", ""title"": ""VW Passat Multiple Dash Warning Lights"", ""bucket"": ""electrical_body""}]",youtube,high,"Example from Passat, applicable to similar MQB platform vehicles like Golf."
water_pump_leak,Water pump leaks prematurely,Water Pump Leak,cooling,fluid_leak,medium,high,"[""1.4_TSI"", ""1.5_TSI"", ""2.0_TSI""]",,,Water pump leaks coolant continuously.,,Replace water pump.,"[""Coolant loss, low coolant warning""]",Check for coolant residue around water pump housing.,1,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""electrical_body""}]",youtube,medium,Common issue on EA888 and related TSI engines.
camshaft_magnet_failure,Camshaft magnet failure affects timing,Cam Magnet Failure,engine,sensor_fault,medium,high,"[""1.4_TSI"", ""1.5_TSI"", ""2.0_TSI""]",,,"Camshaft timing not controlled properly, especially exhaust side.",,Replace both cam magnets and associated valves.,"[""Rough idle, timing fault codes""]",Scan for camshaft position sensor/actuator fault codes.,1,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""electrical_body""}]",youtube,medium,
dq200_dsg_software_anomaly,DSG software anomaly causes 4th gear hesitation,DSG Software Issue,gearbox,intermittent_fault,medium,high,"[""1.4_TSI"", ""2.0_TSI""]",,,Ignition pull or hesitation when shifting into 4th gear.,Incorrect or outdated transmission software calibration.,Update DSG software to latest revision.,"[""Hesitation/jerk into 4th gear""]","Test drive focusing on 3-4 upshift, check for TSBs/software updates.",1,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""electrical_body""}]",youtube,medium,Specific to DQ200 7-speed dry-clutch DSG.
rear_shock_absorber_fluid_leak,Rear shock absorber fluid leak,Rear Damper Leak,suspension,fluid_leak,medium,high,"[""2.0_TSI""]",,,"Nearside rear damper loses all fluid, leading to reduced damping.",,Replace the leaking damper (often with a used unit to avoid mandatory pair replacement).,"[""Oil on damper body, poor ride quality""]",Check rear dampers for oil seepage or coating.,1,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""electrical_body""}]",youtube,medium,
