issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes,source_video_id,source_title,source_bucket
air_conditioning_fault,Air conditioning system fault,A/C fault,other,intermittent_fault,low,medium,"[""all""]",,,Not specified,,,[],,1.0,"[{""video_id"": ""ReWaJ5ZYZYY"", ""title"": ""DSG GEARBOX FAULT CAN I FIX IT???? IT'S A 50/50 CHANCE!!!! "", ""bucket"": ""engine_issues""}]",youtube,low,"Mentioned as another job in the workshop diary, not detailed",,,
wiring_faults,Various electrical wiring issues,Wiring faults,electrical,intermittent_fault,medium,medium,"[""all""]",,,Not specified,,,[],,1.0,"[{""video_id"": ""ReWaJ5ZYZYY"", ""title"": ""DSG GEARBOX FAULT CAN I FIX IT???? IT'S A 50/50 CHANCE!!!! "", ""bucket"": ""engine_issues""}]",youtube,low,"Mentioned as pending workshop jobs, no specifics given",,,
turbocharger_failure_early_models,Turbocharger sudden failure on early models,Turbo failure,engine,chronic_failure,high,high,"[""EA888""]",pre-2015 (first 1.5 years of production),,"Drastic loss of power, poor acceleration, exhaust smoke, whining noise",Early turbo design vulnerability,"Turbocharger replacement; later models have revised, more reliable turbos","[""Loss of power"", ""Exhaust smoke"", ""Whining noise""]",Listen for whining noises and check for smoke; verify if turbo is revised version,1.0,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""bucket"": ""common_faults""}]",youtube,high,Turbo manufactured by IHI Corporation; design revisions rolled out early,,,
rear_suspension_knocking_noise,Knocking noise from rear suspension,Rear suspension knock,suspension,noise,medium,high,"[""all""]",,,"Knocking or rattling from rear of car, especially below 60 km/h",Suspension design; rear shock absorbers revised early but issue persisted,Possible shock absorber replacement,"[""Knocking noise from rear""]",Test drive at low speeds (<60 km/h) and listen for knocking/rattling from rear,1.0,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""bucket"": ""common_faults""}]",youtube,high,Car sits 15mm lower than standard hatchback; issue continued into later model years,,,
fuel_suction_pump_malfunction,Malfunctioning fuel suction pumps on early models,Fuel pump failure,fuel,chronic_failure,medium,medium,"[""EA888""]",early versions (pre-facelift),,"Fuel delivery issues, engine stalling, poor starting",,Fuel pump replacement,"[""Engine stalling"", ""Poor starting""]",Check service history for fuel pump replacements,1.0,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""bucket"": ""common_faults""}]",youtube,medium,Some early versions of the GTI badged Golf 7 suffered from this,,,
carbon_buildup_intake_valves,Excessive carbon buildup in intake valves,Carbon buildup,engine,wear_item,medium,medium,"[""EA888""]",,100k+ km,"Reduced performance, rough idle, misfires",Direct injection design,Intake valve cleaning,"[""Loss of power"", ""Rough idle""]",Consider intake inspection if high mileage,1.0,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""bucket"": ""common_faults""}]",youtube,medium,Listed as a fairly common problem,,,
sunroof_creaking_leaking,Creaking and sometimes leaking sunroof,Sunroof issues,body,noise,low,medium,"[""all""]",,,"Creaking noises, water leaks",,Seal replacement or adjustment,"[""Creaking sounds"", ""Water stains""]",Check for water damage and operate sunroof to listen for creaks,1.0,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""bucket"": ""common_faults""}]",youtube,medium,Listed as a fairly common problem; panoramic sunroof was popular in South Africa,,,
oil_cap_seal_leak,Oil mist around oil cap due to poor seal,Oil cap leak,engine,fluid_leak,low,high,"[""all""]",,,Oily residue around oil cap,Oil cap not sealing perfectly under certain conditions,Install updated oil cap,"[""Oil mist around cap""]",Check around oil cap for oil spray,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Pretty common on these engines; updated part available,,,
incorrect_oil_used,Wrong or low-quality oil used by dealer,Incorrect oil,engine,other,medium,medium,"[""all""]",,,"None immediately, potential long-term engine wear","Dealers using cheapest oil, not meeting VW spec",Change oil to correct specification,"[""Oil change records from non-specialist shops""]",Check oil type and change immediately after purchase,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,Risk with used cars from non-VW dealers; oil may not meet spec,,,
oil_drain_plug_leak,Oil leak from drain plug due to overuse,Drain plug leak,engine,fluid_leak,low,high,"[""all""]",,,"Oil leak under car, wet oil pan","Drain plug reused too many times, not replaced",Replace drain plug with new one,"[""Oil leak from drain area"", ""Markings on plug from oil change place""]",Inspect under engine for leaks around drain plug,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Plug should be replaced every oil change,,,
front_brake_vibration,Vibration during braking due to warped rotors,Brake vibration,brakes,wear_item,medium,high,"[""all""]",,,Vibration in pedal and steering wheel when braking,Warped or scored front rotors,Machine or replace rotors and pads,"[""Brake vibration"", ""Scored rotor surfaces""]",Test drive and check for vibration; inspect rotor condition,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Pads may still have life but rotors need attention,,,
tire_inner_edge_wear,Excessive inner tire tread wear,Inner tire wear,suspension,wear_item,medium,high,"[""all""]",,,"Uneven tire wear, reduced tire life","Alignment issue, possibly camber related",Check and adjust alignment,"[""Inner tire tread worn more than outer""]",Inspect tires for uneven wear patterns,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Could indicate suspension or alignment problem,,,
databus_error_fuel_sensor_faults,Databus error and fuel sensor faults,Fuel sensor error,electrical,sensor_fault,low,medium,"[""all""]",,,"Fault codes stored, no drivability issues",Likely from dead battery,Clear codes and test drive; replace battery if needed,"[""OBD-II scan shows databus and fuel sensor faults""]",Scan for faults and check battery health,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,Faults may clear and not return after battery replacement,,,
intake_air_system_leak_fault,Intake air system leak fault code,Intake leak fault,engine,sensor_fault,medium,medium,"[""all""]",,,"Fault code stored, possible running issues","Unknown, possibly related to other electrical faults",Clear codes and test drive; inspect intake system,"[""OBD-II scan shows intake leak fault""]",Scan for faults and check intake components,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,Found during scan; may be intermittent,,,
battery_replacement_needed,Dead battery causing electrical faults,Dead battery,electrical,wear_item,low,high,"[""all""]",,,"Electrical faults, possible no-start",Battery end of life,Replace battery,"[""New non-original battery installed"", ""Multiple electrical faults""]",Check battery age and condition,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Battery already replaced; faults likely related,,,
coolant_mixing_risk,Risk of mixed coolant types causing issues,Coolant mixing risk,cooling,other,high,medium,"[""all""]",,,"Coolant discoloration, potential cooling system damage",Mixing pink (G12/G13) with green coolant,Use only correct pink coolant,"[""Brownish coolant color""]",Inspect coolant color and condition,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,Mixing coolant can cause extended damage,,,
body_damage_rock_panel_bumper,Damage to rocker panel and front bumper,Body damage,body,structural,low,high,"[""all""]",,,Visible flattening or scuffs on rocker panel; damage under front bumper,Improper lift arm placement or hitting animal carcass,Body repair or bumper replacement if desired,"[""Flattened or scuffed rocker panel"", ""Damage under front bumper"", ""Debris embedded""]",Inspect rocker panels and underside of front bumper for damage,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,"Cosmetic only, not structural; damage covered up but visible from below",,,
serpentine_belt_wear,Serpentine belt may need replacement due to age,Belt wear,engine,wear_item,medium,medium,"[""all""]",,,Cracking on belt ribs,Age and mileage,Replace serpentine belt,"[""Cracking on belt ribs""]",Inspect belt for cracking,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,"Belt on this car looks new, but general advice for used cars",,,
spark_plugs_original,Original spark plugs may need replacement,Spark plugs original,engine,wear_item,low,high,"[""all""]",,,Potential misfires or poor performance,Age and mileage,Replace spark plugs,"[""Original plugs based on untouched ground nuts""]",Check if spark plugs have been replaced,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Plugs likely original at this mileage,,,
clutch_wear_high_engagement,Clutch wear indicated by high engagement point,Clutch wear,gearbox,wear_item,medium,medium,"[""all""]",,,Clutch engages higher as it wears,Normal clutch wear,Replace clutch,"[""High clutch engagement point""]",Test drive and compare engagement to new car,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,Specific to manual transmission cars,,,
suspension_noises_wear,Suspension noises over bumps and tie rod boot dry rot,Suspension wear,suspension,wear_item,low,high,"[""all""]",,,Squeaks or noises from suspension; potential for boot failure,Wear in suspension components; age and exposure,Inspect and replace worn parts; monitor and replace boots if cracked,"[""Noises over bumps or potholes"", ""Dry, stiff boots""]",Test drive over rough roads and listen for noises; inspect tie rod boots for cracks or damage,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Common at higher mileage; boots are okay but should be watched,,,
fender_liner_debris_rust,Debris buildup in fender liners causing rust,Fender liner rust,body,structural,high,high,"[""all""]",2005-2024,,"Rust formation on quarter panels, rockers, and fenders","Dirt, rocks, salt, sand collecting behind fender liners, keeping metal moist","Clean out fender liners regularly, apply fluid film or undercoating","[""Visible rust at quarter panel/bumper joint"", ""Dust/debris accumulation behind liners""]","Check behind fender liners for debris and rust, especially in northern climates",1.0,"[{""video_id"": ""E-vn6KEqaJk"", ""title"": ""THE SECRET TO KEEP A VW RUST FREE (Cleaning the Fender Liners on a MK7 Golf)"", ""bucket"": ""common_faults""}]",youtube,high,Critical in areas where roads are salted; foam inserts in liners hold moisture,,,
water_pump_leak,Water pump leaking continuously,Water pump leak,cooling,fluid_leak,high,high,"[""all""]",,,Water pump leaking coolant,,Water pump replaced and cleaned,"[""Coolant leaks under car"", ""Overheating""]",Check for coolant leaks around water pump,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Described as a common issue; repair cost around £850,,,
disc_brakes_cracked,Front disc brakes cracked all around,Cracked brake discs,brakes,structural,high,high,"[""all""]",,,"Brake discs split and cracked, likely from overheating",Overheating from heavy use,New front and rear discs and pads fitted,"[""Cracks visible on brake discs"", ""Brakes getting very hot""]","Inspect brake discs for cracks, especially after hard use",1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Front discs were cracked all around; rears were worn down to metal,,,
cam_magnets_faulty,Both cam magnets not controlling camshafts,Faulty cam magnets,engine,sensor_fault,high,high,"[""all""]",,,"Camshaft control issues, especially exhaust side",Faulty cam magnets and valves,Both cam magnets and valves replaced,"[""Engine performance issues"", ""Camshaft control faults""]",Check cam magnet operation with diagnostic scan,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Exhaust cam magnet was worse; both were replaced,,,
rear_damper_leak,Nearside rear damper leaked and lost fluid,Damper fluid leak,suspension,fluid_leak,medium,high,"[""all""]",,,"Damper had no fluid left, likely causing poor ride",Leak in damper,Replaced with second-hand low-mileage unit,"[""Damper leaking fluid"", ""Poor suspension performance""]",Check dampers for leaks and fluid loss,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,"Volkswagen recommends replacing dampers in pairs, but a second-hand unit was used",,,
windscreen_chips,Windscreen covered in chips and cracks,Windscreen chips,body,structural,medium,high,"[""all""]",,,"Windscreen has multiple chips and cracks, possibly illegal",,Windscreen replacement booked,"[""Visible chips and cracks in windscreen""]","Check windscreen for chips and cracks, especially in swept area",1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Mentioned as needing replacement for legality and appearance,,,
dvx_valve_fueling_issue,DVX adjustable dump valve causing fueling problems,DVX valve fueling issue,engine,intermittent_fault,medium,high,"[""all""]",,,"Fueling all over the place, poor engine performance","DVX valve dumping to air, messing with predicted MAF tables",DVX valve removed and stock DV valve reinstalled,"[""Erratic fueling"", ""Poor engine performance""]",Check for aftermarket dump valves and their compatibility,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,DVX valve caused fueling issues because MAF tables are predicted for stock setup,,,
tune_hardware_mismatch,Engine tune not suitable for installed hardware,Tune mismatch,engine,intermittent_fault,medium,high,"[""all""]",,,"Engine performance anomalies, especially in fourth gear","Tune not matching hardware (e.g., missing intercooler, stock exhaust)",Correct hardware installed and latest tune applied by RacingLine,"[""Performance issues in specific gears"", ""Inconsistent power""]",Verify tune compatibility with all installed hardware,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Car was stage two but missing intercooler and had stock exhaust; tune updated,,,
clutch_wear_high_power,Clutch is weak link when making more power,Clutch wear,gearbox,wear_item,medium,high,"[""all""]",,,Clutch slipping under increased power,Increased torque from modifications,Clutch replacement,"[""Slipping under acceleration""]",Check clutch engagement if car is modified,1.0,"[{""video_id"": ""PwzmaKYijOc"", ""title"": ""Volkswagen MK7 Golf GTI Buyer's Guide - Models, Engines, & Options"", ""bucket"": ""common_faults""}]",youtube,high,Described as the 'fusible link' in manual transmission variants,,,
bolt_corrosion_suspension_components,Corrosion of suspension and brake component bolts,Bolt corrosion,suspension,wear_item,medium,high,"[""all""]",2005-2024,100k-200k km,Bolts seizing or rounding off during removal,"Exposure to road salt, moisture, and debris",Coat bolts with fluid film or anti-seize periodically,"[""Rusted end link bolts"", ""Corroded tie rod bolts""]",Check suspension and brake line bolts for corrosion,1.0,"[{""video_id"": ""E-vn6KEqaJk"", ""title"": ""THE SECRET TO KEEP A VW RUST FREE (Cleaning the Fender Liners on a MK7 Golf)"", ""bucket"": ""common_faults""}]",youtube,high,Preventative coating makes future repairs easier,,,
interior_trim_damage,Broken interior trim piece,Trim damage,body,structural,low,high,"[""all""]",,,Visible broken trim,Physical damage,Replace trim piece,"[""Broken trim in interior""]",Inspect interior for damage,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Cosmetic issue only,,,
battery_blanket_missing,Missing battery blanket increasing no-start risk in cold,Missing battery blanket,electrical,other,low,medium,"[""all""]",,,Increased risk of no-start in cold weather,Battery blanket left off after battery replacement,Install battery blanket,"[""Battery blanket missing""]",Check for presence of battery blanket,1.0,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,Affects cold weather starting,,,
exhaust_clamp_missing,Exhaust clamp missing and rotten,Missing exhaust clamp,exhaust,structural,low,high,"[""all""]",,,"Exhaust clamp missing, potential exhaust leak",Clamp rotten off,Brand new exhaust clamp fitted,"[""Exhaust noise"", ""Visible missing clamp""]",Inspect exhaust clamps for rust and integrity,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Part of Scorpion downpipe and res delete exhaust system,,,
wheel_arch_liner_screw_rub,Wheel arch liner screw causing tire rub with spacers,Arch liner screw rub,body,noise,low,high,"[""all""]",,,Scrubbing noise when cornering or with lowered suspension,Wheel arch liner screw contacting tire due to spacers,Screw removed to prevent rubbing,"[""Scrubbing noise from wheel arches"", ""Tire contact marks""]",Check for screw contact in wheel arches when spacers are fitted,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Screw removal prevents damage if car is lowered later,,,
rear_wiper_delete,Rear wiper delete installed,Rear wiper delete,body,other,low,high,"[""all""]",,,"No rear wiper, personal preference issue",Aftermarket modification,Not replaced due to cost and potential buyer preference,"[""Missing rear wiper""]",Check for missing rear wiper if functionality is desired,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,"Mentioned as a personal preference, not a mechanical fault",,,
paddles_unpleasant,Aftermarket paddle shifters unpleasant to use,Unpleasant paddles,gearbox,other,low,high,"[""all""]",,,Paddle shifters not nice to use,Aftermarket paddles installed,Replaced with RacingLine paddles,"[""Poor paddle feel"", ""Aftermarket paddles installed""]",Check paddle shifter quality and feel,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Replaced as part of upgrades by RacingLine,,,
dsg_software_outdated,DSG gearbox software outdated,DSG software outdated,gearbox,intermittent_fault,low,high,"[""all""]",,,Potential gearbox performance issues,Outdated software version,Latest DSG software revision applied,"[""Gearbox shifting anomalies""]",Check DSG software version and updates,1.0,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""bucket"": ""common_faults""}]",youtube,high,Updated by RacingLine as part of tune correction,,,
