topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_km,onset_mileage_range,affected_engines,affected_years,engine_family_codes,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
11,"Clutch and brake pad wear, judder, and performance issues",Clutch/Brake Wear,brakes,wear_item,medium,high,32500.0,10000-80000 km,"[""all""]",all,[],[],"Evidence is broad across engine groups, with significant covariate effects for all listed groups, suggesting no single engine is uniquely affected.",4.9,0.714,"This topic centers on premature wear of clutch pressure plates (baski balata) and brake pads (fren balata), causing judder, vibration, and power loss, particularly noticeable during starts and in low gears. Complaints frequently question if replacements are covered under warranty and discuss associated costs.","[""Vibration or judder during acceleration, especially in 1st and 2nd gear"", ""Clutch engaging higher than normal or feeling 'dry' or notchy""]",Inspect clutch pressure plate and brake pads for premature wear; check for glazing or contamination on the friction surfaces.,medium,111,"The topic mixes clutch and brake component complaints, making precise isolation difficult. A high proportion of threads have an 'unknown' engine group, limiting engine-specific conclusions. The chronic signal is high, but snippets describe typical wear items rather than a systemic, unresolved failure pattern."
12,"General vehicle characteristics, performance, and purchase advice discussions",General discussion,other,other,low,medium,,,"[""all""]",all,[],[],"FREX terms include engine codes (k4m, rta) and displacements (1.4, 1.6, 8v, 16v), but topic is not engine-specific.",4.1,0.278,"This topic captures broad discussions about vehicle characteristics, likes/dislikes, performance comparisons, fuel consumption, and general purchase or modification advice. It is not focused on a specific mechanical failure or fault.","[""Vague complaints about vehicle characteristics"", ""Discussions comparing engine performance or fuel economy""]","No specific inspection is indicated as this is a general discussion topic, not a fault.",medium,77,"Topic is mixed and non-specific. High proportion of 'unknown' engine_group (70.1%) and broad FREX terms (e.g., 'sevmedigim yonleri' - aspects I don't like, 'klimasiz/klimali' - without/with AC) suggest general ownership experience talk, not a technical issue. Covariate effects are uniformly high across all engine groups, confirming lack of specificity. Chronic signal is present but likely reflects recurring general discussion themes."
13,Electrical system warning lights and starting/charging issues,Warning Lights / Charging,electrical,intermittent_fault,medium,medium,29000.0,3700-65870 km,"[""all""]",all,[],[],"Evidence suggests broad occurrence across engine types, with significant signals for 0.9_TCE, 1.5_DCI, and 1.4_NA, but high proportion of unknown engine data limits specific mapping.",8.9,1.0,"A prevalent topic concerning dashboard warning lights (e.g., 'enjeksiyonu kontrol ettirin'), charging system faults (aku, sarj), and intermittent starting or operational issues. Complaints span multiple generations and engine types, often appearing at relatively low mileage.","[""Dashboard warning light illumination (e.g., injection system warning)"", ""Intermittent starting problems or loss of power while driving"", ""Battery/charging (aku) related warnings or failures""]","Check for diagnostic trouble codes related to injection, turbo pressure (e.g., P0299), and the charging system. Inspect electrical connections, battery health, and alternator output.",medium,230,"High chronic signal (1.0) and representative snippets indicate recurring, unresolved complaints. However, 75% of dominant threads have an unknown engine group, making precise engine-family mapping difficult. Covariate effects show all listed engine groups have similar, significant estimates, supporting a broad issue. The presence of '1.4_NA' in the data, which is not in the provided scaffold, introduces some mapping uncertainty."
14,"General discussion and ownership queries for Clio III era models, particularly DCI variants",General Ownership Discussion,other,other,low,medium,,,"[""all""]",pre-2013,"[""K9K""]",[],"Strongest evidence points to 1.5 DCI (K9K) engines in Clio II/III models, but topic appears to be general discussion.",3.1,0.487,"This topic appears to capture general forum discussions, ownership queries, and possibly for-sale listings for Renault Clio models, with a strong focus on the Clio III generation and 1.5 DCI engine variants. The FREX terms indicate discussions about specific trim levels (Extreme, Executive, Authentique, Expression) and model years (2007, 2008, 2011, 2012).","[""Frequent posts about specific model trims and years"", ""User queries going unanswered in forum threads""]",Review thread content to determine if specific technical issues are being discussed or if this is primarily general ownership conversation.,medium,55,"Topic classification is uncertain; FREX terms (db, clioiii, extreme, edition, night, day, expression, authentique, executive) and snippets suggest this may be a 'catch-all' discussion topic for Clio III models rather than a specific mechanical failure. The high 'unknown' engine percentage and low chronic signal further support this. Covariate effects are nearly identical across all engine groups, indicating no specific engine association for a fault."
15,"Idle instability, misfiring, and stalling issues related to ignition and fuel systems",Idle/Misfire Issues,engine,intermittent_fault,medium,medium,45000.0,4400-123600 km,"[""all""]",all,[],[],"Evidence points to a broad issue across many engine types, with strong signals from TCE and NA petrol engines, but specific family mapping is unclear from the data.",10.4,0.669,"A common complaint involving unstable idle (rolanti), misfiring (tekleme), and stalling, often linked to ignition components (buji, bobin), throttle body (kelebegi), and fuel system (enjektor, benzinde). The problem appears across multiple generations and engine types, with a significant portion of reports mentioning recent LPG conversions.","[""Unstable or fluctuating idle speed (rolanti inip cikiyor)"", ""Engine misfires or stalling, especially at idle or low RPM""]","Check ignition system (spark plugs, coils), throttle body and sensor, fuel injectors, and for vacuum leaks. If LPG is installed, inspect its calibration and components as a primary suspect.",medium,232,"High proportion (81.9%) of threads have unknown engine group, limiting precise engine targeting. Covariate effects show nearly identical estimates across all engine groups, suggesting a pervasive issue rather than one specific to a family. The chronic signal is moderate but not definitive for a chronic_failure classification; snippets describe problems but not necessarily unresolved repeat failures. LPG conversion is a prominent covariate (PROB terms) and may be a major contributing factor."
16,"ECO mode button retrofit and related electrical/performance discussions, including comparisons with other models",ECO Mode Retrofit,electrical,other,low,medium,,,"[""all""]",all,[],[],"Topic is not engine-specific; discussions span multiple engine types including 1.5 DCI, 0.9 TCE, and 1.0 TCE.",2.8,0.445,"This topic centers on user discussions about retrofitting or enabling the ECO mode button on Renault Clio models, often involving wiring and switch installation. Threads also include broader comparisons with other vehicles like the Fiat Punto and discussions about general vehicle reliability and costs.","[""ECO mode button missing or non-functional"", ""Vehicle lacks expected ECO mode feature from factory""]",Check for pre-wired connectors behind blank switch panels and verify compatibility of ECO mode switch parts from donor vehicles.,medium,60,"The topic is broad and mixes technical retrofit discussions with general vehicle complaints and model comparisons. A high proportion of threads have unknown engine specification. The chronic signal is moderate but does not indicate a repeated, unresolved mechanical failure."
17,High fuel consumption complaints and fuel economy discussions,High Fuel Consumption,engine,other,low,high,,,"[""all""]",all,[],[],"Discussions span multiple engine types including petrol (1.2 NA, 0.9 TCE, 1.2 TCE) and diesel (1.5 DCI), with no single engine family showing dominant issue concentration.",6.3,0.604,"This topic represents widespread discussions about fuel consumption rates, fuel economy comparisons, and range anxiety. Users report specific consumption figures (e.g., 5.2 L/100km, 10-11 L/100km), share fuel tank capacity experiences, and debate engine efficiency across multiple generations.","[""Reported fuel consumption higher than expected"", ""Frequent discussions about fuel tank range and refueling""]",Monitor actual fuel consumption against manufacturer specifications and check for driving habit influences before assuming mechanical issues.,high,153,"This appears to be a general discussion topic rather than a specific mechanical failure. The chronic signal likely reflects ongoing debates about fuel economy rather than unresolved technical problems. Covariate effects show minimal variation across engine groups, supporting the interpretation as a general concern rather than engine-specific fault."
18,"MediaNav/Medianav Evolution infotainment system software update, downgrade, and map file issues",Infotainment Software Issues,electrical,other,low,high,,,"[""all""]",all,[],[],No evidence linking issue to specific engine; discussions are infotainment-centric.,2.6,0.976,"This topic centers on user-driven software management of the MediaNav/Medianav Evolution infotainment system, including updates, downgrades, and map file installations. Discussions involve specific software versions, troubleshooting update processes, and seeking files for navigation maps or skin modifications.","[""Infotainment system prompts for or fails during software updates"", ""Navigation maps are outdated or fail to load after an update attempt""]",Check the current software version in the infotainment settings and consult forum guides for correct update procedures and file sources.,high,58,"Issue is related to infotainment software/user modification, not a mechanical or chronic hardware failure. High chronic signal reflects ongoing user discussions about software versions and procedures, not unresolved product defects. Engine breakdown is dominated by 'unknown' (94.8%), and covariate effects show no meaningful differentiation between engine groups, confirming the issue is vehicle-wide for models equipped with these systems."
19,"General discussion and comparison of Clio IV (2013-2019) models, focusing on trim levels, engine options (especially 0.9 TCE and 1.5 DCI), and transmission differences",Model Comparison Discussion,other,other,low,medium,,,"[""all""]",2013-2019,"[""H4Bt"", ""K9K"", ""H5Ft""]",[],"Discussion centers on TCE (0.9, 1.2, 1.3) and DCI (1.5) engines, with specific mentions of EDC transmissions.",6.4,0.358,"This topic represents a broad, non-technical discussion thread common in forums, where users compare Clio IV models, trims (Icon, Energy, GT Line), engine choices (0.9 TCE, 1.2 TCE, 1.5 DCI), and transmission types (manual vs. EDC). It serves as a general advice and experience-sharing hub for prospective and current owners rather than reporting a specific mechanical fault.","[""Owner seeking advice on model/engine choice"", ""Comparisons between model years and trim levels""]",Not applicable for a specific fault. Advice relates to researching model specifications and owner experiences before purchase.,medium,126,"High proportion of 'unknown' engine_group (49.2%) and broad, non-technical snippets suggest this is a general discussion topic, not a specific failure mode. The chronic signal is moderate but likely reflects ongoing, repeated discussion rather than chronic failures. Covariate effects are uniformly low and significant across all engine groups, confirming the topic's broad, non-specific nature. The label is inferred from FREX terms (tce, 0.9, edc, icon, energy, gtline) and snippets discussing model comparisons and features."
20,"General ownership discussions, new car delivery, and minor oil leak concerns",General Ownership,other,other,low,medium,,,"[""all""]",all,[],[],,2.8,0.359,"This topic is a mixed collection of general forum discussions, including new car delivery announcements, ownership wishes, and a few isolated reports of minor oil leaks. The low chronic signal and broad, non-specific terms indicate it is not a focused technical failure topic.","[""New car delivery announcements"", ""General ownership wishes (kazasiz, belasiz)"", ""Isolated mention of oil spots under vehicle""]","Not applicable for a specific fault. For oil leak concerns mentioned in some threads, inspect under-engine protection cover and turbo hoses if present.",medium,57,"Topic is a broad mix of content. FREX terms (kazasiz, belasiz, ugurlu, rodaj) suggest many posts are general well-wishes for new cars or break-in periods. A few snippets mention oil leaks, but they are not prevalent or specific enough to define a distinct failure mode. Engine breakdown is dominated by 'unknown' (78.9%), and significant covariate effects are uniform across all engine groups, indicating no specific engine association. Chronic signal is low (0.359), not supporting a chronic failure pattern."
