issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,affected_engines_original,_scope_notes,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence
rust_fuel_filler_cap,Rust around fuel filler cap,Filler cap rust,body,structural,medium,high,[],,,Rust can develop around the fuel filler cap area.,Corrosion from fuel spills and moisture,"Treat rust, repaint, and seal","[""Bubbling paint around filler"", ""Visible rust""]",Inspect area around fuel filler cap for corrosion.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
rust_rear_arches,Rust on rear wheel arches,Rear arch rust,body,structural,high,high,[],,,Rust is appearing on the rear wheel arches as the cars age.,Age and corrosion,"Cut out and weld new metal, treat and protect","[""Bubbling paint"", ""Visible orange/brown corrosion""]","Check rear wheel arches thoroughly, especially inside edges.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
rust_sills,Rust on sills,Sill rust,body,structural,high,high,[],,,"Rust can form on the metal sills, which are hidden by plastic side skirts.",Trapped moisture and corrosion under side skirts,"Remove skirts, treat rust, weld if necessary, protect","[""Rust visible at skirt edges"", ""Dampness under skirts""]",Remove plastic side skirts if possible to inspect metal sills.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
start_stop_battery_drain,Start-stop system battery drain,Battery drain,electrical,chronic_failure,medium,medium,[],,,"Start-stop system drains the battery, often resulting in a dead battery.",Battery degradation or system fault.,"Replace battery, diagnose start-stop system.","[""Frequent battery warnings"", ""Start-stop not working""]","Check battery health and age, test start-stop function.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""model_window""}"
starter_motor_water_ingress,Starter motor water ingress and freezing,Starter water ingress,electrical,intermittent_fault,medium,medium,[],,,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",Water ingress into starter motor housing.,"Replace or reseal starter motor, protect from water exposure.","[""Slow cranking in wet conditions"", ""Starter noise""]",Inspect starter motor location for signs of water exposure or corrosion.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""model_window""}"
steering_wheel_melting,Steering wheel leather melts and becomes sticky,Sticky steering wheel,other,wear_item,low,medium,[],,,"The cheap leather on the steering wheel degrades, melting and becoming sticky to the touch.",Degradation of cheap leather material,Steering wheel cover or replacement,"[""Sticky feel"", ""Discoloration""]",Feel steering wheel for tackiness,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
suspension_noise_rough_roads,Suspension noise on rough roads,Suspension noise,suspension,noise,low,medium,[],,,Excessive noise when driving on damaged roads.,,"Inspect and replace worn suspension components (bushings, struts).","[""Clunking or rattling over bumps""]","Test drive on rough roads, listen for noises, inspect suspension for wear.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""model_window""}"
washer_jet_blockage,Washer jets become blocked,Blocked washer jets,electrical,chronic_failure,low,high,[],,,"Washer jets are infamous for becoming blocked, which is an MOT failure.","Dirt, debris, or mineral deposits in jets",Clean or replace washer jets,"[""Weak or no spray"", ""Uneven spray pattern""]",Test washer jets during pre-purchase inspection.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
water_ingress_boot,Water ingress into boot/trunk,Boot water leak,body,chronic_failure,medium,high,[],,,"Water leaks into the boot, often due to failed rubber bungs, causing dampness or mold.",Failed rubber bungs or seals,Replace or reseal rubber bungs and check boot seal,"[""Damp carpet in boot"", ""Musty smell"", ""Visible mold""]",Check boot carpet for dampness and inspect rubber bungs in spare wheel well.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
water_ingress_flooding,Water ingress from blocked drains or seals,Water leaks,body,fluid_leak,medium,high,[],,,Carpets become sodden and flooded with water inside the vehicle. Water leaks from the courtesy light area or sunroof when turning.,Scuttle panel drain tube blockage or sunroof drain blockage/seal failure.,"Clear blocked drain tubes, check and reseal sunroof seals.","[""Damp carpets"", ""Water stains on headliner"", ""Musty odor""]","Inspect carpets for dampness, check scuttle drains and sunroof drains for blockages.",1,1,"[{""video_id"": ""V87ZBmLrkyU"", ""title"": ""Is your clio getting wet inside? WATCH THIS! It's Highly likely this could be your problem"", ""channel"": ""MK2 CLIO OWNERS UK"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Merged scuttle and sunroof drain issues as common water ingress causes.,1,"[""all_renault_clio_mk2""]","[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""model_window""}"
water_ingress_interior,Water ingress into interior cabin,Water ingress,body,chronic_failure,medium,medium,[],,,"Water finds its way into the interior, potentially from blocked scuttle drains or failed door seals.",Blocked scuttle drains or failed door seals,"Clear drains, replace seals","[""Damp carpets"", ""Musty smell""]",Check footwells and door seals for dampness,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
