issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,affected_engines_original,_scope_notes,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence
drive_shaft_wear_vibration,Drive shaft wear causing vibration,Drive shaft wear,suspension,wear_item,medium,high,[],,,Worn drive shafts cause a vibration felt through the steering wheel.,Worn CV joints or shafts.,Replace drive shaft(s).,"[""Vibration under acceleration"", ""Clicking on turns""]",Listen for clicks during tight turns and check for vibration during acceleration.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]","[""2.0""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
engine_control_relay_stuck_closed,Engine control relay stuck closed causing battery drain,Relay fault,electrical,intermittent_fault,medium,medium,[],,,Battery drains flat overnight due to excessive parasitic draw.,,,[],,1,1,"[{""video_id"": ""YLEo2Xt3gJs"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""model_window""}"
front_wiper_linkage_seizure,Front wiper linkage seizes,Wiper seizure,electrical,wear_item,low,medium,[],,,"Front wipers do not move and the system enters a protection mode, disabling them.",,,[],,1,1,"[{""video_id"": ""VQ3YHsEDV7I"", ""title"": ""Renault Clio 2006 wipers not working. Fault finding and repair."", ""channel"": ""LM Auto Repairs"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]","[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1990-1998""], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""engine""}"
fuel_gauge_inaccuracy,Inaccurate fuel level gauge,Fuel gauge fault,fuel,sensor_fault,medium,medium,[],,,"Fuel gauge shows incorrect level, often reading half a tank for a long time before suddenly indicating empty, stranding the driver.",,,"[""Erratic gauge movement"", ""Fuel light comes on unexpectedly""]",Verify fuel gauge accuracy by filling tank and monitoring gauge response.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""model_window""}"
ignition_coil_failure,Ignition coil failure causing no spark,Ignition coil failure,electrical,sensor_fault,high,high,[],,,Car turns over but won't start due to no spark from the ignition coil.,Ignition coil failure,Replace ignition coil,"[""Engine misfires"", ""Difficulty starting when warm""]",Check for spark at the plugs; test ignition coil resistance.,1,1,"[{""video_id"": ""9oO0xSrvs1M"", ""title"": ""Renualt clio 1.2 16v starting problem fix"", ""channel"": ""Help Yourself"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]","[""1.2""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1996-1998""], ""from_model_scope_window"": [""1996-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1996-1998"", ""fallback_window_source"": ""engine""}"
oil_consumption_1_2,High oil consumption leading to engine failure,Oil consumption,engine,chronic_failure,high,high,"[""1.2""]",,,"Engine consumes excessive oil, which can lead to catastrophic engine failure.",High oil consumption due to engine design or wear,Monitor oil level closely; rebuild or replace engine if severe,"[""Low oil between changes"", ""Blue exhaust smoke""]","Check oil level and for signs of burning oil (smoke, deposits).",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Specifically noted for 1.2 engine; may lead to catastrophic failure.,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1996-1998""], ""from_model_scope_window"": [""1996-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1996-1998"", ""fallback_window_source"": ""engine""}"
poor_rear_visibility,Poor rear visibility and blind spots,Poor visibility,body,other,low,high,[],,,Rear visibility is poor with small rear windows and significant blind spots.,Design of rear window and pillars,Use additional mirrors or blind spot aids,"[""Difficulty seeing rear corners"", ""Reliance on mirrors""]",Assess rearward visibility during test drive.,1,1,"[{""video_id"": ""vFVYN8VBBYk"", ""title"": ""Renault Clio RS: Worthy of the hype, or just another French flop?  | ReDriven"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Inherent design characteristic.,1,"[""all_renault_clio_mk1""]","[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1990-1998""], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""engine""}"
power_steering_switch_leak,Power steering switch leak,Steering switch leak,other,fluid_leak,low,medium,[],,,Power steering switch is common for starting to leak fluid.,,,"[""Low power steering fluid"", ""Fluid spots near steering components""]",Check power steering fluid level and inspect switch area for leaks.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]","[""2.0""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
r_link_infotainment_bugs,R-Link infotainment system bugs and crashes,Infotainment bugs,electrical,intermittent_fault,low,medium,[],,,"The R-Link system is buggy, slow, crashes, and can interfere with climate controls.",,,"[""System freezes or reboots"", ""Slow response to inputs""]","Test infotainment system functions, including climate control integration, during a test drive.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""model_window""}"
rear_wheel_bearing_wear,Rear wheel bearing wear causing rumbling noise,Wheel bearing wear,suspension,wear_item,medium,high,[],,,"Rear wheel bearings are susceptible to wear, producing a rumbling noise.",Normal wear and tear.,Replace wheel bearing.,"[""Rumbling or humming noise from rear""]","Listen for bearing noise during test drive, check for play in rear wheels.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]","[""2.0""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
spare_wheel_access_complicated,Complicated spare wheel access,Spare wheel access,body,other,low,medium,[],,,Spare wheel is not in the boot and requires a multi-step process to release it from under the car.,,,[],,1,1,"[{""video_id"": ""RC-ZA24whsA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""model_window""}"
start_stop_battery_drain,Start-stop system drains battery,Start-stop fault,electrical,chronic_failure,medium,medium,[],,,"The start-stop system does not function correctly, leading to frequent dead batteries.",,,"[""Start-stop not activating"", ""Battery warning light""]",Check battery health and test start-stop functionality if equipped.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""model_window""}"
starter_motor_water_ingress,Starter motor water ingress and freezing,Starter water ingress,electrical,chronic_failure,high,medium,[],,,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",Water ingress into starter motor housing.,,"[""Slow cranking in wet conditions"", ""Starter noise after rain""]",Check starter motor location for signs of water exposure or corrosion.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""model_window""}"
steering_wheel_melting,Steering wheel leather melts and becomes sticky,Sticky steering wheel,other,chronic_failure,low,high,[],,,The cheap leather steering wheel coating can melt and become sticky.,Degradation of coating material.,Replace steering wheel or use a cover.,"[""Sticky or tacky steering wheel feel""]",Feel the steering wheel for sticky residue.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]","[""2.0""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
vent_control_plastic_breakage,Fragile air vent control plastics,Brittle vent controls,body,wear_item,low,medium,[],,,Air vent controls are made from brittle plastic and can break easily if handled aggressively.,Brittle plastic material.,,"[""Cracks on vent controls"", ""Stiff or loose adjustment""]",Gently test air vent controls for smooth operation and check for cracks.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""model_window""}"
