issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,video_type_category,warning_signs,severity,merged_from_issue_ids,affected_engines_original,_scope_notes
coolant_intrusion_combustion_chamber,coolant leaking into combustion chamber,cooling,[],,Engine runs rough and may have catastrophic failure due to coolant entering the combustion chamber.,,,high,low,"[{""video_id"": ""kVxIuLbuGZs"", ""title"": ""RELIABLE Car Engines You SHOULD Buy"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",17,3,"[""bad"", ""cracking"", ""generally catastrophic"", ""open engine"", ""things"", ""initially"", ""dont worry"", ""dig"", ""little things"", ""terrible""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
dpf_clogging_regeneration_failure,DPF clogging and regeneration failure,exhaust,"[""1.5_DCI""]",,"Poor fuel economy, higher idle RPM, engine running hotter, cooling fans running excessively, and potential check engine light due to DPF regeneration issues.","Short-trip driving preventing proper regeneration, oil consumption creating permanent ash buildup, faulty sensors (DPF pressure, exhaust temp), clogged EGR valves, bad fuel injectors, or air intake leaks.","Ensure regular longer drives for complete regenerations, use low-ash engine oil, fix underlying engine problems promptly, use quality fuel with additives, and avoid interrupting regeneration cycles.",high,high,"[{""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""54GrVq8_KqE"", ""title"": ""How Do You Know a DPF Regen Is Really Happening & How To Tell When A DPF Regeneration Is Running?"", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",0,37,"[""dpf"", ""regeneration"", ""soot"", ""ash"", ""diesel"", ""filter"", ""fuel"", ""heres"", ""oil"", ""engine""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,,,,
engine_bearing_failure,spun engine bearing metal contamination,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.2_NA"", ""1.5_DCI""]",,Engine makes knocking noises and loses power due to bearing failure.,Worn or spun engine bearings releasing metal particles into oil system.,Engine rebuild or replacement with new bearings and thorough oil system cleaning.,high,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""HAfxcAmgnr8"", ""title"": ""Stiff Gear Shift? Stuck Manual Gear Stick? Common Problem Fixed in 30 Secs. It's Not Your Gearbox"", ""channel"": ""Rick The Spud"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",24,3,"[""oh"", ""grease"", ""bearing"", ""shouldnt"", ""yeah"", ""nice"", ""going"", ""colored"", ""oh god"", ""thats better""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,,,,
engine_seizure_rod_bearing_failure,rod bearing failure leading to engine seizure,engine,[],,"Engine starts knocking from bottom end, potentially leading to complete engine seizure if not addressed quickly.",Oil starvation causing rod bearing failure that progresses upward through the engine,Replace rod bearings and inspect entire engine for damage; may require full engine replacement if seizure occurs,high,low,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",19,3,"[""compress"", ""engine dont"", ""way engine"", ""seize"", ""starts end"", ""rod bearings"", ""oven"", ""entire engine"", ""catch"", ""really like""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
oil_pump_starvation_soot_clogging,Oil pump starvation from soot clogging,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.5_DCI""]",,"Engine suffers from oil starvation leading to potential bottom-end damage, particularly affecting cylinder furthest from oil pump.","Soot and ash accumulation choking the oil system, preventing oil from reaching the oil pump.","Address oil leaks, smoke, or warning lights immediately; regular maintenance to prevent soot buildup.",high,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1002,4,"[""oil"", ""oil pump"", ""pump"", ""away reason"", ""choke"", ""best itll"", ""choke soot"", ""bad just"", ""cylinders particularly"", ""cylinder furthest""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,,,,
suspension_knocking_play,suspension knocking and play issues,suspension,[],,"Knocking and creaking sounds when driving over bumps or maneuvering, accompanied by steering wheel vibration and uneven tire wear.","Wear and failure of suspension components including tie rods, tie rod ends, sway bar links, ball joints, bushings, and shock absorber mounts, resulting in play and loss of structural rigidity.","Replace faulty components (tie rods, tie rod ends, sway bar links, ball joints, bushings, shock absorber mounts) as they are not repairable, then perform wheel alignment.",high,high,"[{""video_id"": ""ikIhsy89te0"", ""title"": ""Top 5 reasons why the suspension knocks | AUTODOC tips"", ""channel"": ""autodoc.co.uk"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""HAfxcAmgnr8"", ""title"": ""Stiff Gear Shift? Stuck Manual Gear Stick? Common Problem Fixed in 30 Secs. It's Not Your Gearbox"", ""channel"": ""Rick The Spud"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1,20,"[""music"", ""wheel"", ""steering"", ""tie"", ""bar"", ""suspension"", ""parts"", ""rubber"", ""play"", ""knocking""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
dpf_emissions_system_failures,DPF and emissions system problems,exhaust,"[""1.5_DCI""]",,"The driver experiences problems with the diesel particulate filter (DPF) and other emissions components, which can reduce reliability.","Complex modern diesel emissions equipment, including DPFs, which are prone to issues.",,medium,medium,"[{""video_id"": ""kVxIuLbuGZs"", ""title"": ""RELIABLE Car Engines You SHOULD Buy"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",16,3,"[""diesel"", ""reputation"", ""emission"", ""modern"", ""reliability"", ""ones"", ""issues"", ""bags"", ""different variations"", ""mighty""]",youtube,1,1,1,"[""diesel_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,,,,
egr_system_carbon_buildup,EGR system carbon buildup,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.5_DCI""]",,"EGR flow becomes restricted, causing the system to effectively not work.",,,,,"[{""video_id"": ""lCizL9ms6xY"", ""title"": ""How To Tell If Your EGR Is Faulty - Common EGR Symptoms & Problems."", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,organic,,,,,
egr_valve_stuck_open,EGR valve stuck closed,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.5_DCI""]",,Engine experiences pinking or pinging (detonation).,,,low,,"[{""video_id"": ""lCizL9ms6xY"", ""title"": ""How To Tell If Your EGR Is Faulty - Common EGR Symptoms & Problems."", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,organic,[],low,"[""egr_valve_stuck_closed"", ""egr_valve_stuck_open""]",,
engine_mount_grounding_fault,engine mount grounding strap fault,electrical,[],,Voltage drop detected at engine mount grounding point during electrical system testing.,Faulty ground strap connection at engine mount.,Test grounding points with multimeter and repair/replace faulty ground strap.,high,high,"[{""video_id"": ""Swz_LSU4-pk"", ""title"": ""How to Test Your Car for Ground Faults - QUICK & EASY!"", ""channel"": ""You Wrench"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",28,3,"[""grounding"", ""engine mount"", ""grounding point"", ""issue"", ""running"", ""mount"", ""particular"", ""reading"", ""repeat"", ""volts""]",youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
folded_seat_step_limits_cargo,Big step when seats folded,body,[],,"When the rear seats are folded, they leave a big step in the floor, limiting options for carrying larger items.",,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,organic,,,,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
fuel_gauge_inaccuracy,Inaccurate fuel level gauge,fuel,[],,"Fuel gauge shows incorrect level, often dropping suddenly and stranding the driver.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,organic,,,,,
head_gasket_failure_detonation,Head gasket failure from low-speed detonation,engine,[],,"Head gasket failure leading to coolant loss, interior heating issues, sweet exhaust smell, and potential cylinder misfiring.",Low-speed detonation caused by stock ECU calibration at certain parameters leading to multiple knock events and piston fatigue.,"Upgraded head gasket (multiple variations exist, with recall versions being more reliable).",high,high,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",14,4,"[""gasket"", ""head gasket"", ""head"", ""detonation"", ""um"", ""coolant"", ""know dont"", ""happened"", ""dont know"", ""dont""]",youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
jittery_low_speed_ride,Jittery ride at low speeds,suspension,[],,"At lower speeds, the ride can feel a bit jittery.",,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,organic,,,,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
maf_sensor_failure,MAF sensor failure or contamination,engine,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,"Engine misfires, rough idle, sluggish acceleration, stalling, or black smoke from exhaust.",,,,,"[{""video_id"": ""2K6mkzb3WRA"", ""title"": ""11 Bad MAF Sensor Symptoms | Car Mass Air flow Sensor Problems"", ""channel"": ""Car Care Clues"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,organic,,,,,
oil_consumption,High oil consumption leading to failure,engine,"[""1.2_TCE""]",,"Engine consumes excessive oil, which can lead to catastrophic engine failure.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2018""], ""from_model_scope_window"": [""2013-2018""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2018"", ""fallback_window_source"": ""engine""}",,organic,,,,,
oil_dilution_dpf_regeneration,Oil dilution from aborted DPF regen,engine,[],up to 2019,"Engine oil loses protective properties, potentially leading to catastrophic engine failure.",,,,,"[{""video_id"": ""THLOInExD7Y"", ""title"": ""AVOID These Car ENGINES!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""up to 2019"", ""from_llm_year_parsed"": [""2013-2019""], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""llm_phrase_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2019""}",2013-2019,organic,,,,,
oil_pickup_clogging_engine_failure,oil pickup clogging leads to engine failure,engine,[],,"Engine failure due to debris in the oil pickup, often noticed after oil changes or under high stress.","Debris accumulation in the oil pickup screen, potentially from wear or lack of maintenance, leading to oil starvation.","Regular oil changes, inspecting the oil pickup for debris, and more frequent servicing than recommended intervals.",medium,low,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",26,3,"[""just make"", ""just"", ""want"", ""make"", ""say"", ""service"", ""people"", ""cut losses"", ""just cut"", ""going far""]",youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
pedal_offset,Pedals offset to the right,other,[],,"The pedals are slightly offset to the right, affecting driving position.",,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,organic,,,,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
r_link_system_bugs,R-Link infotainment system bugs,electrical,[],,"Infotainment system is slow, crashes, or prevents use of climate controls.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,organic,,,,,
rear_visibility_obstructed,Seriously limited rear visibility,body,[],,The view over your shoulder is seriously limited due to thick rear pillars.,,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,organic,,,,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
rod_bearing_failure_oil_starvation,Rod bearing failure from oil starvation,engine,[],,Engine failure with damaged rod bearings and conrod damage due to oil starvation.,Oil starvation leading to bearing failure and conrod damage.,Replace rod bearings and potentially conrods; address oil delivery system issues.,high,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",25,3,"[""bearings"", ""theyre"", ""yeah"", ""oil"", ""rod bearings"", ""oil yeah"", ""raw"", ""little thing"", ""theyre just"", ""conrod""]",youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
start_stop_battery_drain,Start-stop system drains battery,electrical,[],,"Start-stop system causes excessive battery drain, leading to dead batteries.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,organic,,,,,
starter_motor_water_ingress,Starter motor water ingress and freezing,electrical,[],,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,organic,,,,,
suspension_noise,Excessive noise from suspension,suspension,[],,"Noticeable noise when driving, especially on damaged roads.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,organic,,,,,
timing_belt_degradation_rubber_contamination,Timing belt disintegration contaminating oil,engine,"[""1.2_NA"", ""1.5_DCI""]",,Oil filter clogged with rubber particles from disintegrating timing belt.,Timing belt material degradation causing rubber fragments to contaminate oil system.,Replace timing belt and flush oil system to remove contamination.,high,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",21,3,"[""amazing"", ""belt"", ""theres"", ""seep"", ""music applause"", ""just yeah"", ""youre just"", ""really"", ""managed"", ""like really""]",youtube,1,1,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,,,,
