issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context,warning_signs,severity,merged_from_issue_ids,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,video_type_category,affected_engines_original,_scope_notes,affected_engines_trim_original
ea888_turbo_failure_pcv_rear_seal,EA888 turbo failure and PCV/seal issues,engine,"[""1.8_TSI"", ""2.0_TSI""]",2015 to 2017,"Turbocharger failure causing poor engine running, rough idle, and oil leaks from rear main seal.","Weak seal from turbo to manifold on 06K 145 702N turbo unit, combined with PCV failure leading to rear main seal oil leaks.",Replace turbo unit with improved seals and address PCV system to prevent rear main seal failure.,high,high,"[{""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",8,8,"[""failure"", ""help"", ""pedal"", ""common"", ""effect"", ""turbo"", ""unit"", ""models"", ""seal"", ""fitted""]",youtube,3,3,3,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",,,,"[""all_vw_golf_mk7""]","{""GTI"": 2, ""base"": 1}",2,GTI,1,False,"{""from_llm_year_phrase"": ""2015 to 2017"", ""from_llm_year_parsed"": [""2015-2017""], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015-2017""}",2015-2017,,,,
manual_clutch_dmf_failure,Manual clutch and DMF failure on tuned cars,gearbox,[],Mark 5 through Mark 7,"Clutch chatter at idle and low speeds, reduced service life when tuning","Factory clutch at power limit, abusive driving without downshifting, DMF failure","Uprated clutch and upgraded DMF, replace slave cylinder when transmission is dropped",high,high,"[{""video_id"": ""56T2XdwH4hU"", ""title"": ""Things I Wish I knew Before Buying a VW TDI"", ""channel"": ""Euro Driven"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",35,3,"[""transmissions"", ""mark"", ""transmission"", ""flywheel"", ""mass"", ""mass flywheel"", ""automatic"", ""replace"", ""arent"", ""clutch""]",youtube,3,3,3,,,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""GTD"": 1, ""TDI"": 1}",3,mixed,2,False,"{""from_llm_year_phrase"": ""Mark 5 through Mark 7"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
steering_angle_sensor_calibration_loss,Steering angle sensor calibration loss,electrical,[],,"Multiple warning lights appear (cruise control, stability control, parking systems) and steering wheel turns very easily after battery disconnect or voltage drop.",Steering wheel angle sensor loses basic settings when battery is disconnected or vehicle experiences voltage drop.,"Perform manual calibration by turning steering wheel fully left, then fully right, then back to center.",high,high,"[{""video_id"": ""KJhaL65HL9Q"", ""title"": ""VW Golf MK7 Climatronic calibration adaptation"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""9nlDKR5N9p4"", ""title"": ""VW Golf MK7 (5G) Steering Angle Sensor basic settings (ESC ACC TPMS error fix)"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format"", ""trim"": ""R""}]",20,5,"[""steering"", ""steering wheel"", ""wheel"", ""current"", ""right"", ""calibration"", ""seconds"", ""position"", ""vent"", ""knows""]",youtube,3,2,3,,,,,"[""all_vw_golf_mk7""]","{""R"": 1, ""base"": 2}",2,base,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,,,,
water_leakage_multiple_points,Multiple water ingress points causing leaks,body,[],,"Water leaks into cabin, boot, footwells, and electronics from various points including sunroof drains, door speakers, rear badge, and tail light seals.","Failed seals, clogged drainage tubes, and plastic trim cracking allowing water ingress.","Clean drainage tubes, replace seals, and repair cracked plastic trim; may require extensive diagnosis and repair.",high,high,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""nQ13NQhis_E"", ""title"": ""Watch This Before Buying a Volkswagen Golf MK7 2015-2021"", ""channel"": ""AutoMotivate"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""udX3VU-Haus"", ""title"": ""VW Golf GTD MK7 - LONG TERM TEST REVIEW"", ""channel"": ""Our Tim"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}]",33,3,"[""just"", ""golf"", ""water"", ""plastic"", ""volkswagen"", ""owners"", ""issues"", ""car"", ""driving"", ""far""]",youtube,3,3,3,,,,,"[""all_vw_golf_mk7""]","{""GTD"": 1, ""base"": 2}",2,base,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015-2020""}",2015-2020,,,,
bonnet_release_cable_failure,broken bonnet release cable,body,[],7th generation,"The bonnet release cable breaks, preventing the bonnet from opening.",,,medium,medium,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format"", ""trim"": ""R""}]",1003,4,"[""generation"", ""common"", ""issue"", ""common issue"", ""generation ea888"", ""ea888"", ""generation golf"", ""golf"", ""golf gti"", ""7th generation""]",youtube,2,2,2,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""R"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": ""7th generation"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]",
egr_cooler_failure,EGR cooler failure warning lights,exhaust,"[""2.0_TDI""]",,Warning lights on the dashboard and error codes indicating the EGR cooler is starting to play up.,,,medium,low,"[{""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format"", ""trim"": ""TDI""}]",1007,2,"[""uh"", ""um"", ""car"", ""yeah"", ""know"", ""issues"", ""like"", ""pretty"", ""really"", ""just""]",youtube,2,2,2,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",,,,"[""all_vw_golf_mk7""]","{""TDI"": 1, ""base"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,,,
exposed_acc_sensor_damage,Exposed ACC sensor easily damaged,electrical,[],,"The ACC sensor on the front is easily damaged by bird strikes or objects, leading to costly system failure.","Sensor placement is overly exposed for functional reasons, making it vulnerable to impacts.","Repair or replace the ACC sensor, costing around £400 ($495).",high,high,"[{""video_id"": ""wIKS8wlgu9I"", ""title"": ""VW Golf GTD - hidden features and ONE that could get you out of trouble!"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}]",26,4,"[""vent"", ""acc"", ""sensor"", ""know know"", ""hitting"", ""costly"", ""dont like"", ""costing"", ""400"", ""turning""]",youtube,2,1,2,,,,,"[""all_vw_golf_mk7""]","{""GTD"": 2}",1,GTD,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,,,,
fuel_tank_suction_pump_recall,EVAP fuel tank pump recall (20Y6),fuel,"[""2.0_TSI""]",,Clogged charcoal canister indicating EVAP system pump failure.,,,low,,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI"", ""channel"": ""Lucas Huang"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",enum_augment,1,[],youtube,2,2,2,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",[],low,"[""evap_fuel_tank_pump_recall"", ""fuel_tank_suction_pump_recall""]","[""golf_gti_mk7""]","{""GTI"": 2}",1,GTI,0,True,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,list_format,,,
glow_plug_failure,glow plug replacement needed,engine,"[""1.6_TDI"", ""2.0_TDI""]",,Driver notices a glow plug failure requiring replacement.,Normal wear or failure of glow plug component.,Replace the faulty glow plug.,medium,low,"[{""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",1006,2,"[""reliability"", ""100"", ""big problem"", ""100 issue"", ""models worth"", ""bulletins recall"", ""check seal"", ""effected"", ""example"", ""effected models""]",youtube,2,2,2,,,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""GTD"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
ignition_coil_misfire_codes,Ignition coil pack failure causing misfires,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,Engine misfire detected with fault codes P0300-P0304 indicating cylinder-specific or multiple cylinder misfires.,Ignition coil pack failure,Replace faulty ignition coil(s) and potentially spark plugs,high,high,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",23,4,"[""code"", ""cylinder"", ""number"", ""detected"", ""multiple"", ""ignition coil"", ""equipment"", ""codes"", ""signs"", ""zero""]",youtube,2,2,2,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 2}]",[],low,"[""ignition_coil_failure"", ""ignition_coil_misfire_codes"", ""ignition_coil_pack_failure""]","[""all_vw_golf_mk7""]","{""GTI"": 1, ""base"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
manual_clutch_slippage_dsg_selector_issue,manual clutch slippage and DSG selector problems,gearbox,[],,"Manual transmission clutch slips even with standard power, while DSG models show gear selector issues with dashboard warnings when shifting from park.",Manual clutch is a weak point prone to wear; DSG gear selector mechanism has inherent problems.,Thorough test drive to check for clutch slippage; verify DSG selector doesn't flash warnings when shifting from park.,high,high,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format"", ""trim"": ""R""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",1005,3,"[""clutch"", ""test"", ""tends"", ""going"", ""youre"", ""problem"", ""make sure"", ""youre looking"", ""sure"", ""standard""]",youtube,2,2,2,,,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""R"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
parcel_shelf_clips_breaking,parcel shelf clips break or rattle,body,[],,"Parcel shelf clips are susceptible to breaking or becoming damaged, causing a rattle.",Stress from load carrying or general wear.,Replace broken clips or use aftermarket alternatives.,medium,low,"[{""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",28,4,"[""blasting"", ""brake pads"", ""need change"", ""types"", ""miles ill"", ""think ive"", ""walnut"", ""pads discs"", ""parcel"", ""know im""]",youtube,2,2,2,,,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""GTD"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
rear_main_seal_oil_leak,Rear main seal oil leak,engine,"[""1.4_TSI"", ""1.0_TSI"", ""2.0_TSI"", ""1.2_TSI"", ""1.5_TSI"", ""1.8_TSI""]",,"Oil leak from the rear of the engine, indicating a failing rear main seal.",,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",enum_augment,1,[],youtube,2,2,2,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}, {""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}]",,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""base"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,organic,,,
washer_fluid_sensor_failure,Washer fluid sensor failure,electrical,[],,"The windshield washer fluid sensor fails, often when using certain types of fluid like orange Rain-X.",Susceptible sensor design and use of incorrect washer fluid.,Replace washer fluid sensor and use correct fluid.,medium,medium,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",9,8,"[""likely"", ""fluid"", ""washer fluid"", ""failed"", ""washer"", ""conditioning"", ""air conditioning"", ""fitted"", ""cause"", ""air""]",youtube,2,2,2,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",[],low,,"[""golf_gti_mk7""]","{""GTI"": 2}",1,GTI,0,True,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,,"[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]",
ac_drain_leak,Air conditioning drain leaks,cooling,[],,The air conditioning drain can leak into the cabin.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,,,,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,organic,,,
ac_solenoid_valve_failure,Air conditioning solenoid valve failure,cooling,"[""2.0_TSI""]",,Poor AC performance with noise from engine bay.,,,,,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",,,,"[""golf_gti_mk7""]","{""GTI"": 1}",1,GTI,0,True,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,list_format,,,
badge_boot_release_failure,Integrated badge boot release fails,body,[],,The integrated Volkswagen badge boot release can completely fail.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,,,,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,organic,,,
blower_motor_failure,HVAC blower motor failure,electrical,[],,Poor heater performance or weak fan speed on all settings.,,,,,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",,,,"[""golf_gti_mk7""]","{""GTI"": 1}",1,GTI,0,True,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,list_format,"[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]",
boot_wiring_loom_leak,Boot lid wiring loom leaks,body,[],,The boot lid wiring loom tube connectors can leak.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",enum_augment,1,[],youtube,1,1,1,,,,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,organic,,,
cam_magnet_failure,Camshaft magnet failure,engine,"[""2.0_TSI""]",,Both cam magnets were not controlling the camshafts properly.,,,,,"[{""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""channel"": ""Calvin's Car Diary"", ""video_type_category"": ""organic"", ""trim"": ""R""}]",enum_augment,1,[],youtube,1,1,1,,,,,"[""golf_r_mk7""]","{""R"": 1}",1,R,0,True,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,organic,,,
clutch_at_power_limit,Clutch at factory power limit,gearbox,"[""2.0_TSI""]",,"Clutch wear or failure, especially with tuning.",,,,,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",,,,"[""golf_gti_mk7""]","{""GTI"": 1}",1,GTI,0,True,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,list_format,,,
