issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,merged_from_issue_ids,affected_engines_original,_scope_notes
diesel_filter_water_sensor_damage_risk,Risk of damaging water pressure sensor wiring,Sensor wiring damage,fuel,sensor_fault,low,medium,"[""1.5_DCI""]",,,Potential electrical fault or sensor failure if the sensor is unscrewed incorrectly during filter replacement.,Improper removal of water-in-fuel sensor during diesel filter service.,Carefully unscrew sensor or replace if damaged.,"[""Water-in-fuel warning light"", ""Erratic sensor readings after filter change""]",Check service history and inspect sensor wiring for damage if issues arise.,1,1,"[{""video_id"": ""ajWEUTqUl6s"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""diesel_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,
dpf_clogging_short_trips,DPF clogging from short trips,DPF clogging,exhaust,chronic_failure,high,high,"[""1.5_DCI""]",,,"Frequent regeneration requests, loss of power, or DPF warning light illumination.",Insufficient exhaust temperatures during short trips preventing regeneration.,Forced regeneration or replacement of DPF.,"[""DPF warning light"", ""Loss of power"", ""Frequent regeneration""]",Check DPF condition and regeneration history via diagnostic scan.,1,1,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,high,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,,
edc_dual_clutch_faults,EDC dual clutch transmission faults,EDC faults,gearbox,intermittent_fault,high,medium,"[""1.2_TCE"", ""1.5_DCI""]",,,"Jerky shifts, hesitation, or failure to engage gears properly.",,,"[""Jerky shifts"", ""Hesitation"", ""Gear engagement issues""]",Test drive for smooth gear changes and check for transmission fault codes.,1,1,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,"Note: raw issue listed 1.6_TCE, but reference shows 1.5_DCI with EDC6. Adjusted to reference engines.",1,"[""auto_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,,
egr_valve_carbon_clogging_failure,EGR valve carbon clogging and internal failure,EGR valve clogging,exhaust,chronic_failure,medium,high,"[""1.5_DCI""]",,,EGR valve becomes very difficult to remove due to being blocked by carbon deposits; internal valve may work incorrectly when clogged.,Carbon deposit buildup,Clean or replace EGR valve,"[""Reduced engine performance"", ""Increased emissions""]",Check for fault codes related to EGR; inspect valve for carbon buildup if accessible.,1,1,"[{""video_id"": ""hHK51MNcEsI"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Two related issues from same video merged into one comprehensive failure description.,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,
engine_noise_vibration,Noisy three-cylinder engine,Engine noise,engine,noise,low,high,"[""0.9_TCE""]",2013,,The engine is really quite noisy most of the time.,Inherent characteristic of the three-cylinder engine.,,"[""Excessive engine noise at idle and under load""]",Listen for engine noise during cold start and acceleration.,1,1,"[{""video_id"": ""K4tUsjiai8Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2013"", ""from_llm_year_parsed"": [""2013""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013""}",2013,,,
engine_performance_issues_0_9_tce,Jerky power delivery and lacks mid-range acceleration,Engine sluggishness,engine,intermittent_fault,medium,medium,"[""0.9_TCE""]",,,Power delivery can be jerky; on motorways it feels sluggish due to lack of mid-range acceleration.,,,"[""Uneven acceleration"", ""Poor highway overtaking ability""]","Test drive at various speeds, focusing on acceleration from low and mid-range RPM.",1,1,"[{""video_id"": ""QycnbLJuV0s"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged two related performance complaints from the same video.,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013""}",2013,,,
evap_solenoid_vacuum_leak,EVAP solenoid fails to hold vacuum,EVAP solenoid leak,fuel,sensor_fault,medium,medium,"[""0.9_TCE""]",,,"Engine runs rich at startup, with mixture slowly correcting over several minutes, potentially leading to an EVAP system trouble code.","EVAP solenoid valve failure, unable to hold vacuum.",Replace EVAP solenoid valve.,"[""Check engine light for EVAP code"", ""Rich running at cold start""]",Perform an EVAP system leak test and check solenoid valve operation.,1,1,"[{""video_id"": ""bPmLI5Wc7AI"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,
fuel_gauge_inaccuracy,Inaccurate fuel level gauge reading,Fuel gauge inaccuracy,fuel,sensor_fault,high,high,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,,"Fuel gauge shows incorrect level, potentially stranding the driver by showing half a tank when empty.",,,"[""Erratic gauge movement"", ""Unexpected low fuel warnings""]",Verify fuel gauge accuracy by comparing to trip computer or manual calculation.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,
fuel_pressure_regulator_failure,Fuel pressure regulator failure,Fuel regulator fault,fuel,sensor_fault,medium,medium,"[""0.9_TCE""]",,,Engine may run poorly or trigger a check engine light due to unstable fuel trim readings.,Fuel pressure regulator malfunction.,Replace fuel pressure regulator.,"[""Check engine light"", ""Poor engine performance"", ""Unstable idle""]",Scan for fuel system trouble codes and check fuel pressure readings.,1,1,"[{""video_id"": ""6Meq4uw0EtU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,
harsh_ride_quality,Harsh ride quality in Eco trim,Harsh ride,suspension,noise,medium,high,[],2013,,"The ride in this Eco version is surprisingly harsh, and you can really feel it in the cabin when you go over a pothole.","Firm suspension tuning, possibly specific to Eco trim.",,"[""Uncomfortable ride over bumps""]",Test drive on varied road surfaces to assess ride comfort.,1,1,"[{""video_id"": ""K4tUsjiai8Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2013"", ""from_llm_year_parsed"": [""2013""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013""}",2013,,"[""0.9_TCE""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
high_rpm_motorway_cruising,High engine RPM at motorway cruising speeds,High cruising RPM,engine,wear_item,low,medium,"[""0.9_TCE""]",,,"The engine sits at a high RPM at 70 mph, contributing to poor fuel economy and the engine working hard.",Gearing characteristics of small engine,None (design characteristic),"[""High engine noise on motorway"", ""Poor fuel economy at speed""]",Note engine RPM during motorway-speed test drive.,1,1,"[{""video_id"": ""Cf7MDFX--NE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Likely a characteristic of the small displacement engine and gearing.,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013""}",2013,,,
high_rpm_poor_motorway_economy,High RPM and poor fuel economy at motorway speeds,High cruising RPM,engine,wear_item,low,medium,"[""0.9_TCE""]",,,"The engine sits at a high RPM at 70 mph, contributing to poor fuel economy and the engine working hard. On a motorway run, the car only achieved around 40-41 mpg.",Gearing characteristics of small engine,None (design characteristic),"[""High engine noise on motorway"", ""Poor fuel economy at speed"", ""Lower than expected MPG on motorways"", ""Frequent refueling""]",Note engine RPM during motorway-speed test drive. Check fuel consumption figures and compare to advertised values.,1,1,"[{""video_id"": ""Cf7MDFX--NE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Linked to high RPM at cruising speed. Likely a characteristic of the small displacement engine and gearing.,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013""}",2013,,,
infotainment_system_faults,"Poor media system, lacks Apple CarPlay",Infotainment faults,electrical,intermittent_fault,low,medium,[],2016,,"Media nav infotainment system is difficult to use, especially for streaming from phones, and lacks Apple CarPlay.",,Aftermarket system upgrade or software update if available,"[""Slow response"", ""Poor phone connectivity""]","Test all infotainment functions, including Bluetooth and USB connectivity.",1,1,"[{""video_id"": ""VASAFqpowrs"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2016"", ""from_llm_year_parsed"": [""2016""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2016""}",2016,,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
oil_consumption_1_2_tce,Excessive oil consumption in 1.2 TCE engine,Oil consumption,engine,chronic_failure,high,medium,"[""1.2_TCE""]",,,"Engine consumes oil, which can lead to catastrophic engine failure.",Piston ring or valve stem seal wear,Engine rebuild or replacement,"[""Frequent need to top up oil"", ""Blue exhaust smoke""]","Check oil level and condition, look for service history of oil top-ups.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2018""], ""from_model_scope_window"": [""2013-2018""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2018"", ""fallback_window_source"": ""engine""}",,,,
oil_filter_access_difficulty,Difficult oil filter access,Oil filter access,engine,wear_item,low,medium,"[""0.9_TCE""]",,,"Oil filter requires access from underneath the engine compartment, making replacement more complex.",Design placement,Use appropriate tools and access from below,[],Check service history to ensure regular oil changes were performed despite access difficulty.,1,1,"[{""video_id"": ""T9NmjeG_g4o"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,
