issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes,merged_from_issue_ids,engine_year_context,model_scope,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
dq200_dsg_jerkiness_failure,DQ200 DSG jerkiness and mechatronics failure,DSG jerkiness,gearbox,chronic_failure,high,medium,"[""1.2_TSI"", ""1.4_TSI""]",,,"DSG transmission is not smooth, exhibits jerkiness, jerky takeoff from stop, hesitation when shifting, rough behavior when cold.",,Gearbox service is required.,"[""Jerky takeoff"", ""Hesitation shifting"", ""Rough when cold""]","Test drive from cold, check for smoothness in low-speed maneuvers.",2,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines""}]",youtube,medium,Merged from 'dsg_jerkiness' and 'dq200_dsg_mechatronics_failure' as same component and symptoms.,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
early_turbo_failure,Turbocharger failure in early cars,Turbo failure,engine,chronic_failure,high,medium,"[""2.0_TSI""]",early 2015,,"Turbocharger fails, a major component failure.",,,"[""Loss of power"", ""Unusual turbo noise"", ""Unusual turbo noises"", ""Smoke from exhaust""]","Check service history for turbo issues, listen for abnormal sounds.",2,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems""}, {""video_id"": ""xiaRO3CEkjs"", ""title"": ""VW Golf MK7 GTI & R Engine Issues 2013-2020""}]",youtube,medium,,"[""early_turbo_failure"", ""turbocharger_failure_early""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""early 2015"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015""}",2015,,
manual_clutch_slip_rev_hang,Manual clutch slip and severe rev hang,Clutch slip,gearbox,wear_item,high,medium,"[""1.4_TSI""]",,,"Clutch slips under low-end torque; severe rev hang hinders smooth shifting, especially 1st to 2nd.",Low-end torque and weak clutch design; dual-mass flywheel design.,Clutch replacement; consider DSG as alternative; replace with single-mass flywheel during clutch job.,"[""Slipping under acceleration"", ""Difficulty shifting smoothly"", ""High RPM without acceleration""]",Test clutch engagement and shifting feel during test drive.,2,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review""}, {""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!""}]",youtube,medium,Combines related clutch and flywheel issues from same source.,"[""clutch_slip_manual"", ""manual_clutch_slip_rev_hang""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
start_stop_button_flaking,Start/stop button metal finish peels,Button flaking,electrical,wear_item,medium,high,[],,,"Metal finish on the start/stop button flakes off, potentially causing minor injury.",,,"[""Flaking chrome on button"", ""Button does not depress smoothly""]",Test ignition button operation multiple times.,2,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems""}, {""video_id"": ""jwJeyUW3WZ4"", ""title"": ""GOLF 7 GTI FULL BUILD | ENGINE REBUILD | FRONT SMASH REPAIR""}]",youtube,medium,Cause and fix not specified in source.,"[""start_stop_button_flaking"", ""sticky_start_stop_button""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.4_TSI"", ""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
subframe_bolt_failure,Front subframe bolt failure,Subframe Bolts,suspension,structural,high,medium,[],,,Clunking sound from the front end not caused by worn dampers or bushings.,,,"[""Front end clunking"", ""Clunking from front end"", ""Poor alignment""]",Listen for clunking over bumps; inspect subframe bolts.,2,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
sunroof_leaks_squeaks_cracks,"Sunroof leaks, squeaks, and roof cracking",Sunroof issues,body,chronic_failure,medium,high,[],,,"Sunroof leaks during heavy rain, squeaks, rattles, and can crack the roof paint.",,"Dealership repair, but problems often recur.","[""Water ingress"", ""Squeaking noises"", ""Rattles"", ""Water stains on headliner"", ""Visible roof cracks""]",Inspect headliner for water marks and roof for cracks; test sunroof operation.,2,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI""}, {""video_id"": ""PwzmaKYijOc"", ""title"": ""Volkswagen MK7 Golf GTI Buyer's Guide - Models, Engines, & Options""}]",youtube,medium,Single source; considered a known weakness.,"[""sunroof_leak_squeak_crack"", ""sunroof_leaks_squeaks_cracks""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
turbocharger_failure_2_0_tsi,Turbocharger failure due to seal or lubrication issues,Turbo failure,engine,chronic_failure,high,high,"[""2.0_TSI""]",2013 to 2017,,Turbocharger failure.,"Weak seal from turbo to manifold on 06K 145 702N turbo unit, or stop/start function causing lack of lubrication and overheating.","Updated turbo unit (ending 722, e.g., 06K 145 722 H) fitted from factory post-revision or as replacement.","[""Turbo failure warning"", ""Loss of power""]",Check turbo unit part number and for signs of oil leaks or failure.,2,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,high,Two distinct causes reported: seal failure (2015-2017) and lubrication failure (2013-2014).,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""2013 to 2017"", ""from_llm_year_parsed"": [""2013-2017""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2017""}",2013-2017,,
upper_timing_chain_cover_oil_leak,Oil leak from upper timing chain cover,Timing cover leak,engine,fluid_leak,low,medium,"[""1.8_TSI"", ""2.0_TSI""]",,,Oil leak from the engine's timing chain area.,,,"[""Oil seepage around timing cover"", ""Oil smell when hot"", ""Oil seepage on top of engine"", ""Burning oil smell""]",Inspect top of engine for oil residue around timing cover.,2,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020""}, {""video_id"": ""xiaRO3CEkjs"", ""title"": ""VW Golf MK7 GTI & R Engine Issues 2013-2020""}]",youtube,low,,"[""timing_cover_oil_leak"", ""upper_timing_chain_cover_oil_leak""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
vacuum_leaks_pcv_hoses,Vacuum leaks from PCV or hoses,Vacuum leaks,engine,intermittent_fault,medium,high,"[""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,Engine running issues due to vacuum leaks.,Cracked plastic/rubber vacuum hoses or faulty PCV valve.,Replace hoses or PCV valve.,"[""Rough idle"", ""Check engine light for lean codes"", ""Hissing sounds"", ""Check engine light"", ""Poor performance""]",Inspect vacuum hoses and PCV valve for cracks; perform smoke test.,2,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020""}, {""video_id"": ""xiaRO3CEkjs"", ""title"": ""VW Golf MK7 GTI & R Engine Issues 2013-2020""}]",youtube,medium,,"[""vacuum_leak_hoses_pcv"", ""vacuum_leaks_pcv_hoses""]","[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4}]","[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2014-2017""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2014-2017""}",2014-2017,,
air_conditioning_gremlins,Air conditioning system gremlins,AC issues,cooling,intermittent_fault,medium,medium,"[""all""]",,,Air conditioning does not blow cold air.,Refrigerant leaks or compressor issues.,,"[""AC not blowing cold""]",Test AC for cold air output.,1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,,
