issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,merged_from_issue_ids,model_scope,affected_engines_original,_scope_notes,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated
body_panel_misalignment,Front bumper misalignment at delivery,Bumper misalignment,body,structural,low,medium,[],,,There was a relatively large gap between the headlight and the bumper on the passenger side.,,,[],Check panel gaps around front bumper and headlights.,1,1,"[{""video_id"": ""2cfJPerhPss"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk8""]","[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2025""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2025""}",2025
bonnet_release_cable_failure,Broken bonnet release cable,Bonnet cable break,body,structural,high,medium,[],,,Inability to open the bonnet due to a broken release cable.,Cable failure,Replace bonnet release cable,"[""Stiff bonnet release"", ""Cable slack""]",Test bonnet release operation for smoothness.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk8""]","[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
brake_melting,Brake melting under track use,Brake overheating,brakes,wear_item,high,high,[],,,"Brakes melted, causing the car to be off the road for a couple of weeks.",Extreme track use,Upgraded brake components,"[""Severe brake fade"", ""Burning smell"", ""Brake pedal sponginess""]","Inspect brake pads, discs, and fluid condition if car has seen track use.",1,1,"[{""video_id"": ""B573CeuGMhM"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Primarily a concern for vehicles used on track.,1,,"[""all_vw_golf_mk8""]","[""2.0_TSI""]","[""system_component=brakes is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2020-2025"", ""fallback_window_source"": ""engine""}",
carbon_buildup_1_0_tsi,Carbon buildup on 1.0 TSI engine,Carbon buildup,engine,wear_item,medium,high,"[""1.0_TSI""]",,,Engine performance issues due to carbon buildup from direct injection.,Carbon buildup from direct injection,Intake valve cleaning,"[""Rough idle"", ""Reduced power"", ""Poor fuel economy""]",Consider a borescope inspection of the intake valves if mileage is high.,1,1,"[{""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk8""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2020-2025"", ""fallback_window_source"": ""engine""}",
clutch_at_power_limit,Clutch wear at factory power limit,Clutch wear,gearbox,wear_item,medium,medium,"[""2.0_TSI""]",,,"Clutch wear is accelerated, especially with tuning, and may require an uprated unit.",Clutch at factory power limit,Uprated clutch kit,"[""Clutch slip"", ""Burning smell""]",Test for clutch slip under hard acceleration.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Accelerated by tuning.,1,,"[""all_vw_golf_mk8""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
cooling_system_thermostat_housing_leak,Thermostat housing coolant leak,Coolant Leak,cooling,fluid_leak,medium,high,"[""2.0_TSI""]",,,Coolant smell or loss.,Deterioration of the plastic thermostat housing.,Replace thermostat housing assembly.,"[""Coolant smell"", ""Low coolant level"", ""Overheating""]",Check thermostat housing and coolant hoses for leaks or seepage.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk8""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
dcc_adaptive_suspension_failure,Expensive DCC adaptive suspension failure,DCC failure,suspension,chronic_failure,high,high,[],,,Very expensive repair costs when the adaptive suspension system goes wrong.,,,"[""Erratic damping"", ""Suspension warning light""]",Check for fault codes and test all suspension modes if equipped.,1,1,"[{""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Only affects vehicles with optional DCC.,1,,"[""all_vw_golf_mk8""]","[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2020-2025"", ""fallback_window_source"": ""engine""}",
diesel_dpf_regeneration_issues,DPF regeneration failure on short trips,DPF clogging,exhaust,chronic_failure,high,high,"[""2.0_TDI""]",,,"Diesel particulate filter cannot complete regenerations due to short, stop-start journeys.",Short trips preventing active regeneration,Forced regeneration or DPF replacement,"[""DPF warning light"", ""Loss of power"", ""Increased fuel consumption""]",Check for DPF-related fault codes and soot/ash load levels via scan tool.,1,1,"[{""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""diesel_only""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2020-2025"", ""fallback_window_source"": ""engine""}",
early_suspension_knocks,Suspension knocks and groans,Suspension noise,suspension,noise,medium,high,[],2021 and 2022,,"Noises, knocks, or groans from the front suspension, especially as mileage increases.",,,"[""Knocking sounds from front"", ""Groaning over bumps""]",Listen for suspension noises during a test drive over varied surfaces.,1,1,"[{""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk8""]","[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2021 and 2022"", ""from_llm_year_parsed"": [""2021-2022""], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""llm_phrase_only"", ""confidence"": ""medium"", ""triangulated"": ""2021-2022""}",2021-2022
electrical_system_intermittent_faults,Electrical system intermittent faults,Electrical faults,electrical,intermittent_fault,medium,medium,[],,,"Infotainment system malfunction, travel assist errors, and steering wheel issues reported.",,,"[""Travel assist warning message"", ""System deactivation"", ""Infotainment screen flashing""]",Check for any driver assistance or infotainment system fault codes.,1,1,"[{""video_id"": ""2cfJPerhPss"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,"Merged travel assist errors, steering wheel replacement, and infotainment malfunction as related electrical/intermittent issues from same source.",1,,"[""all_vw_golf_mk8""]","[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2025""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2025""}",2025
evap_fuel_tank_pump_recall,EVAP system fuel tank pump recall,EVAP Recall,fuel,sensor_fault,medium,high,"[""2.0_TSI""]",2015 and 2016,,Clogged charcoal canister or EVAP system faults.,Faulty fuel tank pump/EVAP component.,Repair under recall 20Y6.,"[""EVAP fault codes"", ""Check engine light"", ""Fuel smell""]",Check vehicle history for recall 20Y6 completion.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,high,Official recall exists for specific model years.,1,,"[""all_vw_golf_mk8""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2015 and 2016"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
excessive_road_noise,Excessive road noise at motorway speeds,Road noise,body,noise,low,medium,[],,,"The driver notices a surprising amount of road noise at motorway speeds, detracting from the car's refinement.",,,"[""Loud tire roar on highways""]",Conduct a test drive at sustained motorway speeds to evaluate cabin noise levels.,1,1,"[{""video_id"": ""nFsGTPz5800"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Expanded affected engines based on body/common platform assumption.,1,,"[""all_vw_golf_mk8""]","[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2020-2025"", ""fallback_window_source"": ""engine""}",
