topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_km,onset_mileage_range,affected_engines,affected_years,engine_family_codes,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
11,Windshield wiper motor failure and water drainage blockage,Wiper motor failure,electrical,chronic_failure,medium,medium,10000.0,5k-54k km,"[""all""]",all,[],[],No strong evidence for engine-specific vulnerability; issue appears across all engine types.,6.5,0.286,"Recurrent failure of windshield wiper motors, often due to water drainage blockage in the wiper bay causing motor burnout. Users report issues with wipers stopping, grinding noises, and water leakage into the cabin or engine bay.","[""Wipers stop working or operate intermittently with jerky motion"", ""Water accumulation in the wiper bay or visible leakage near the windshield""]",Check and clear the drainage channels under the wiper arms to prevent water buildup that can flood and short the wiper motor.,medium,285,"High proportion of unknown engine data (93%) limits engine-specific conclusions. FREX terms strongly indicate wiper ('silecek') and drainage ('tahliye', 'tikanmis') issues, with mentions of WD-40 for lubrication and motor replacement. Covariate effects show minimal variation across engine groups, supporting a platform-wide issue."
12,"Headlight and auxiliary lighting bulb replacement, upgrades, and DIY installation discussions",Lighting bulb upgrades,lighting,other,low,high,,,"[""all""]",all,[],"[{""code"": ""H7"", ""name"": ""Headlight bulb"", ""notes"": ""Mentioned as standard type""}, {""code"": ""W5W"", ""name"": ""Parking light bulb"", ""notes"": ""Mentioned in specifications""}]",No specific engine-related failure pattern; topic is about general lighting components.,8.7,0.113,"This topic centers on user discussions about replacing and upgrading various vehicle lighting bulbs, including headlights (H1/H7), parking lights (W5W), and auxiliary interior lights. Members share experiences with aftermarket brands like Osram, Philips, and LED options from sources like AliExpress, along with DIY installation tips.","[""Dim or inadequate headlight output"", ""Burnt-out parking or interior lights""]",Check bulb types and condition; ensure any aftermarket LED or high-wattage upgrades are compatible with vehicle wiring and plastic lens housings to avoid damage.,high,358,"Topic reflects general maintenance/upgrade discussions, not a mechanical failure. High 'unknown' engine percentage (93%) supports broad applicability. Chronic signal is low, indicating recurring discussion topic rather than unresolved chronic failures."
13,"Intermittent engine warning light and limp mode, often with airbag/ESC warnings",Warning Light Limp Mode,electrical,intermittent_fault,medium,medium,42899.0,3800-96000 km,"[""all""]",all,[],[],"Evidence spans all major engine groups (DCI, TCE, NA) but is dominated by threads with unknown engine specification.",6.2,0.611,"A common complaint involves the engine warning light illuminating intermittently, sometimes accompanied by airbag or ESC warnings, and triggering a limp mode that limits engine performance. The issue is reported across multiple engine types and model years, with diagnostics often pointing to various sensor faults or fuel quality concerns.","[""Engine warning light (ariza lambasi) illuminating"", ""Vehicle entering limp mode (rev limit, power loss)"", ""Concurrent airbag or ESC warning lights""]",Use an OBD2 scanner to read fault codes; common triggers include emissions errors (P0299) or sensor faults. Check for recent fuel quality and inspect electrical connections.,medium,282,"High proportion of 'unknown' engine data limits precise engine targeting. The chronic signal suggests recurring, unresolved complaints. FREX terms indicate a mix of engine and supplemental restraint system (SRS/airbag) warnings, which may be a correlated electrical fault or a distinct but co-occurring issue."
14,"Vehicle appearance, modifications, and general ownership discussions",Appearance & Modifications,other,other,low,high,,,"[""all""]",all,[],[],,9.8,0.079,"This topic captures general discussions about vehicle appearance, cosmetic modifications, and ownership experiences, not a mechanical issue. Terms like 'spoiler', 'lip', 'kaplama' (coating), 'rs', and well-wishes like 'masallah' and 'kazasiz' (accident-free) dominate.","[""Discussions about cosmetic parts (spoiler, lip, diffuser)"", ""Posts featuring well-wishes or ownership pride (masallah, belasiz, ugurlu)""]",No mechanical inspection is relevant for this non-issue topic.,high,479,"This is a non-technical, general discussion topic. The high prevalence and thread count reflect common forum activity about showing off cars, modifications, and general ownership. The engine breakdown is dominated by 'unknown' because engine type is irrelevant to these discussions. The chronic signal is very low, confirming it's not a recurring problem."
15,Cooling system overheating and component failures,Cooling Overheating,cooling,chronic_failure,high,medium,14500.0,5000-40400 km,"[""all""]",all,[],[],"Evidence spans multiple engine groups (1.5 DCI, 0.9 TCE, 1.2 TCE, 1.6 NA, 1.4 NA) and generations, but most threads have unknown engine specification.",5.0,0.363,"Recurring complaints about engine overheating, often linked to cooling system component failures like thermostats, radiator caps, hoses, and fans. Issues manifest during stop-and-go traffic and after recent repairs, suggesting persistent or unresolved faults.","[""Temperature gauge rising in traffic"", ""Cooling fan running continuously or not activating properly"", ""Swollen or leaking coolant hoses""]","Check thermostat, radiator cap, coolant level, and cooling fan operation. Inspect for hose swelling, leaks, and proper system bleeding after repairs.",medium,228,"High proportion (78.5%) of threads have unknown engine group, limiting precise engine targeting. Covariate effects show near-uniform significance across all engine groups, suggesting a broad cooling system issue not confined to a specific powertrain. Chronic signal (0.363) and representative snippets support repeated, unresolved complaints."
16,"High fuel consumption and performance concerns, often during break-in period",High Fuel Consumption,engine,other,low,medium,5000.0,1480-26800 km,"[""all""]",all,[],[],"Discussions center on fuel efficiency (tuketim) and acceleration (hizlanma) across multiple engine types, with no specific mechanical fault identified.",3.7,0.427,"This topic captures widespread owner discussions and concerns about real-world fuel consumption figures, often comparing them to factory claims, with many threads focused on the initial break-in (rodaj) period. Complaints are not tied to a specific mechanical failure but represent a persistent theme of dissatisfaction or inquiry regarding fuel economy and driving habits.","[""Fuel consumption higher than factory specifications"", ""Concerns about driving style or break-in period affecting efficiency""]",Verify driving conditions and habits; compare consumption with similar vehicles under identical conditions before suspecting a fault.,medium,156,"Topic is defined by general discussion terms (tuketim, ortalamam, eco, hizlanma, rodaj) rather than diagnostic fault codes or part failures. High 'unknown' engine percentage and broad covariate effects suggest a cross-engine concern, likely behavioral or expectation-based. Chronic signal is moderate but reflects ongoing discussion, not unresolved mechanical issues."
17,Timing belt (triger kayışı) failure and high-cost replacement concerns,Timing belt failure,engine,wear_item,high,high,60000.0,7000-97600 km,"[""all""]",all,[],"[{""code"": null, ""name"": ""triger kayışı"", ""notes"": ""Timing belt, primary term in FREX""}]","Evidence spans multiple engine groups (1.5 DCI, TCE variants, NA petrol), but 'unknown' engine dominates thread data.",4.0,0.23,"A significant topic concerning timing belt (triger kayışı) failures and expensive replacement costs, often cited around 60,000 km. Complaints include engine seizure and unexpectedly high service bills, with discussions on replacement intervals and part costs.","[""Engine suddenly stopping or seizing"", ""High service quote for timing belt replacement around 60,000 km""]","Check timing belt condition and replacement history, especially near 60,000 km, and obtain multiple quotes as costs vary significantly between authorized and independent services.",medium,172,"High proportion of 'unknown' engine data (74.4%) limits precise engine targeting, but FREX terms, snippets, and significant covariate effects across multiple engine groups indicate a broad timing belt wear issue. Chronic signal is present but moderate (0.23)."
18,"LPG conversion discussions, compatibility, and performance concerns",LPG Conversion,other,other,low,high,,,"[""all""]",all,[],[],"Discussions span multiple engine types, with specific mentions of 1.2, 1.4, 1.6, and turbocharged variants.",4.0,0.218,"This topic centers on forum discussions about LPG (liquefied petroleum gas) conversions for Renault Clio vehicles. Users seek advice on compatibility, brand recommendations, installation experiences, and the pros/cons of converting various petrol engines.","[""Owner considering LPG conversion"", ""Questions about specific LPG kit brands and compatibility""]","If considering an LPG conversion, research specific kit compatibility for your engine and seek professional installation to avoid potential performance or reliability issues.",medium,162,"This is a discussion topic, not a mechanical failure. The high 'unknown' engine percentage and broad engine mentions suggest general inquiry. Covariate effects are uniformly high across all engine groups, indicating the topic is not specific to a single engine type. Chronic signal is low, reflecting ongoing discussion, not unresolved complaints."
19,"Steering column noise and clicking sounds, often described as ticking or creaking",Steering Noise,suspension,noise,low,medium,16500.0,2260-41999 km,"[""all""]",all,[],[],Evidence is not specific to any engine; noise complaints appear across engine groups.,4.0,0.543,"A common complaint of ticking, clicking, or creaking noises from the steering column, particularly when turning or on rough surfaces. The issue appears early in vehicle life and is reported across multiple Clio generations.","[""Ticking or clicking sound from steering column when turning"", ""Creaking or plastic-on-plastic noise during steering input""]","Check steering column bushings, couplings, and trim for wear or improper fitment. Noise may be more noticeable during first start-up or on cobblestone/parke surfaces.",medium,178,"High proportion of 'unknown' engine data limits precise engine targeting. Covariate effects show no strong engine-specific signal. The 'chronic' signal is moderate but snippets suggest recurring, unresolved complaints. Topic may mix multiple noise sources (steering, dashboard, trim)."
20,"Motor oil and coolant type selection, quality, and maintenance interval discussions",Fluid Selection,engine,other,low,high,,,"[""all""]",all,[],[],"Discussions span all engine groups, with significant representation from 1.5 DCI and 0.9 TCE, but topic is general maintenance.",2.4,0.451,"This topic centers on user inquiries and discussions about selecting the correct motor oil viscosity (e.g., 5W40 vs 5W30 vs 10W40) and brand (e.g., Motul, Elf, Castrol), as well as coolant (antifriz) for routine maintenance. It represents general owner uncertainty and advice-seeking regarding fluid specifications and service intervals, not a mechanical failure.","[""Owner confusion over correct oil viscosity grade"", ""Seeking recommendations for oil and coolant brands""]",Consult the vehicle's owner manual for the manufacturer's specified fluid types and viscosities. Use oils meeting the required ACEA/API specifications.,high,117,"Topic is defined by maintenance discussion, not a fault. The chronic signal reflects recurring, unresolved questions about fluid choice. Covariate effects are uniformly positive and significant across all engine groups, confirming the topic's broad, non-specific nature. The '1.6_NA' and '1.3_TCE' covariates in the effects list are not present in the provided engine breakdown data."
