topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_generations,known_part_codes,generation_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
11,DSG gearbox mode selection and driving experience dissatisfaction,DSG Mode Dissatisfaction,gearbox,other,low,medium,,,"[""MK6"", ""Golf_R""]",[],"Topic is statistically more prevalent in MK6 and Golf_R models, but appears to be a subjective driving experience issue rather than a mechanical fault.",4.0,1.349,"Forum users frequently discuss dissatisfaction with the DSG gearbox's automatic mode selection in Normal and Sport driving modes, feeling the transmission is rarely in the desired gear. The topic centers on driving experience preferences, gear selection logic, and comparisons between manual and DSG transmissions, rather than reporting mechanical failures.","[""DSG rarely selects the desired gear in automatic modes"", ""Dissatisfaction with gap between Normal and Sport mode behavior""]","Test drive the car in various DSG modes (Normal, Sport, Manual) to assess if the gear selection logic matches your driving preferences.",medium,106,This topic represents subjective driving experience discussions rather than mechanical failures. High 'unknown' engine group percentage (49.1%) and low median mileage (5000 miles) suggest many threads are from new owners or general discussion. The negative coefficient for 'technical_bucket_medium' indicates this topic is less common in more technical/problem-focused threads.
12,Auto Hold and Electronic Parking Brake Engagement/Disengagement Issues,Auto Hold Faults,brakes,intermittent_fault,medium,medium,17000.0,1880-39000 miles,"[""MK7"", ""MK7.5"", ""Golf_R""]",[],"Strongest signal in MK7/MK7.5 and Golf R models; appears less prevalent in MK5, MK6, and MK8.",2.8,1.395,"Users report inconsistent or unexpected behavior with the Auto Hold and electronic parking brake systems, including delays in disengagement when pulling away, unintended activation or release, and conflicts with the Start-Stop system. Issues manifest as the car rolling unexpectedly, brakes failing to release on hill starts, or system aggression causing jerky pull-aways.","[""Electronic parking brake disengages or engages unexpectedly when starting the car or fastening seatbelt"", ""Auto Hold causes a delay or jerk when pulling away from a standstill"", ""Hill Hold Assist fails to release brakes, requiring clutch re-engagement""]","Test Auto Hold and electronic parking brake function on a slight incline, noting any delay, jerkiness, or unexpected behavior during engagement and disengagement cycles.",medium,76,"High proportion (55.3%) of threads have unknown engine group, limiting precise engine/transmission correlation. Issue appears strongly linked to electronic systems in newer generations rather than a specific mechanical part failure."
13,"Keyless entry system faults, battery drain, and security concerns",Keyless entry issues,electrical,intermittent_fault,medium,high,,,"[""MK7"", ""MK7.5"", ""MK8"", ""Golf_R""]",[],"Concerns appear across MK7, MK7.5, MK8, and Golf R models, with higher prevalence in MK8 and Golf R based on regression coefficients.",2.7,1.694,"This topic centers on problems with keyless entry systems, including key fob battery drain, intermittent unlocking failures, and significant security concerns about relay theft. Users discuss disabling keyless entry via OBDeleven to prevent theft and report issues with the system turning off the radio when doors are opened with the engine running.","[""Key fob batteries draining quickly"", ""Intermittent failure to unlock doors with keyless system"", ""Radio turning off when opening door with engine running""]","Test keyless entry function from all doors, check for any fault codes related to central electronics, and inspect the physical key blade access point for wear.",high,72,"Mileage distribution is very low (median 15k miles), suggesting issues appear early in vehicle life. High 'unknown' engine group percentage (62.5%) limits precise engine-specific analysis, but regression shows strong association with MK8 and Golf R models."
14,"Infotainment system issues with media playback, Bluetooth connectivity, and navigation faults",Infotainment Media Faults,electrical,intermittent_fault,low,medium,,,"[""MK7"", ""MK7.5"", ""MK8""]",[],"Issues appear across MK7, MK7.5, and MK8 generations, with a stronger positive signal for MK8 and MK7.5 in the regression analysis.",2.8,1.527,"This topic centers on problems with the car's infotainment and media systems, including Bluetooth connectivity for phone contacts and audio, issues with SD card media playback and file organization, and navigation system lock-ups or faults. The discussions are technical in nature, often involving coding attempts, file management, and troubleshooting of intermittent software or hardware glitches.","[""Bluetooth fails to display contact photos or sync properly"", ""Infotainment screen or navigation system locks up or freezes"", ""SD card music files not reading or folders not displaying correctly""]","When buying, test all infotainment functions thoroughly: check Bluetooth phone pairing and contact sync, test multiple SD cards with music files, and ensure the navigation system boots and operates without freezing.",medium,74,"A high proportion (63.5%) of threads have an unknown engine group, suggesting the issue is not engine-specific but related to the infotainment hardware/software common across models. The low median mileage (5000 miles) indicates these are often early ownership issues, not wear-related."
15,Advanced Driver Assistance System (ADAS) faults and false activations,ADAS faults,electrical,intermittent_fault,medium,medium,,,"[""MK7"", ""MK7.5""]",[],"The issue is most strongly associated with MK7.5 models, with MK7 also showing a positive correlation.",2.8,1.342,"This topic covers recurring complaints about intermittent faults and false activations of Advanced Driver Assistance Systems (ADAS), including Adaptive Cruise Control (ACC), Front Assist, and Lane Assist. Users report systems becoming unavailable, providing false collision warnings, or applying emergency braking unexpectedly, often with diagnostic logs pointing to sensor obstruction or software glitches.","[""Intermittent 'ACC unavailable' or 'Front Assist unavailable' warnings"", ""Unexpected emergency braking or collision warnings without apparent cause""]","When buying, check the vehicle's fault memory for ADAS-related error codes and test all driver assistance functions on a varied road to ensure they activate and deactivate smoothly without false warnings.",medium,76,"A high proportion (67.1%) of threads have an unknown engine group, limiting precise engine-variant analysis. The low median mileage (5500 miles) suggests issues can appear early, potentially related to software or sensor calibration rather than wear."
16,"Headlight and lighting system configuration, coding, and bulb replacement issues",Lighting Configuration,lighting,other,low,high,,,"[""MK6"", ""MK7"", ""MK7.5""]","[{""code"": ""5Q0"", ""name"": ""VW headlight/lighting control module part number prefix"", ""notes"": ""Commonly referenced in coding discussions for Golf MK7/MK7.5 LED/Xenon systems""}]","Strongest signal from MK7.5 and MK6 generations, with MK7 showing a negative coefficient, suggesting the issue is less prevalent or differently manifested in base MK7.",2.4,1.046,"This topic centers on user queries and discussions about configuring, coding, and replacing advanced lighting components like LED, Xenon, and dynamic cornering headlights. The data indicates it is a recurring knowledge gap or customization activity, not a chronic mechanical failure, with threads often focused on activating features via VCDS/OBD11, troubleshooting fault codes, or understanding lighting behavior.","[""Fault codes related to cornering or stationary lights"", ""Unexpected lighting behavior (e.g., DRLs not working as desired, coming/home lights turning off prematurely)"", ""Need to code after bulb or component replacement""]","When buying, test all lighting functions (auto high-beam, cornering lights, DRLs, fog lights) and check for fault codes in the central electronics module related to headlights.",high,65,"This is an 'issue' of customization and configuration knowledge, not a reliability fault. The positive coefficient for 'technical_bucket_medium' suggests these threads involve moderate technical depth. The mileage distribution is low (median 26k miles), aligning with early ownership customization rather than age-related failure."
17,"Wheel and tire upgrades affecting ride quality, performance, and weight",Wheel upgrades,suspension,other,low,high,,,"[""MK7"", ""MK7.5""]",[],"Strongly associated with MK7 and MK7.5 generations, with users discussing wheel swaps on GTI PP, Clubsport S, and R models.",2.5,1.309,"This topic centers on enthusiast discussions about aftermarket wheel and tire upgrades, specifically focusing on wheel weights (e.g., Pretoria, Cadiz, Brescia), sizes (18"" vs 19""), and the use of spacers. Users report noticeable changes in ride firmness, perceived performance, and engine noise after swapping from factory specifications, indicating a recurring community interest in wheel modification trade-offs.","[""Firmer, bumpier ride after upgrading to larger diameter wheels"", ""Perceived loss of acceleration or change in engine noise after wheel swap""]","When buying, check if aftermarket wheels are fitted and inquire about any changes to ride quality or handling the owner has noticed since installation.",high,68,This is not a mechanical failure topic but a recurring discussion theme about modifications. The low median mileage (3500 miles) suggests these discussions often occur soon after purchase or modification.
18,"Exterior trim, glass, and wiper system issues including water ingress and component failure",Trim/Wiper Issues,other,intermittent_fault,low,medium,,,"[""MK5"", ""MK6"", ""MK7"", ""MK7.5""]",[],Heat shield/sound insulation sagging/shrinkage specifically mentioned for MK7/7.5 models.,2.4,1.477,"This topic clusters discussions around various exterior trim, glass, and wiper system faults. Common complaints include poor-performing automatic wipers, sagging or shrinking under-bonnet heat shields/sound insulation, missing trim pieces, and water ingress around the windscreen leading to damp headliners.","[""Automatic wipers operating erratically"", ""Creaking noises from under the bonnet over rough ground"", ""Damp headlining or water droplets inside after heavy rain"", ""Missing or ill-fitting exterior plastic trim covers""]","Check for water stains on the headliner near the windscreen, inspect the fit and condition of the under-bonnet insulation/heat shield, and test the automatic wiper function in light rain.",medium,65,"High proportion (50.8%) of threads have unknown engine group, limiting powertrain-specific analysis. The topic is broad, covering multiple distinct but loosely related exterior/trim issues rather than a single, specific mechanical failure."
19,"Poor performance and dissatisfaction with factory-fitted Bridgestone tyres, particularly in wet conditions",Bridgestone tyre complaints,other,other,low,high,,,"[""MK5"", ""MK6"", ""MK7"", ""MK7.5"", ""MK8"", ""Golf_R""]",[],Strongly associated with MQB platform cars (MK7 onwards) where Bridgestones were commonly factory-fitted in the UK market.,2.2,1.65,"A recurring topic of discussion is widespread owner dissatisfaction with factory-fitted Bridgestone tyres, especially the S001 model, which are criticized for poor wet grip, excessive road noise, and wheel spin. Users frequently recommend switching to alternatives like Michelin Pilot Sport 4 or Goodyear for significantly better performance.","[""Excessive wheel spin, especially in 1st/2nd gear under acceleration"", ""Poor traction and flashing traction control light in wet conditions"", ""High road noise compared to other tyre brands""]","Check the tyre brand and model on a used Golf; factory Bridgestones (often S001) are a common owner complaint and may indicate the car still has its original, disliked tyres.",high,60,"This is not a mechanical failure but a persistent quality/complaint topic. The negative mileage_log coefficient suggests discussion is more common at lower mileages, likely when cars are newer and still on factory tyres."
20,"Fuel economy and consumption concerns, including octane discussions and real-world MPG expectations",Fuel economy concerns,engine,other,low,high,,,"[""MK7"", ""MK7.5"", ""MK6"", ""Golf_R""]",[],"Discussions are prevalent across MK7/MK7.5 generations, with a positive coefficient for MK7.5 and Golf_R groups indicating these owners are more likely to discuss fuel economy.",3.4,1.505,"This topic captures recurring discussions about real-world fuel consumption, with users comparing their MPG figures (often reporting 26-33 MPG) against advertised or optimistic claims (like 40+ MPG). The dialogue centers on expectations, fuel type (95 octane/RON), and driving modes, rather than reporting a mechanical fault.","[""Consistently low MPG (e.g., under 30) compared to advertised figures"", ""High sensitivity of fuel economy to driving mode (e.g., Sport vs. Individual/Normal)""]","When buying, review the car's long-term trip computer MPG average and discuss the owner's typical driving conditions (urban vs. highway) to set realistic expectations.",high,91,This is not a failure topic but a persistent discussion about performance expectations. The low median mileage (9k miles) suggests these are often new or nearly-new car owners. The negative coefficient for 'technical_bucket_medium' indicates the topic is less technical and more about ownership experience.
21,New vehicle delivery tracking and early post-delivery issues,Delivery tracking,other,other,low,high,,,[],[],,2.0,1.943,"This topic centers on forum discussions tracking new vehicle orders, including build weeks (BW), shipping from Emden port, and transit progress. The chronic signal indicates recurring discussions about delivery timelines and early post-delivery quality issues, such as minor faults discovered shortly after collection.","[""Frequent dealer visits for software updates shortly after delivery"", ""Minor cosmetic or electrical issues noted within first weeks of ownership""]","For new purchases, verify build week and shipping details with the dealer, and conduct a thorough inspection for cosmetic damage and system functionality upon collection.",medium,53,"This is not a mechanical failure topic but rather a logistical/experiential discussion topic. The low median mileage (10,000 miles) and prevalence among unknown engine groups align with new vehicle delivery threads. The technical_bucket_medium coefficient suggests these discussions contain some technical elements, likely related to early fault diagnosis."
22,"DSG gear selection issues with grinding, clunking, and reverse gear problems",DSG gear selection,gearbox,chronic_failure,medium,medium,5000.0,1200-30000 miles,"[""MK7"", ""MK7.5""]","[{""code"": ""0AM325065"", ""name"": ""DQ200 mechatronic unit"", ""notes"": ""Primary failure point for 7-speed dry DSG; symptoms include gear selection issues, judder, and clutch engagement problems.""}, {""code"": ""02E305051C"", ""name"": ""DQ250 mechatronic unit"", ""notes"": ""Potential failure point for 6-speed wet DSG; can cause similar gear selection and engagement symptoms.""}]","Issue appears most prevalent in MK7/MK7.5 generations, with positive regression coefficients for both, though data includes unknown engine group (54%).",1.9,1.06,"Users report intermittent problems selecting reverse gear, grinding noises in 2nd gear at low speeds, and clunking when coming off the throttle. The issue affects DSG gearboxes, with symptoms suggesting mechatronic unit faults or clutch pack wear, particularly in stop-start traffic conditions.","[""Difficulty selecting reverse gear, especially when first engaging"", ""Grinding noise in 2nd gear at low speeds (5-10 mph)"", ""Clunking sound when coming off the throttle in 2nd gear"", ""Delay or hesitation when shifting between forward and reverse""]","When test driving, pay close attention to low-speed gear changes in 2nd gear and reverse gear engagement, listening for grinding or clunking noises, and note any delays or hesitations in gear selection.",medium,50,"High proportion (54%) of threads have unknown engine group, limiting precise engine/gearbox mapping. Topic terms suggest both DQ200 (dry) and DQ250 (wet) DSG boxes may be affected, but specific fault differentiation is unclear from snippets."
23,"Discussion of hybrid/electric models (GTE), emissions, and production specifications",GTE & Emissions,other,other,low,high,,,"[""MK7"", ""MK7.5"", ""MK8""]",[],"Topic is strongly associated with MK8 and 2.0 TSI engine groups, but is a general discussion topic rather than a specific fault.",2.2,1.525,"This topic captures general forum discussion about hybrid/electric Golf models (GTE), vehicle specifications, emissions (CO2), and production news. It is not related to a specific mechanical fault or failure pattern, but represents recurring conversations about model comparisons, tax implications, and performance figures.",[],Not applicable as this is not a fault-related topic.,high,59,"This is a thematic discussion topic, not a failure mode. The low median mileage (9k miles) and positive coefficients for MK8 and 2.0_TSI groups suggest it relates to new model discussions, specifications, and purchasing decisions rather than reliability issues."
24,"Manual clutch slip, judder, and slave cylinder failure in Golf GTI/R",Clutch slip/failure,gearbox,wear_item,medium,high,23500.0,7000-48000 miles,"[""MK6"", ""MK7"", ""MK7.5""]",[],"MK6 shows the strongest positive association with this issue in the regression data, though MK7/MK7.5 dominate the thread count.",1.5,1.075,"This topic centers on premature wear and failure of the manual clutch system, including clutch slip, judder, and slave cylinder leaks. Issues are reported at relatively low mileages (median 23.5k miles), often in association with performance modifications or as a recurring complaint about the stock clutch's durability.","[""Clutch slip under load (revs rise without acceleration)"", ""Judder or vibration during clutch engagement, especially when cold"", ""Clutch pedal sticking to the floor or feeling spongy"", ""Low clutch fluid level indicating a potential slave cylinder leak""]","When buying, test for clutch slip by applying full throttle in a high gear (e.g., 5th or 6th) at low RPM; check for judder during initial engagement from a stop, and inspect the clutch fluid reservoir level and for leaks around the gearbox/engine interface.",medium,40,"Engine group is unknown for 50% of threads, limiting precise engine-specific analysis. The issue is negatively associated with Golf R models, suggesting the problem may be more specific to GTI variants or that R models use a different clutch specification."
25,"Engine oil level checking, top-up procedures, and minor sump leaks",Oil Level/Leaks,engine,fluid_leak,low,medium,,,"[""MK5"", ""MK6"", ""MK7"", ""MK7.5"", ""MK8""]",[],"MK5 shows the strongest positive association with this topic, suggesting more frequent oil level concerns or leaks in that generation.",1.5,0.805,"This topic centers on routine engine oil maintenance, including checking levels, identifying minor sump or oil pan leaks, and selecting the correct oil specification (e.g., Castrol Edge 5W-30 meeting VW 507.00). The high chronic signal indicates recurring questions and minor concerns rather than a widespread catastrophic failure.","[""Oil level dropping into 'top-up' range between services"", ""Visible wetness or misting of oil on the sump/oil pan""]","Check the engine oil level via dipstick when cold and inspect the sump, oil pan bolts, and level sensor area for any signs of weeping or fresh oil residue.",medium,41,"Over half of the threads have an unknown engine group, limiting precise engine-family analysis. The topic mixes routine maintenance questions with minor leak concerns, rather than indicating a specific part failure."
26,"Wheel alignment, tyre wear, and steering geometry issues following impacts or kerbing",Wheel Alignment Issues,suspension,wear_item,medium,high,,,"[""MK5"", ""MK6"", ""Golf_R""]",[],"MK5 and MK6 generations show significantly higher prevalence of this topic, suggesting potential model-specific suspension sensitivity or reporting bias.",1.6,1.25,"This topic centers on wheel alignment, tyre pressures, and steering geometry problems, often triggered by impacts with kerbs or other vehicles as described in multiple incident reports. Users discuss symptoms like uneven tyre wear, steering heaviness, and the need for professional tracking/camber adjustment, with issues appearing across a wide mileage range but showing higher prevalence in older Golf generations.","[""Uneven or rapid tyre tread wear"", ""Vehicle pulling to one side or heavy steering""]","Check all tyres for uneven wear patterns, inspect alloy wheels for kerb damage, and verify wheel alignment specifications match factory settings.",medium,44,"Over half of threads have unknown engine group, limiting powertrain-specific analysis; topic appears strongly associated with incident narratives rather than spontaneous failures."
27,"Retrofit and coding of parking sensors, rear view cameras, and infotainment systems",Park Assist Retrofit,electrical,other,low,high,,,"[""MK5"", ""MK6"", ""MK7"", ""MK7.5"", ""MK8""]","[{""code"": ""5Q0"", ""name"": ""VW part number prefix for electrical/electronic components"", ""notes"": ""Common in retrofit kits for cameras and sensors""}, {""code"": ""1T0919297A"", ""name"": ""Park Assist control unit"", ""notes"": ""Mentioned in retrofit context""}]","Discussions span MK5 to MK8, with strongest representation in MK7/MK7.5, indicating these generations are popular for aftermarket upgrades.",1.4,1.184,"This topic captures enthusiast discussions about retrofitting advanced driver assistance and infotainment features, such as park assist systems, rear view cameras, and navigation upgrades. The technical focus is on component sourcing, installation, and coding/software configuration, rather than reporting widespread mechanical failures.","[""Desire to add factory-style features not originally equipped"", ""Research into compatibility and coding requirements for retrofit parts""]","Check for aftermarket installations of parking sensors, cameras, or infotainment systems; inquire about professional coding if present, as improper installation can cause electrical issues.",medium,38,"This is an 'enthusiast modification' topic, not a chronic failure pattern. The high 'technical_bucket_medium' coefficient confirms its technical discussion nature. Mileage data is insufficient as retrofits are not mileage-dependent."
