issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,video_type_category
suspension_knocking_play,suspension knocking and play issues,suspension,[],,"Knocking and creaking sounds when driving over bumps or maneuvering, accompanied by steering wheel vibration and uneven tire wear.","Wear and failure of suspension components including tie rods, tie rod ends, sway bar links, ball joints, bushings, and shock absorber mounts, resulting in play and loss of structural rigidity.","Replace faulty components (tie rods, tie rod ends, sway bar links, ball joints, bushings, shock absorber mounts) as they are not repairable, then perform wheel alignment.",high,high,"[{""video_id"": ""ikIhsy89te0"", ""title"": ""Top 5 reasons why the suspension knocks | AUTODOC tips"", ""channel"": ""autodoc.co.uk"", ""video_type_category"": ""organic""}, {""video_id"": ""HAfxcAmgnr8"", ""title"": ""Stiff Gear Shift? Stuck Manual Gear Stick? Common Problem Fixed in 30 Secs. It's Not Your Gearbox"", ""channel"": ""Rick The Spud"", ""video_type_category"": ""organic""}]",1,20,"[""music"", ""wheel"", ""steering"", ""tie"", ""bar"", ""suspension"", ""parts"", ""rubber"", ""play"", ""knocking""]",youtube,2,2,2,
coolant_intrusion_combustion_chamber,coolant leaking into combustion chamber,cooling,[],,Engine runs rough and may have catastrophic failure due to coolant entering the combustion chamber.,,,medium,low,"[{""video_id"": ""kVxIuLbuGZs"", ""title"": ""RELIABLE Car Engines You SHOULD Buy"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic""}, {""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",17,3,"[""bad"", ""cracking"", ""generally catastrophic"", ""open engine"", ""things"", ""initially"", ""dont worry"", ""dig"", ""little things"", ""terrible""]",youtube,2,2,2,
coolant_flange_gasket_failure,brittle coolant flanges and gasket leaks,cooling,[],,Coolant leaks from brittle flanges and failing gaskets.,Brittle coolant flanges and poor gasket quality leading to failure.,Replace coolant flanges and gaskets with updated parts.,medium,low,"[{""video_id"": ""kVxIuLbuGZs"", ""title"": ""RELIABLE Car Engines You SHOULD Buy"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic""}, {""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",18,3,"[""gaskets"", ""gas"", ""wrong"", ""going yeah"", ""brittle"", ""day"", ""theyve got"", ""okay"", ""eventually"", ""23""]",youtube,2,2,2,
engine_seizure_rod_bearing_failure,rod bearing failure leading to engine seizure,engine,[],,"Engine starts knocking from bottom end, potentially leading to complete engine seizure if not addressed quickly.",Oil starvation causing rod bearing failure that progresses upward through the engine,Replace rod bearings and inspect entire engine for damage; may require full engine replacement if seizure occurs,medium,low,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}, {""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic""}]",19,3,"[""compress"", ""engine dont"", ""way engine"", ""seize"", ""starts end"", ""rod bearings"", ""oven"", ""entire engine"", ""catch"", ""really like""]",youtube,2,2,2,
engine_bearing_failure,spun engine bearing metal contamination,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.2_NA"", ""1.5_DCI""]",,Engine makes knocking noises and loses power due to bearing failure.,Worn or spun engine bearings releasing metal particles into oil system.,Engine rebuild or replacement with new bearings and thorough oil system cleaning.,high,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}, {""video_id"": ""HAfxcAmgnr8"", ""title"": ""Stiff Gear Shift? Stuck Manual Gear Stick? Common Problem Fixed in 30 Secs. It's Not Your Gearbox"", ""channel"": ""Rick The Spud"", ""video_type_category"": ""organic""}]",24,3,"[""oh"", ""grease"", ""bearing"", ""shouldnt"", ""yeah"", ""nice"", ""going"", ""colored"", ""oh god"", ""thats better""]",youtube,2,2,2,
battery_terminal_corrosion_voltage_drop,battery terminal corrosion causes voltage drop,electrical,[],,"Vehicle shows low charging voltage at battery terminals despite alternator working correctly, leading to poor electrical system performance.",Oxidation and corrosion buildup between battery terminals and cable connections creating significant resistance.,"Thoroughly clean all battery terminals and cable connections, ensure proper tightening, and check for aftermarket wing nuts that may not provide adequate contact.",high,high,"[{""video_id"": ""Le02JX9helk"", ""title"": ""Low Voltage Issue FIXED easy! NOT Alternator!!"", ""channel"": ""Budget Mechanic"", ""video_type_category"": ""organic""}, {""video_id"": ""xBVmbYBxMyo"", ""title"": ""Car Battery Drains Overnight Or After Days Of No Use! PARASITIC DRAIN"", ""channel"": ""electronicsNmore"", ""video_type_category"": ""organic""}]",27,3,"[""battery"", ""going"", ""current"", ""youre going"", ""youre"", ""post"", ""alternator"", ""flowing"", ""terminals"", ""vehicle""]",youtube,2,2,2,
oil_pump_starvation_soot_clogging,Oil pump starvation from soot clogging,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.5_DCI""]",,"Engine suffers from oil starvation leading to potential bottom-end damage, particularly affecting cylinder furthest from oil pump.","Soot and ash accumulation choking the oil system, preventing oil from reaching the oil pump.","Address oil leaks, smoke, or warning lights immediately; regular maintenance to prevent soot buildup.",medium,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}, {""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic""}]",1002,4,"[""oil"", ""oil pump"", ""pump"", ""away reason"", ""choke"", ""best itll"", ""choke soot"", ""bad just"", ""cylinders particularly"", ""cylinder furthest""]",youtube,2,2,2,
wrong_head_gasket_factory_installation,Wrong head gaskets from factory,engine,[],,"Head gasket failure allowing coolant into cylinders two and three, causing steam engine symptoms.",Ford fitted incorrect head gaskets from four-cylinder Mustangs with slightly different fitment and insufficient support around fire rings.,"Replace with upgraded aftermarket gasket with more support around fire rings, or Ford may replace gasket, cylinder head, or entire engine depending on severity.",high,high,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",6,8,"[""gasket"", ""ford"", ""head"", ""wrong"", ""gaskets"", ""fit"", ""okay"", ""rss"", ""ones"", ""yeah""]",youtube,1,1,1,
wet_belt_degradation_failure,Wet belt degradation and premature failure,engine,"[""1.2_TCE""]",,"Engine rattling, oil pressure warning light, or catastrophic engine failure when wet belt degrades or snaps.","Wet belt material degrades prematurely in oil, shedding debris that clogs oil pickup, with Ford's recommended 10-year/150k-mile interval being too long.","Replace wet belt more frequently than recommended interval, use specific wet belt oil with additives, or replace entire engine if catastrophic damage occurs.",high,high,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",9,7,"[""belt"", ""wet"", ""wet belt"", ""just"", ""cam"", ""cam belt"", ""10 years"", ""theyve"", ""new engine"", ""mean""]",youtube,1,1,1,
wet_belt_failure,EcoBoost wet belt degradation and failure,engine,[],,Engine makes loud noises or fails catastrophically due to belt disintegration.,"Wet belt design integrated into oil system degrades over time, contaminating oil pickup.",Replace oil pump belt and inspect/clean oil pickup; full engine teardown may be required.,high,high,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",12,5,"[""ecoboost"", ""belt"", ""cam"", ""cam belt"", ""family"", ""form"", ""movement"", ""pump belt"", ""whats"", ""developments""]",youtube,1,1,1,
head_gasket_failure_detonation,Head gasket failure from low-speed detonation,engine,[],,"Head gasket failure leading to coolant loss, interior heating issues, sweet exhaust smell, and potential cylinder misfiring.",Low-speed detonation caused by stock ECU calibration at certain parameters leading to multiple knock events and piston fatigue.,"Upgraded head gasket (multiple variations exist, with recall versions being more reliable).",high,high,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",14,4,"[""gasket"", ""head gasket"", ""head"", ""detonation"", ""um"", ""coolant"", ""know dont"", ""happened"", ""dont know"", ""dont""]",youtube,1,1,1,
dpf_emissions_system_failures,DPF and emissions system problems,exhaust,"[""1.5_DCI""]",,"The driver experiences problems with the diesel particulate filter (DPF) and other emissions components, which can reduce reliability.","Complex modern diesel emissions equipment, including DPFs, which are prone to issues.",,medium,medium,"[{""video_id"": ""kVxIuLbuGZs"", ""title"": ""RELIABLE Car Engines You SHOULD Buy"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic""}]",16,3,"[""diesel"", ""reputation"", ""emission"", ""modern"", ""reliability"", ""ones"", ""issues"", ""bags"", ""different variations"", ""mighty""]",youtube,1,1,1,
wet_belt_degradation_oil_pickup_clog,"wet belt degrades, clogs oil pickup",engine,"[""1.2_TCE""]",,"Oil pickup gets completely clogged, leading to oil starvation and engine failure.","The wet belt sits in oil, degrades over time, and debris ends up in the oil pickup.",Replace degraded wet belt and clean or replace clogged oil pickup/oil pump.,high,high,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",20,3,"[""oil"", ""fresh"", ""cam"", ""oil pickup"", ""oil pump"", ""pickup"", ""havent"", ""pump"", ""degrade"", ""going lot""]",youtube,1,1,1,
timing_belt_degradation_rubber_contamination,Timing belt disintegration contaminating oil,engine,"[""1.2_TCE"", ""1.2_NA"", ""1.5_DCI""]",,Oil filter clogged with rubber particles from disintegrating timing belt.,Timing belt material degradation causing rubber fragments to contaminate oil system.,Replace timing belt and flush oil system to remove contamination.,high,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",21,3,"[""amazing"", ""belt"", ""theres"", ""seep"", ""music applause"", ""just yeah"", ""youre just"", ""really"", ""managed"", ""like really""]",youtube,1,1,1,
rod_bearing_failure_oil_starvation,Rod bearing failure from oil starvation,engine,[],,Engine failure with damaged rod bearings and conrod damage due to oil starvation.,Oil starvation leading to bearing failure and conrod damage.,Replace rod bearings and potentially conrods; address oil delivery system issues.,high,medium,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",25,3,"[""bearings"", ""theyre"", ""yeah"", ""oil"", ""rod bearings"", ""oil yeah"", ""raw"", ""little thing"", ""theyre just"", ""conrod""]",youtube,1,1,1,
oil_pickup_clogging_engine_failure,oil pickup clogging leads to engine failure,engine,[],,"Engine failure due to debris in the oil pickup, often noticed after oil changes or under high stress.","Debris accumulation in the oil pickup screen, potentially from wear or lack of maintenance, leading to oil starvation.","Regular oil changes, inspecting the oil pickup for debris, and more frequent servicing than recommended intervals.",medium,low,"[{""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic""}]",26,3,"[""just make"", ""just"", ""want"", ""make"", ""say"", ""service"", ""people"", ""cut losses"", ""just cut"", ""going far""]",youtube,1,1,1,
engine_mount_grounding_fault,engine mount grounding strap fault,electrical,[],,Voltage drop detected at engine mount grounding point during electrical system testing.,Faulty ground strap connection at engine mount.,Test grounding points with multimeter and repair/replace faulty ground strap.,high,high,"[{""video_id"": ""Swz_LSU4-pk"", ""title"": ""How to Test Your Car for Ground Faults - QUICK & EASY!"", ""channel"": ""You Wrench"", ""video_type_category"": ""organic""}]",28,3,"[""grounding"", ""engine mount"", ""grounding point"", ""issue"", ""running"", ""mount"", ""particular"", ""reading"", ""repeat"", ""volts""]",youtube,1,1,1,
