issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,engine_year_context,affected_years_triangulated
panoramic_roof_water_leak_rattles,panoramic roof water leaks and rattles,body,[],,"Drivers notice water leaks after heavy rain, damp passenger carpets, and rattling noises from the panoramic roof on uneven roads.",Clogged drainage channels in panoramic roof system,Inspect and clear drainage channels; check for proper roof seal and alignment,high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",24,4,"[""noises"", ""channels"", ""heavy"", ""drainage channels"", ""roads"", ""signs"", ""noises uneven"", ""suspension noises"", ""drainage"", ""carefully""]",youtube,2,2,2,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,
rear_shock_replacement_difficulty,difficult rear shock replacement procedure,suspension,[],,Replacing rear shocks requires careful procedure due to tight clearances and specific tools.,"Design with welded nuts, tight brake line routing, and limited suspension travel during disassembly.","Follow proper sequence: support rear beam, disconnect height sensor, use pass-through sockets, and avoid damaging brake lines.",high,high,"[{""video_id"": ""s_hLRII-tBU"", ""title"": ""Car Servicing - VW Golf MK7"", ""channel"": ""Turners Workshop"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""nDkdFw4z1UE"", ""title"": ""How to install SoloWerks Coilovers on a MK7 Golf SportWagen S7EP33"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1,12,"[""right"", ""way"", ""going"", ""shock"", ""guys"", ""strut"", ""spring"", ""unbolt"", ""bolt"", ""little""]",youtube,2,2,2,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,
thermostat_housing_coolant_leak,Thermostat housing coolant leaks,cooling,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI""]",older models,"Coolant leaks from thermostat housing area, sometimes leaving puddles on the ground.",Plastic thermostat housing integrated with water pump cracks/warps under high heat.,Replace with upgraded/superseded OEM part; aftermarket upgrades available.,high,high,"[{""video_id"": ""rdQqxKgBEWg"", ""title"": ""Two BIG Problems The Volkswagen Golf 7.5 R Has!"", ""channel"": ""Carbonwurks"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",20,4,"[""um"", ""thermostat"", ""gearbox"", ""leaking"", ""thermostat housing"", ""housing"", ""tuning"", ""obviously"", ""actually"", ""coolant""]",youtube,2,2,2,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""older models"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""regex_enrichment_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}","[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}]",2013-2020
timing_belt_interval_120k_miles,Timing belt replacement at 120k miles,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.6_TDI"", ""2.0_TDI""]",,"The timing belt is a scheduled maintenance item requiring replacement at 120,000 miles.",Normal wear and service interval for belt-driven engines (EA211 petrol and EA288 diesel families).,"Replace the timing belt and associated components (tensioner, water pump) at the 120,000-mile service interval.",high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1003,3,"[""120000"", ""120000 miles"", ""easy"", ""miles"", ""developed relatively"", ""dont immediately"", ""doesnt fail"", ""excuses"", ""excuses leave"", ""easy fix""]",youtube,2,2,2,"[""diesel_only""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""regex_enrichment_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}","[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}, {""engine"": ""1.5_TSI"", ""years"": ""2017"", ""evidence_hits"": 2}]",2013-2020
timing_chain_stretch_ea888,timing chain stretch on EA888 engines,engine,"[""1.8_TSI"", ""2.0_TSI""]",,Potential timing chain stretch that can lead to catastrophic engine failure over time.,"Timing chain stretch in EA888 engines, particularly affecting GTI and performance models.",Replacement with updated timing chain components to prevent recurrence.,high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",16,6,"[""time"", ""destroy"", ""units"", ""failure common"", ""aligned"", ""gti models"", ""fitted"", ""repaired"", ""updated"", ""catastrophic""]",youtube,2,2,2,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,
wastegate_actuator_rattle,wastegate actuator play causing rattle,exhaust,"[""1.8_TSI"", ""2.0_TSI""]",,"Drivers notice a rattling noise from the turbo area, often described as wastegate rattle.",Wastegate actuator develops excessive play over time,Replace wastegate actuator or entire turbocharger assembly,high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1004,3,"[""wastegate"", ""actuator"", ""antiroll"", ""antiroll bar"", ""bar"", ""actuator known"", ""bearings"", ""bearings antiroll"", ""bushs"", ""bushs suspension""]",youtube,2,2,2,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,
coolant_leaks_and_oil_consumption,Coolant leaks and excessive oil consumption,engine,[],,Coolant leaks and excessive oil consumption requiring frequent top-ups.,,,medium,low,"[{""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1006,2,"[""list"", ""list going"", ""going"", ""oil consumption"", ""going coolant"", ""leaks fourth"", ""excessive"", ""excessive oil"", ""fourth list"", ""fourth""]",youtube,1,1,1,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,
dpf_egr_clogging,DPF and EGR clogging in diesels,exhaust,"[""1.6_TDI"", ""2.0_TDI""]",,"DPF not regenerating properly, EGR clogging, intake buildup, and emissions warning lights during city driving",Short trips and city-only driving prevent proper DPF regeneration cycles,"Regular long motorway drives to allow DPF regeneration, or professional cleaning/replacement of clogged components",high,medium,"[{""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",2001,1,"[""dpf"", ""diesel particulate"", ""egr valve"", ""egr cooler"", ""adblue"", ""nox sensor""]",youtube,1,1,1,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,
ea211_early_model_issues,EA211 early model year problems,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI""]",very early model years,Various reliability and maintenance issues reported in early EA211 engines.,Design or manufacturing defects in initial production versions.,Later improvements made the engine more reliable; specific repairs depend on the problem.,medium,medium,"[{""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",18,5,"[""ea211"", ""number"", ""today"", ""problems"", ""ea111"", ""used volkswagen"", ""problems discuss"", ""ea211 really"", ""engine family"", ""2012""]",youtube,1,1,1,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""very early model years"", ""from_llm_year_parsed"": [""2013-2015""], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""llm_phrase_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2015""}","[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}]",2013-2015
fuel_filter_valve_crack_diesel_smell,cracked fuel filter valve diesel smell,fuel,"[""1.6_TDI"", ""2.0_TDI""]",,Driver notices a diesel smell coming from the vehicle.,Cracked fuel filter valve allowing diesel fuel to leak.,Replace the cracked fuel filter valve assembly.,medium,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",27,4,"[""cracked"", ""golden"", ""engine oil"", ""indicates"", ""check"", ""fuel filter"", ""serviced"", ""refrigerant"", ""rattling"", ""shopping""]",youtube,1,1,1,"[""diesel_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,
headlight_lens_clouding,Headlight acrylic lenses go cloudy,body,[],,"The headlights become cloudy over time, reducing light output.",UV degradation and oxidation of the acrylic plastic lens material.,Use a headlight restoration kit to polish and clear the lenses.,high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",29,3,"[""kit"", ""headlight"", ""long run"", ""headlights"", ""servicing"", ""touch"", ""costs"", ""parts"", ""clear"", ""worth""]",youtube,1,1,1,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,
timing_belt_stretch_ea211,EA211 timing belt stretch and failure risk,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI""]",,Timing belt stretching can lead to timing misalignment and catastrophic engine failure.,Timing belt wear and stretching beyond service interval limits,Replace timing belt according to manufacturer service intervals,high,high,"[{""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1005,3,"[""timing"", ""belt"", ""timing belt"", ""run"", ""engine"", ""dont"", ""related issues"", ""run timing"", ""timing related"", ""aware""]",youtube,1,1,1,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""regex_enrichment_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}","[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}]",2013-2020
turbocharger_failure_ea211,Turbocharger failure requiring replacement,engine,"[""1.4_TSI""]",,Loss of power and inefficient turbo operation.,Turbocharger or actuator wear/failure.,Replace actuators or the entire turbocharger.,medium,medium,"[{""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",22,4,"[""turbocharger"", ""turbocharged"", ""issues turbocharger"", ""efficiently"", ""turbochargers"", ""significant"", ""setup"", ""ultimately"", ""replace"", ""say""]",youtube,1,1,1,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""regex_enrichment_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}","[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}]",2013-2020
